Date,activeaddresses30trx
2010/07/17,3.379
2010/07/18,3.699
2010/07/19,3.905
2010/07/20,4.014
2010/07/21,4.039
2010/07/22,3.988
2010/07/23,3.885
2010/07/24,3.762
2010/07/25,3.692
2010/07/26,3.609
2010/07/27,3.493
2010/07/28,3.349
2010/07/29,3.18
2010/07/30,2.997
2010/07/31,2.802
2010/08/01,2.608
2010/08/02,2.418
2010/08/03,2.247
2010/08/04,2.084
2010/08/05,1.932
2010/08/06,1.783
2010/08/07,1.633
2010/08/08,1.488
2010/08/09,1.355
2010/08/10,1.226
2010/08/11,1.106
2010/08/12,0.989
2010/08/13,0.887
2010/08/14,0.787
2010/08/15,0.684
2010/08/16,0.593
2010/08/17,0.503
2010/08/18,0.422
2010/08/19,0.34
2010/08/20,0.266
2010/08/21,0.193
2010/08/22,0.125
2010/08/23,0.063
2010/08/24,0.007
2010/08/25,-0.049
2010/08/26,-0.099
2010/08/27,-0.148
2010/08/28,-0.196
2010/08/29,-0.247
2010/08/30,-0.295
2010/08/31,-0.332
2010/09/01,-0.365
2010/09/02,-0.397
2010/09/03,-0.428
2010/09/04,-0.46
2010/09/05,-0.488
2010/09/06,-0.516
2010/09/07,-0.545
2010/09/08,-0.571
2010/09/09,-0.595
2010/09/10,-0.615
2010/09/11,-0.637
2010/09/12,-0.648
2010/09/13,-0.652
2010/09/14,-0.649
2010/09/15,-0.643
2010/09/16,-0.631
2010/09/17,-0.603
2010/09/18,-0.579
2010/09/19,-0.554
2010/09/20,-0.528
2010/09/21,-0.479
2010/09/22,-0.42
2010/09/23,-0.352
2010/09/24,-0.287
2010/09/25,-0.224
2010/09/26,-0.172
2010/09/27,-0.105
2010/09/28,-0.007
2010/09/29,0.093
2010/09/30,0.172
2010/10/01,0.241
2010/10/02,0.298
2010/10/03,0.34
2010/10/04,0.375
2010/10/05,0.4
2010/10/06,0.414
2010/10/07,0.419
2010/10/08,0.422
2010/10/09,0.421
2010/10/10,0.411
2010/10/11,0.395
2010/10/12,0.375
2010/10/13,0.362
2010/10/14,0.344
2010/10/15,0.32
2010/10/16,0.304
2010/10/17,0.289
2010/10/18,0.281
2010/10/19,0.296
2010/10/20,0.322
2010/10/21,0.348
2010/10/22,0.374
2010/10/23,0.393
2010/10/24,0.408
2010/10/25,0.416
2010/10/26,0.421
2010/10/27,0.433
2010/10/28,0.446
2010/10/29,0.454
2010/10/30,0.451
2010/10/31,0.436
2010/11/01,0.413
2010/11/02,0.378
2010/11/03,0.338
2010/11/04,0.296
2010/11/05,0.26
2010/11/06,0.221
2010/11/07,0.184
2010/11/08,0.178
2010/11/09,0.167
2010/11/10,0.151
2010/11/11,0.13
2010/11/12,0.1
2010/11/13,0.067
2010/11/14,0.043
2010/11/15,0.146
2010/11/16,0.316
2010/11/17,0.446
2010/11/18,0.54
2010/11/19,0.604
2010/11/20,0.647
2010/11/21,0.671
2010/11/22,0.675
2010/11/23,0.664
2010/11/24,0.651
2010/11/25,0.635
2010/11/26,0.625
2010/11/27,0.609
2010/11/28,0.583
2010/11/29,0.556
2010/11/30,0.526
2010/12/01,0.502
2010/12/02,0.475
2010/12/03,0.447
2010/12/04,0.415
2010/12/05,0.378
2010/12/06,0.338
2010/12/07,0.31
2010/12/08,0.284
2010/12/09,0.258
2010/12/10,0.225
2010/12/11,0.202
2010/12/12,0.189
2010/12/13,0.199
2010/12/14,0.213
2010/12/15,0.226
2010/12/16,0.236
2010/12/17,0.238
2010/12/18,0.235
2010/12/19,0.235
2010/12/20,0.249
2010/12/21,0.261
2010/12/22,0.277
2010/12/23,0.29
2010/12/24,0.294
2010/12/25,0.299
2010/12/26,0.301
2010/12/27,0.306
2010/12/28,0.309
2010/12/29,0.309
2010/12/30,0.309
2010/12/31,0.305
2011/01/01,0.301
2011/01/02,0.297
2011/01/03,0.303
2011/01/04,0.308
2011/01/05,0.324
2011/01/06,0.339
2011/01/07,0.355
2011/01/08,0.377
2011/01/09,0.403
2011/01/10,0.431
2011/01/11,0.464
2011/01/12,0.492
2011/01/13,0.528
2011/01/14,0.567
2011/01/15,0.603
2011/01/16,0.638
