Date,difficulty3mom
2010/07/17,136.157
2010/07/18,136.157
2010/07/19,119.171
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,57.762
2010/07/28,62.67
2010/07/29,62.67
2010/07/30,4.908
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,14.855
2010/08/06,107.948
2010/08/07,107.948
2010/08/08,93.093
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,37.783
2010/08/16,159.612
2010/08/17,159.612
2010/08/18,121.83
2010/08/19,0
2010/08/20,0
2010/08/21,0
2010/08/22,0
2010/08/23,0
2010/08/24,0
2010/08/25,0
2010/08/26,4.783
2010/08/27,111.613
2010/08/28,111.613
2010/08/29,106.83
2010/08/30,0
2010/08/31,0
2010/09/01,0
2010/09/02,0
2010/09/03,0
2010/09/04,0
2010/09/05,0
2010/09/06,0
2010/09/07,0
2010/09/08,73.226
2010/09/09,89.498
2010/09/10,89.498
2010/09/11,16.272
2010/09/12,0
2010/09/13,0
2010/09/14,0
2010/09/15,0
2010/09/16,0
2010/09/17,0
2010/09/18,0
2010/09/19,180.431
2010/09/20,204.946
2010/09/21,204.946
2010/09/22,24.515
2010/09/23,0
2010/09/24,0
2010/09/25,0
2010/09/26,0
2010/09/27,0
2010/09/28,60.504
2010/09/29,400.839
2010/09/30,400.839
2010/10/01,340.335
2010/10/02,0
2010/10/03,0
2010/10/04,0
2010/10/05,0
2010/10/06,0
2010/10/07,0
2010/10/08,0
2010/10/09,0
2010/10/10,0
2010/10/11,0
2010/10/12,44.423
2010/10/13,59.358
2010/10/14,59.358
2010/10/15,14.935
2010/10/16,0
2010/10/17,0
2010/10/18,0
2010/10/19,0
2010/10/20,0
2010/10/21,584.463
2010/10/22,770.994
2010/10/23,770.994
2010/10/24,186.531
2010/10/25,0
2010/10/26,0
2010/10/27,0
2010/10/28,0
2010/10/29,0
2010/10/30,37.409
2010/10/31,942.715
2010/11/01,942.715
2010/11/02,905.306
2010/11/03,0
2010/11/04,0
2010/11/05,0
2010/11/06,0
2010/11/07,0
2010/11/08,0
2010/11/09,579.178
2010/11/10,1445
2010/11/11,1445
2010/11/12,865.439
2010/11/13,0
2010/11/14,0
2010/11/15,0
2010/11/16,0
2010/11/17,0
2010/11/18,380.867
2010/11/19,2331
2010/11/20,2331
2010/11/21,1950
2010/11/22,0
2010/11/23,0
2010/11/24,0
2010/11/25,0
2010/11/26,0
2010/11/27,0
2010/11/28,0
2010/11/29,0
2010/11/30,299.826
2010/12/01,1211
2010/12/02,1211
2010/12/03,911.471
2010/12/04,0
2010/12/05,0
2010/12/06,0
2010/12/07,0
2010/12/08,0
2010/12/09,149.733
2010/12/10,4174
2010/12/11,4174
2010/12/12,4024
2010/12/13,0
2010/12/14,0
2010/12/15,0
2010/12/16,0
2010/12/17,0
2010/12/18,0
2010/12/19,0
2010/12/20,0
2010/12/21,354.857
2010/12/22,2232
2010/12/23,2232
2010/12/24,1877
2010/12/25,0
2010/12/26,0
2010/12/27,0
2010/12/28,0
2010/12/29,0
2010/12/30,0
2010/12/31,0
2011/01/01,0
2011/01/02,0
2011/01/03,1426
2011/01/04,1823
2011/01/05,1823
2011/01/06,397.377
2011/01/07,0
2011/01/08,0
2011/01/09,0
2011/01/10,0
2011/01/11,0
2011/01/12,0
2011/01/13,0
2011/01/14,0
2011/01/15,895.508
2011/01/16,2130
2011/01/17,2130
2011/01/18,1235
2011/01/19,0
2011/01/20,0
2011/01/21,0
2011/01/22,0
2011/01/23,0
2011/01/24,0
2011/01/25,0
2011/01/26,0
2011/01/27,2100
2011/01/28,3575
2011/01/29,3575
2011/01/30,1475
2011/01/31,0
2011/02/01,0
2011/02/02,0
2011/02/03,0
2011/02/04,0
2011/02/05,0
2011/02/06,0
2011/02/07,0
2011/02/08,2989
2011/02/09,3985
2011/02/10,3985
2011/02/11,996.375
2011/02/12,0
2011/02/13,0
2011/02/14,0
2011/02/15,0
2011/02/16,0
2011/02/17,0
2011/02/18,8093
2011/02/19,10462
2011/02/20,10462
2011/02/21,2369
2011/02/22,0
2011/02/23,0
2011/02/24,0
2011/02/25,0
2011/02/26,0
2011/02/27,8389
2011/02/28,19130
2011/03/01,19130
2011/03/02,10741
