Date,difficulty30sma
2010/07/17,29.004
2010/07/18,34.476
2010/07/19,39.948
2010/07/20,45.421
2010/07/21,50.893
2010/07/22,56.365
2010/07/23,61.837
2010/07/24,67.278
2010/07/25,72.683
2010/07/26,78.088
2010/07/27,85.418
2010/07/28,92.911
2010/07/29,100.405
2010/07/30,107.899
2010/07/31,115.392
2010/08/01,122.886
2010/08/02,130.379
2010/08/03,137.873
2010/08/04,145.367
2010/08/05,153.231
2010/08/06,164.186
2010/08/07,175.142
2010/08/08,186.097
2010/08/09,197.052
2010/08/10,208.008
2010/08/11,218.963
2010/08/12,229.526
2010/08/13,239.752
2010/08/14,249.978
2010/08/15,260.897
2010/08/16,271.905
2010/08/17,282.912
2010/08/18,293.92
2010/08/19,304.928
2010/08/20,315.935
2010/08/21,326.943
2010/08/22,337.951
2010/08/23,348.958
2010/08/24,359.966
2010/08/25,370.974
2010/08/26,380.215
2010/08/27,392.854
2010/08/28,405.494
2010/08/29,418.133
2010/08/30,430.772
2010/08/31,443.411
2010/09/01,456.05
2010/09/02,468.689
2010/09/03,481.328
2010/09/04,493.472
2010/09/05,502.513
2010/09/06,511.554
2010/09/07,520.595
2010/09/08,532.077
2010/09/09,544.101
2010/09/10,556.125
2010/09/11,568.149
2010/09/12,580.173
2010/09/13,592.197
2010/09/14,602.962
2010/09/15,609.666
2010/09/16,616.369
2010/09/17,623.073
2010/09/18,629.777
2010/09/19,642.495
2010/09/20,656.03
2010/09/21,669.565
2010/09/22,683.101
2010/09/23,696.636
2010/09/24,710.171
2010/09/25,723.547
2010/09/26,733.362
2010/09/27,743.176
2010/09/28,755.008
2010/09/29,778.184
2010/09/30,801.36
2010/10/01,824.536
2010/10/02,847.712
2010/10/03,870.889
2010/10/04,894.065
2010/10/05,917.241
2010/10/06,940.417
2010/10/07,963.593
2010/10/08,984.328
2010/10/09,1005
2010/10/10,1025
2010/10/11,1045
2010/10/12,1067
2010/10/13,1089
2010/10/14,1111
2010/10/15,1133
2010/10/16,1155
2010/10/17,1177
2010/10/18,1200
2010/10/19,1216
2010/10/20,1231
2010/10/21,1266
2010/10/22,1307
2010/10/23,1348
2010/10/24,1389
2010/10/25,1430
2010/10/26,1471
2010/10/27,1512
2010/10/28,1551
2010/10/29,1579
2010/10/30,1608
2010/10/31,1667
2010/11/01,1726
2010/11/02,1785
2010/11/03,1844
2010/11/04,1903
2010/11/05,1962
2010/11/06,2022
2010/11/07,2081
2010/11/08,2140
2010/11/09,2218
2010/11/10,2325
2010/11/11,2431
2010/11/12,2536
2010/11/13,2642
2010/11/14,2747
2010/11/15,2852
2010/11/16,2958
2010/11/17,3063
2010/11/18,3181
2010/11/19,3364
2010/11/20,3527
2010/11/21,3684
2010/11/22,3842
2010/11/23,3999
2010/11/24,4156
2010/11/25,4314
2010/11/26,4471
2010/11/27,4628
2010/11/28,4785
2010/11/29,4941
2010/11/30,5077
2010/12/01,5243
2010/12/02,5410
2010/12/03,5576
2010/12/04,5742
2010/12/05,5908
2010/12/06,6074
2010/12/07,6241
2010/12/08,6407
2010/12/09,6559
2010/12/10,6816
2010/12/11,7073
2010/12/12,7330
2010/12/13,7588
2010/12/14,7845
2010/12/15,8102
2010/12/16,8359
2010/12/17,8616
2010/12/18,8861
2010/12/19,9040
2010/12/20,9220
2010/12/21,9411
2010/12/22,9665
2010/12/23,9919
2010/12/24,10173
2010/12/25,10427
2010/12/26,10681
2010/12/27,10935
2010/12/28,11189
2010/12/29,11442
2010/12/30,11686
2010/12/31,11900
2011/01/01,12113
2011/01/02,12327
2011/01/03,12588
2011/01/04,12862
2011/01/05,13137
2011/01/06,13411
2011/01/07,13685
2011/01/08,13955
2011/01/09,14090
2011/01/10,14225
2011/01/11,14360
2011/01/12,14495
2011/01/13,14630
2011/01/14,14766
2011/01/15,14931
2011/01/16,15137
2011/01/17,15343
2011/01/18,15549
2011/01/19,15755
2011/01/20,15950
2011/01/21,16082
2011/01/22,16213
2011/01/23,16345
2011/01/24,16477
2011/01/25,16609
2011/01/26,16740
2011/01/27,16942
2011/01/28,17193
2011/01/29,17444
2011/01/30,17695
2011/01/31,17946
2011/02/01,18197
2011/02/02,18400
2011/02/03,18591
2011/02/04,18781
2011/02/05,18971
2011/02/06,19161
2011/02/07,19351
2011/02/08,19641
2011/02/09,19964
2011/02/10,20287
2011/02/11,20610
2011/02/12,20933
2011/02/13,21256
2011/02/14,21549
2011/02/15,21801
2011/02/16,22053
2011/02/17,22305
2011/02/18,22827
2011/02/19,23428
2011/02/20,24029
2011/02/21,24629
2011/02/22,25230
2011/02/23,25831
2011/02/24,26431
2011/02/25,27032
2011/02/26,27563
2011/02/27,28324
2011/02/28,29443
2011/03/01,30563
2011/03/02,31682
2011/03/03,32801
2011/03/04,33920
2011/03/05,35040
2011/03/06,36159
2011/03/07,37278
2011/03/08,38397
2011/03/09,39753
2011/03/10,41459
2011/03/11,43132
2011/03/12,44805
2011/03/13,46478
2011/03/14,48152
2011/03/15,49825
2011/03/16,51498
2011/03/17,53171
2011/03/18,54844
2011/03/19,56517
2011/03/20,57921
2011/03/21,59245
2011/03/22,60570
2011/03/23,61894
2011/03/24,63219
2011/03/25,64323
2011/03/26,65407
2011/03/27,66491
2011/03/28,67575
2011/03/29,68379
2011/03/30,68826
2011/03/31,69272
2011/04/01,69718
2011/04/02,70164
2011/04/03,70611
2011/04/04,71057
2011/04/05,71535
2011/04/06,72427
2011/04/07,73319
2011/04/08,73975
2011/04/09,74180
2011/04/10,74385
2011/04/11,74590
2011/04/12,74795
2011/04/13,75001
2011/04/14,75206
2011/04/15,75411
2011/04/16,75616
2011/04/17,75821
2011/04/18,76263
2011/04/19,76801
2011/04/20,77340
2011/04/21,77878
2011/04/22,78417
2011/04/23,78955
2011/04/24,79713
2011/04/25,80492
2011/04/26,81271
2011/04/27,82050
2011/04/28,82829
2011/04/29,83608
2011/04/30,84897
2011/05/01,86254
2011/05/02,87610
2011/05/03,88967
2011/05/04,90323
2011/05/05,91647
2011/05/06,92558
2011/05/07,93469
2011/05/08,94380
2011/05/09,95484
2011/05/10,97986
2011/05/11,100488
2011/05/12,102991
2011/05/13,105493
2011/05/14,107995
2011/05/15,110498
2011/05/16,113000
2011/05/17,115502
2011/05/18,117939
2011/05/19,122998
2011/05/20,128057
2011/05/21,133115
2011/05/22,138174
2011/05/23,143233
2011/05/24,148292
2011/05/25,153351
2011/05/26,159527
2011/05/27,170944
2011/05/28,182362
2011/05/29,193780
2011/05/30,204687
2011/05/31,215527
2011/06/01,226367
2011/06/02,237208
2011/06/03,248048
2011/06/04,258888
2011/06/05,269728
2011/06/06,282216
2011/06/07,297470
2011/06/08,312530
2011/06/09,326192
2011/06/10,339853
2011/06/11,353515
2011/06/12,367177
2011/06/13,380839
2011/06/14,394501
2011/06/15,412195
2011/06/16,436180
2011/06/17,459994
2011/06/18,481089
2011/06/19,502183
2011/06/20,523278
2011/06/21,544373
2011/06/22,565468
2011/06/23,586562
2011/06/24,614013
2011/06/25,650731
2011/06/26,682209
2011/06/27,713686
2011/06/28,745163
2011/06/29,776640
2011/06/30,808117
2011/07/01,839594
2011/07/02,871072
2011/07/03,902549
2011/07/04,934026
2011/07/05,965503
2011/07/06,996230
2011/07/07,1029422
2011/07/08,1062614
2011/07/09,1095806
2011/07/10,1128998
2011/07/11,1162190
2011/07/12,1195382
2011/07/13,1228574
2011/07/14,1261766
2011/07/15,1290925
2011/07/16,1313794
2011/07/17,1336663
2011/07/18,1359532
2011/07/19,1383092
2011/07/20,1410223
2011/07/21,1437354
2011/07/22,1464486
2011/07/23,1491617
2011/07/24,1512393
2011/07/25,1522783
2011/07/26,1533173
2011/07/27,1543563
2011/07/28,1553954
2011/07/29,1564344
2011/07/30,1574734
2011/07/31,1585124
2011/08/01,1599392
2011/08/02,1616378
2011/08/03,1633365
2011/08/04,1650351
2011/08/05,1666440
2011/08/06,1677299
2011/08/07,1688157
2011/08/08,1699016
2011/08/09,1709875
2011/08/10,1720733
2011/08/11,1731592
2011/08/12,1742450
2011/08/13,1753309
2011/08/14,1764168
2011/08/15,1774983
2011/08/16,1783072
2011/08/17,1791162
2011/08/18,1798560
2011/08/19,1802387
2011/08/20,1806214
2011/08/21,1810041
2011/08/22,1813868
2011/08/23,1817694
2011/08/24,1821521
2011/08/25,1825348
2011/08/26,1829175
2011/08/27,1833002
2011/08/28,1836829
2011/08/29,1840655
2011/08/30,1843730
2011/08/31,1842748
2011/09/01,1839048
2011/09/02,1835347
2011/09/03,1831647
2011/09/04,1827946
2011/09/05,1824246
2011/09/06,1820546
2011/09/07,1816845
2011/09/08,1813145
2011/09/09,1809444
2011/09/10,1805744
2011/09/11,1802044
2011/09/12,1798343
2011/09/13,1794223
2011/09/14,1789821
2011/09/15,1788145
2011/09/16,1786469
2011/09/17,1784793
2011/09/18,1783117
2011/09/19,1781441
