Date,sentinusd14varUSD
2019/02/07,236039862795610112
2019/02/08,243232344693562368
2019/02/09,226010589653153792
2019/02/10,215633739059890176
2019/02/11,185396079716719616
2019/02/12,182032617553358848
2019/02/13,172455964631425024
2019/02/14,165255976308567040
2019/02/15,95572263903324160
2019/02/16,93084392325873664
2019/02/17,86622720242778112
2019/02/18,116087284526013440
2019/02/19,190894993385880576
2019/02/20,236622604931833856
2019/02/21,252236501064308736
2019/02/22,256551115575165952
2019/02/23,245169909532091392
2019/02/24,184189491427724288
2019/02/25,212344866776650752
2019/02/26,219274855377171456
2019/02/27,235718732842052608
2019/02/28,246398757327314944
2019/03/01,233479980105322496
2019/03/02,204600413275634688
2019/03/03,252855149876367360
2019/03/04,264038414002782208
2019/03/05,269908866454282240
2019/03/06,270223626327037952
2019/03/07,268853852716965888
2019/03/08,265182752055963648
2019/03/09,303087611825958912
2019/03/10,360942705834483712
2019/03/11,361104903096327168
2019/03/12,361386668934896640
2019/03/13,359602598208246784
2019/03/14,349364493220026368
2019/03/15,348759464186599424
2019/03/16,341944287091134464
2019/03/17,243349186047647744
2019/03/18,207482388928653312
2019/03/19,169977180878878720
2019/03/20,173777459899748352
2019/03/21,180226083574999040
2019/03/22,179932220005431296
2019/03/23,195241381253439488
2019/03/24,204603355901782016
2019/03/25,204912165751022592
2019/03/26,205796575864654848
2019/03/27,207480875418015744
2019/03/28,197650653321459712
2019/03/29,247358963013672960
2019/03/30,241287114071766016
2019/03/31,208472459471705088
2019/04/01,225230698575690752
2019/04/02,1346545181817141248
2019/04/03,1574213553691664384
2019/04/04,1725315919321018368
2019/04/05,1733477874012755968
2019/04/06,1615753121337882624
2019/04/07,1422917631657916416
2019/04/08,1434872251556167680
2019/04/09,1441339488660547584
2019/04/10,1415018033809577984
2019/04/11,1472829881390233600
2019/04/12,1452998370629836800
2019/04/13,1381771949717708800
2019/04/14,1235049501719633920
2019/04/15,1171118394170198016
2019/04/16,633920771645513728
2019/04/17,749196319688054784
2019/04/18,941099803575021568
2019/04/19,970691486921859072
2019/04/20,856181185390264320
2019/04/21,985683996248571904
2019/04/22,1075886133547151360
2019/04/23,1388617215296970752
2019/04/24,2313873883999338496
2019/04/25,2600193409697529856
2019/04/26,2632999507915485184
2019/04/27,2635702019454287872
2019/04/28,2631092898538954752
2019/04/29,2607593528424370176
2019/04/30,2502796148000915456
2019/05/01,2544106465643835392
2019/05/02,2518047838692503552
2019/05/03,2518574241595731968
2019/05/04,2494202748939501568
2019/05/05,2236528725354774528
2019/05/06,2217830236080599040
2019/05/07,1999952336537772032
2019/05/08,1090189175300292608
2019/05/09,764329311408107520
2019/05/10,762649792119128064
2019/05/11,770068116628127744
2019/05/12,591101377533956096
2019/05/13,820607524812861440
2019/05/14,1569525534540914688
2019/05/15,2415921559474278400
2019/05/16,2717776757733191680
2019/05/17,2781179096129998848
2019/05/18,2591861684267945984
2019/05/19,2185096203610710016
2019/05/20,1951793803249057792
2019/05/21,1832702852844068864
2019/05/22,1709851900538241024
2019/05/23,1643796986243825664
2019/05/24,1628027117436223488
2019/05/25,1952616470988275712
2019/05/26,2076976185737969664
2019/05/27,2138886659595575296
2019/05/28,1982164972633636864
2019/05/29,2053473378758516736
2019/05/30,1939233574290022400
2019/05/31,6427876595732160512
2019/06/01,6129646586865991680
2019/06/02,6169442112460111872
2019/06/03,6869809716078870528
2019/06/04,6811351769536331776
2019/06/05,6756360805374328832
2019/06/06,7145603104128770048
2019/06/07,7313627990053363712
2019/06/08,7098024452794818560
2019/06/09,7226751445827035136
2019/06/10,7282607476610416640
2019/06/11,7865863118044176384
2019/06/12,7754856308804960256
2019/06/13,7799011807522512896
2019/06/14,4257933684595367936
2019/06/15,4076111974201982976
2019/06/16,3661051017350537216
2019/06/17,1.2079565931164E+19
2019/06/18,2.4466424377423E+19
2019/06/19,2.4574585588472E+19
2019/06/20,2.4550880637177E+19
2019/06/21,2.376703428761E+19
2019/06/22,2.4684499976523E+19
2019/06/23,2.2619011599535E+19
2019/06/24,2.1611494651961E+19
2019/06/25,2.1894120817427E+19
2019/06/26,2.2347416249727E+19
2019/06/27,2.1012850680563E+19
2019/06/28,1.9349033196916E+19
2019/06/29,1.6833411383023E+19
2019/06/30,1.5230968092119E+19
2019/07/01,1.4294587298342E+19
2019/07/02,9.4852391941347E+18
2019/07/03,1.0474307362281E+19
2019/07/04,1.1087391983201E+19
2019/07/05,1.2367848109755E+19
2019/07/06,1.2595994040814E+19
2019/07/07,1.4576885154518E+19
2019/07/08,1.4833184051013E+19
2019/07/09,1.4756060524427E+19
2019/07/10,1.477033756015E+19
2019/07/11,2.1406131358968E+19
2019/07/12,2.7969979345056E+19
2019/07/13,2.8678347698253E+19
2019/07/14,2.6585152419745E+19
2019/07/15,2.6082617357995E+19
2019/07/16,2.4569767079561E+19
2019/07/17,2.3320024425819E+19
2019/07/18,2.2707366750016E+19
2019/07/19,2.1247799811615E+19
2019/07/20,1.9934102826747E+19
2019/07/21,1.8931216339526E+19
2019/07/22,2.1433914604614E+19
2019/07/23,2.3290087753487E+19
2019/07/24,2.3373962806227E+19
2019/07/25,1.7600170066626E+19
2019/07/26,9.9949947696714E+18
2019/07/27,8659376038976897024
2019/07/28,7635674854710411264
2019/07/29,6854801225042247680
2019/07/30,5478312989216989184
2019/07/31,4315082778000826368
2019/08/01,3701315113953075200
2019/08/02,3282913060066738176
2019/08/03,3594971179248312320
2019/08/04,3824116127164276736
2019/08/05,4295867563167268864
2019/08/06,4865461824536567808
2019/08/07,4961586405710258176
2019/08/08,4953858606491844608
2019/08/09,4944715412826996736
2019/08/10,4707137447354679296
2019/08/11,4440561243629395968
2019/08/12,2322700418768928768
2019/08/13,2314440726017056768
2019/08/14,2262179136558833664
2019/08/15,2466182287430754304
2019/08/16,2549214892030599168
