Date,mediantransactionvalue3emaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0.347
2010/07/20,2.726
2010/07/21,3.281
2010/07/22,2.168
2010/07/23,1.491
2010/07/24,0.968
2010/07/25,0.713
2010/07/26,1.682
2010/07/27,0.938
2010/07/28,0.471
2010/07/29,0.237
2010/07/30,0.561
2010/07/31,0.951
2010/08/01,2.002
2010/08/02,2.532
2010/08/03,1.706
2010/08/04,2.345
2010/08/05,2.661
2010/08/06,1.459
2010/08/07,1.448
2010/08/08,0.8
2010/08/09,2.185
2010/08/10,2.817
2010/08/11,2.996
2010/08/12,3.223
2010/08/13,3.249
2010/08/14,3.281
2010/08/15,3.294
2010/08/16,3.948
2010/08/17,3.668
2010/08/18,3.559
2010/08/19,3.462
2010/08/20,3.383
2010/08/21,3.34
2010/08/22,3.308
2010/08/23,3.29
2010/08/24,3.269
2010/08/25,3.274
2010/08/26,1.796
2010/08/27,2.51
2010/08/28,1.578
2010/08/29,0.964
2010/08/30,0.606
2010/08/31,1.854
2010/09/01,1.27
2010/09/02,2.195
2010/09/03,4.179
2010/09/04,5.172
2010/09/05,4.138
2010/09/06,3.623
2010/09/07,3.344
2010/09/08,1.726
2010/09/09,2.391
2010/09/10,1.349
2010/09/11,0.797
2010/09/12,0.438
2010/09/13,0.591
2010/09/14,1.846
2010/09/15,1.995
2010/09/16,2.545
2010/09/17,2.771
2010/09/18,2.886
2010/09/19,3.95
2010/09/20,2.347
2010/09/21,1.252
2010/09/22,0.644
2010/09/23,0.851
2010/09/24,1.025
2010/09/25,0.539
2010/09/26,0.389
2010/09/27,0.264
2010/09/28,1.352
2010/09/29,3.899
2010/09/30,2.551
2010/10/01,1.66
2010/10/02,0.892
2010/10/03,3.049
2010/10/04,10.231
2010/10/05,12.532
2010/10/06,7.82
2010/10/07,10.267
2010/10/08,11.425
2010/10/09,11.793
2010/10/10,10.708
2010/10/11,8.496
2010/10/12,6.306
2010/10/13,5.615
2010/10/14,49.27
2010/10/15,55.777
2010/10/16,87.158
2010/10/17,56.329
2010/10/18,35.867
2010/10/19,19.904
2010/10/20,12.439
2010/10/21,8.772
