Date,sentinusdUSD
2011/04/20,5511393
2011/04/21,507671
2011/04/22,206569
2011/04/23,256685
2011/04/24,174348
2011/04/25,156192
2011/04/26,300595
2011/04/27,455630
2011/04/28,304308
2011/04/29,1976853
2011/04/30,1298301
2011/05/01,530325
2011/05/02,376434
2011/05/03,621155
2011/05/04,962793
2011/05/05,534654
2011/05/06,952559
2011/05/07,784696
2011/05/08,1989059
2011/05/09,585426
2011/05/10,2730372
2011/05/11,995617
2011/05/12,1225377
2011/05/13,3286674
2011/05/14,13687679
2011/05/15,2179648
2011/05/16,2089299
2011/05/17,1629432
2011/05/18,1273158
2011/05/19,1226642
2011/05/20,2140533
2011/05/21,3897338
2011/05/22,5636666
2011/05/23,3170760
2011/05/24,2581594
2011/05/25,3032888
2011/05/26,3519584
2011/05/27,4611091
2011/05/28,1894868
2011/05/29,2220955
2011/05/30,2320827
2011/05/31,2456335
2011/06/01,2485389
2011/06/02,3573257
2011/06/03,7606073
2011/06/04,7856759
2011/06/05,9802976
2011/06/06,14582962
2011/06/07,11088182
2011/06/08,21106959
2011/06/09,22686025
2011/06/10,24356989
2011/06/11,28461702
2011/06/12,30440116
2011/06/13,24329906
2011/06/14,30024861
2011/06/15,81973705
2011/06/16,159897584
2011/06/17,25606123
2011/06/18,20654363
2011/06/19,78386963
2011/06/20,22644163
2011/06/21,56286455
2011/06/22,22473561
2011/06/23,27588175
2011/06/24,81172031
2011/06/25,182205123
2011/06/26,68668797
2011/06/27,31018432
2011/06/28,115650077
2011/06/29,46924104
2011/06/30,24648716
2011/07/01,17442013
2011/07/02,13330717
2011/07/03,8793612
2011/07/04,19848591
2011/07/05,5458945
2011/07/06,7879577
2011/07/07,6862606
2011/07/08,4432329
2011/07/09,29780706
2011/07/10,35487994
2011/07/11,14625559
2011/07/12,15047292
2011/07/13,19932714
2011/07/14,26909194
2011/07/15,8297471
2011/07/16,17178513
2011/07/17,7559185
2011/07/18,43976356
2011/07/19,37353476
2011/07/20,7487645
2011/07/21,18211020
2011/07/22,21165745
2011/07/23,8267080
2011/07/24,7489517
2011/07/25,20082993
2011/07/26,16462219
2011/07/27,17637121
2011/07/28,46440551
2011/07/29,9304091
2011/07/30,4386299
2011/07/31,7988442
2011/08/01,7150872
2011/08/02,4998122
2011/08/03,4345134
2011/08/04,3191305
2011/08/05,5064571
2011/08/06,3089585
2011/08/07,2629657
2011/08/08,8134058
2011/08/09,22061916
2011/08/10,11373186
2011/08/11,4725932
2011/08/12,3202570
2011/08/13,2979415
2011/08/14,4692170
2011/08/15,3634187
2011/08/16,3949369
2011/08/17,3526347
2011/08/18,4358120
2011/08/19,6243081
2011/08/20,2584421
2011/08/21,2753483
2011/08/22,3033469
2011/08/23,4802718
2011/08/24,6096369
2011/08/25,3830587
2011/08/26,2475545
2011/08/27,22684889
2011/08/28,1618963
2011/08/29,2139067
2011/08/30,2100357
2011/08/31,2241896
2011/09/01,2697075
2011/09/02,2137717
2011/09/03,1915556
2011/09/04,14465534
2011/09/05,17811450
2011/09/06,22781634
2011/09/07,4419019
2011/09/08,2665630
2011/09/09,2313868
2011/09/10,1297421
2011/09/11,5391238
2011/09/12,3728733
2011/09/13,2077970
2011/09/14,1684541
2011/09/15,1521029
2011/09/16,3226105
2011/09/17,1661583
2011/09/18,1444537
2011/09/19,1743301
2011/09/20,2002786
2011/09/21,2278871
2011/09/22,1677465
2011/09/23,1853645
2011/09/24,1239196
2011/09/25,1551787
2011/09/26,1417325
2011/09/27,2068189
2011/09/28,1694864
2011/09/29,1562958
2011/09/30,1414078
2011/10/01,2099045
2011/10/02,1588012
2011/10/03,2015306
2011/10/04,2063034
2011/10/05,1964466
2011/10/06,2528014
2011/10/07,1689556
2011/10/08,1148758
2011/10/09,1202993
2011/10/10,1270523
2011/10/11,1308322
2011/10/12,1271263
2011/10/13,1223702
2011/10/14,1082234
2011/10/15,1466778
2011/10/16,942660
2011/10/17,1465021
2011/10/18,833736
2011/10/19,703746
2011/10/20,670394
2011/10/21,1378111
2011/10/22,1612804
2011/10/23,1762098
2011/10/24,1027870
2011/10/25,988007
2011/10/26,1168805
2011/10/27,1461227
2011/10/28,1393143
2011/10/29,1460918
2011/10/30,704361
2011/10/31,1240930
2011/11/01,1694623
2011/11/02,1276542
2011/11/03,1110698
2011/11/04,1225916
2011/11/05,856722
2011/11/06,651607
2011/11/07,776372
2011/11/08,3357726
2011/11/09,2924290
2011/11/10,1031235
2011/11/11,885763
2011/11/12,791476
2011/11/13,731488
2011/11/14,912238
2011/11/15,798291
2011/11/16,4948505
2011/11/17,7886836
2011/11/18,10930167
2011/11/19,8579212
2011/11/20,3279969
2011/11/21,3696209
2011/11/22,8179625
2011/11/23,3550536
2011/11/24,3513537
2011/11/25,2573232
2011/11/26,3833811
2011/11/27,4326555
2011/11/28,9995699
2011/11/29,10356925
2011/11/30,18628125
2011/12/01,6285358
2011/12/02,16801735
2011/12/03,10182367
2011/12/04,8152955
2011/12/05,8320774
2011/12/06,20233734
2011/12/07,16725021
2011/12/08,13535627
2011/12/09,5811761
2011/12/10,3220391
2011/12/11,2584448
2011/12/12,2209682
2011/12/13,987103
2011/12/14,961137
2011/12/15,1273384
2011/12/16,1390447
2011/12/17,977520
2011/12/18,858448
2011/12/19,1413728
2011/12/20,1767935
2011/12/21,2065947
2011/12/22,1507131
2011/12/23,881943
2011/12/24,1038443
2011/12/25,1004548
2011/12/26,2634707
2011/12/27,2498285
2011/12/28,920166
2011/12/29,1913391
2011/12/30,982912
2011/12/31,952006
2012/01/01,1453852
2012/01/02,1126956
2012/01/03,1075720
2012/01/04,1843718
2012/01/05,3946631
2012/01/06,3333381
2012/01/07,1522076
2012/01/08,1934704
2012/01/09,2378471
2012/01/10,1975895
2012/01/11,2088020
2012/01/12,1883094
2012/01/13,2210023
2012/01/14,1835826
2012/01/15,1514197
2012/01/16,2444233
2012/01/17,2164108
2012/01/18,1753383
2012/01/19,1943856
2012/01/20,1811131
2012/01/21,1303668
2012/01/22,1142725
2012/01/23,1304509
2012/01/24,1897292
2012/01/25,2059954
2012/01/26,1954299
2012/01/27,1574839
2012/01/28,1023699
2012/01/29,1495524
2012/01/30,1350266
