Date,sentbyaddress90roc
2011/05/01,248.325
2011/05/02,264.455
2011/05/03,336.152
2011/05/04,397.062
2011/05/05,386.809
2011/05/06,440.238
2011/05/07,449.29
2011/05/08,361.663
2011/05/09,445.761
2011/05/10,230.856
2011/05/11,97.41
2011/05/12,80.837
2011/05/13,168.065
2011/05/14,204.284
2011/05/15,152.464
2011/05/16,189.556
2011/05/17,222.102
2011/05/18,235.38
2011/05/19,211.25
2011/05/20,309.212
2011/05/21,248.259
2011/05/22,249.524
2011/05/23,233.464
2011/05/24,241.549
2011/05/25,287.732
2011/05/26,332.371
2011/05/27,237.048
2011/05/28,212.998
2011/05/29,277.049
2011/05/30,162.8
2011/05/31,299.106
2011/06/01,181.323
2011/06/02,376.954
2011/06/03,429.176
2011/06/04,481.287
2011/06/05,466.337
2011/06/06,400.399
2011/06/07,459
2011/06/08,732.568
2011/06/09,760.515
2011/06/10,649.296
2011/06/11,701.417
2011/06/12,956.68
2011/06/13,633.619
2011/06/14,883.14
2011/06/15,731.219
2011/06/16,824.4
2011/06/17,662.519
2011/06/18,410.113
2011/06/19,470.072
2011/06/20,548.589
2011/06/21,252.37
2011/06/22,539.324
2011/06/23,502.891
2011/06/24,399.218
2011/06/25,355.216
2011/06/26,342.959
2011/06/27,478.808
2011/06/28,586.653
2011/06/29,435.68
2011/06/30,600.926
2011/07/01,557.856
2011/07/02,418.846
2011/07/03,344.191
2011/07/04,432.243
2011/07/05,470.157
2011/07/06,615.779
2011/07/07,470.442
2011/07/08,466.534
2011/07/09,417.921
2011/07/10,384.481
2011/07/11,462.718
2011/07/12,329.881
2011/07/13,230.513
2011/07/14,435.147
2011/07/15,359.542
2011/07/16,358.851
2011/07/17,241.556
2011/07/18,219.506
2011/07/19,289.87
2011/07/20,408.844
2011/07/21,351.292
2011/07/22,340.748
2011/07/23,299.678
2011/07/24,268.952
2011/07/25,240.581
2011/07/26,151.105
2011/07/27,213.14
2011/07/28,184.925
2011/07/29,111.505
2011/07/30,96.154
2011/07/31,220.416
2011/08/01,212.934
2011/08/02,233.946
2011/08/03,149.908
2011/08/04,161.567
2011/08/05,130.882
2011/08/06,145.206
2011/08/07,117.034
2011/08/08,148.42
2011/08/09,212.293
2011/08/10,181.679
2011/08/11,110.789
2011/08/12,82.309
2011/08/13,115.412
2011/08/14,80.162
2011/08/15,88.327
2011/08/16,74.851
2011/08/17,63.722
2011/08/18,67.076
2011/08/19,57.793
2011/08/20,47.317
2011/08/21,44.442
2011/08/22,42.25
2011/08/23,23.885
2011/08/24,17.529
2011/08/25,57.716
2011/08/26,51.128
2011/08/27,41.582
2011/08/28,9.794
2011/08/29,31.763
2011/08/30,25.353
2011/08/31,11.369
2011/09/01,-7.106
2011/09/02,-15.573
2011/09/03,-21.606
2011/09/04,-19.671
2011/09/05,-14.292
2011/09/06,-26.157
2011/09/07,-37.761
2011/09/08,-37.458
2011/09/09,-30.099
2011/09/10,-46.771
2011/09/11,-39.635
2011/09/12,-48.348
2011/09/13,-46.973
2011/09/14,-49.732
2011/09/15,-40.68
2011/09/16,-44.621
2011/09/17,-51.297
2011/09/18,-43.138
2011/09/19,-34.252
2011/09/20,-35.083
2011/09/21,-31.336
2011/09/22,-43.589
2011/09/23,-36.808
2011/09/24,-40.705
2011/09/25,-53.913
2011/09/26,-47.763
2011/09/27,-40.133
2011/09/28,-38.439
2011/09/29,-43.855
2011/09/30,-28.175
2011/10/01,-37.095
2011/10/02,-47.142
2011/10/03,-34.019
2011/10/04,-45.378
2011/10/05,-32.217
2011/10/06,-31.326
2011/10/07,-24.682
2011/10/08,-33.897
2011/10/09,-45.751
2011/10/10,-29.909
2011/10/11,-35.829
2011/10/12,-35.586
2011/10/13,-37.874
2011/10/14,-32.013
2011/10/15,-30.905
2011/10/16,-44.181
2011/10/17,-34.923
2011/10/18,-43.714
2011/10/19,-36.706
2011/10/20,-47.395
2011/10/21,-32.765
2011/10/22,-37.15
2011/10/23,-40.346
2011/10/24,-30.951
2011/10/25,-33.576
2011/10/26,-38.096
2011/10/27,-38.229
2011/10/28,-21.035
2011/10/29,-33.651
2011/10/30,-41.284
2011/10/31,-41.539
2011/11/01,-28.645
2011/11/02,-30.018
2011/11/03,-25.513
2011/11/04,-2.694
2011/11/05,-17.007
2011/11/06,-31.735
2011/11/07,-41.939
2011/11/08,-30.918
2011/11/09,-20.213
2011/11/10,-13.487
2011/11/11,-34.05
2011/11/12,-34.127
2011/11/13,-36.676
2011/11/14,-36.744
2011/11/15,-21.029
2011/11/16,-27.315
2011/11/17,-33.726
2011/11/18,-27.799
2011/11/19,-45.115
2011/11/20,-44.892
2011/11/21,-44.449
2011/11/22,-38.078
2011/11/23,-37.005
2011/11/24,-41.929
2011/11/25,-28.875
2011/11/26,-29.862
2011/11/27,-42.583
2011/11/28,-33.451
2011/11/29,-21.881
2011/11/30,-19.994
2011/12/01,-21.886
2011/12/02,-13.616
2011/12/03,-33.048
2011/12/04,-33.712
2011/12/05,-35.235
2011/12/06,-10.67
2011/12/07,-23.426
2011/12/08,-32.69
2011/12/09,-23.478
2011/12/10,-26.583
2011/12/11,-33.693
2011/12/12,-32.085
2011/12/13,-28.48
2011/12/14,-26.749
2011/12/15,-34.472
2011/12/16,-24.197
2011/12/17,-32.73
2011/12/18,-37.809
2011/12/19,-30.379
2011/12/20,-24.337
2011/12/21,-21.83
2011/12/22,-19.349
2011/12/23,-14.297
2011/12/24,-26.37
2011/12/25,-17.563
2011/12/26,-18.189
2011/12/27,-23.147
2011/12/28,-22.68
2011/12/29,-20.642
2011/12/30,-20.726
2011/12/31,-16.572
2012/01/01,-28.812
2012/01/02,-18.285
2012/01/03,-16.347
2012/01/04,-18.144
2012/01/05,3.238
2012/01/06,7.447
2012/01/07,-4.577
2012/01/08,-5.012
2012/01/09,-10.613
2012/01/10,-1.31
2012/01/11,21.357
2012/01/12,-7.328
2012/01/13,2.514
2012/01/14,18.416
2012/01/15,-8.13
2012/01/16,19.937
2012/01/17,12.527
2012/01/18,23.656
2012/01/19,13.729
2012/01/20,11.857
2012/01/21,-2.726
2012/01/22,-22.413
2012/01/23,-1.436
2012/01/24,15.102
2012/01/25,41.756
2012/01/26,12.194
2012/01/27,0.367
2012/01/28,8.593
2012/01/29,6.38
2012/01/30,0.411
2012/01/31,10.233
2012/02/01,5.478
2012/02/02,-0.365
2012/02/03,11.946
2012/02/04,25.735
2012/02/05,12.92
2012/02/06,-5.973
2012/02/07,-4.102
2012/02/08,-2.597
2012/02/09,25
2012/02/10,29.154
2012/02/11,17.997
2012/02/12,2.115
2012/02/13,12.105
2012/02/14,34.11
2012/02/15,47.874
2012/02/16,42.566
2012/02/17,36.181
2012/02/18,33.659
2012/02/19,27.026
2012/02/20,23.939
2012/02/21,24.742
2012/02/22,50.059
2012/02/23,48.813
2012/02/24,52.989
2012/02/25,31.163
2012/02/26,3.09
2012/02/27,3.277
2012/02/28,9.756
2012/02/29,12.59
2012/03/01,14.917
2012/03/02,38.858
2012/03/03,3.869
2012/03/04,18.879
2012/03/05,0.825
2012/03/06,17.106
2012/03/07,25.848
2012/03/08,31.642
2012/03/09,26.783
2012/03/10,13.9
2012/03/11,16.62
2012/03/12,30.114
2012/03/13,38.36
2012/03/14,56.004
2012/03/15,34.812
2012/03/16,47.117
2012/03/17,52.579
2012/03/18,4.421
2012/03/19,10.901
2012/03/20,32.725
2012/03/21,29.615
2012/03/22,26.315
2012/03/23,35.045
2012/03/24,20.91
2012/03/25,11.627
2012/03/26,30.593
2012/03/27,40.57
2012/03/28,40.247
2012/03/29,55.596
2012/03/30,42.106
2012/03/31,28.553
2012/04/01,8.32
2012/04/02,16.83
2012/04/03,40.509
2012/04/04,6.069
2012/04/05,6.872
2012/04/06,17.639
2012/04/07,-0.193
2012/04/08,2.853
2012/04/09,2.2
2012/04/10,14.468
2012/04/11,31.559
2012/04/12,26.243
2012/04/13,5.546
2012/04/14,30.864
2012/04/15,6.286
2012/04/16,31.15
2012/04/17,21.816
2012/04/18,30.174
2012/04/19,21.64
2012/04/20,41.4
2012/04/21,42.275
2012/04/22,9.271
2012/04/23,9.848
2012/04/24,2.897
2012/04/25,23.446
2012/04/26,41.971
2012/04/27,26.581
2012/04/28,15.928
2012/04/29,17.863
2012/04/30,30.003
2012/05/01,38.179
2012/05/02,26.882
2012/05/03,44.866
2012/05/04,48.612
2012/05/05,43.346
2012/05/06,43.856
2012/05/07,80.46
2012/05/08,71.202
2012/05/09,70.133
2012/05/10,27.464
2012/05/11,83.291
2012/05/12,71.931
2012/05/13,33.249
2012/05/14,97.066
2012/05/15,63.069
2012/05/16,43.555
2012/05/17,71.113
2012/05/18,100.038
2012/05/19,176.351
2012/05/20,133.044
2012/05/21,137.169
2012/05/22,85.999
2012/05/23,84.091
2012/05/24,96.521
2012/05/25,128.438
2012/05/26,107.667
2012/05/27,91.626
2012/05/28,103.534
2012/05/29,126.845
2012/05/30,96.029
2012/05/31,76.957
2012/06/01,154.91
2012/06/02,35.112
2012/06/03,115.38
2012/06/04,201.024
2012/06/05,200.362
2012/06/06,57.637
2012/06/07,132.867
2012/06/08,126.14
2012/06/09,162.259
2012/06/10,159.019
2012/06/11,106.286
2012/06/12,48.262
2012/06/13,259.922
2012/06/14,249.977
2012/06/15,225.339
2012/06/16,223.514
2012/06/17,192.106
2012/06/18,170.095
2012/06/19,132.612
2012/06/20,116.508
2012/06/21,124.822
2012/06/22,115.822
2012/06/23,122.886
2012/06/24,97.582
2012/06/25,134.552
2012/06/26,139.297
2012/06/27,146.253
2012/06/28,130.648
2012/06/29,148.682
2012/06/30,170.245
2012/07/01,114.706
2012/07/02,124.783
2012/07/03,121.579
2012/07/04,110.851
2012/07/05,92.846
2012/07/06,120.401
2012/07/07,152.973
2012/07/08,94.68
2012/07/09,94.955
2012/07/10,125.753
2012/07/11,104.115
2012/07/12,131.975
2012/07/13,84.939
2012/07/14,101.839
2012/07/15,71.609
2012/07/16,130.044
2012/07/17,130.88
2012/07/18,110.935
2012/07/19,92.655
2012/07/20,150.547
2012/07/21,168.092
2012/07/22,164.013
2012/07/23,160.191
2012/07/24,117.056
2012/07/25,72.147
2012/07/26,100.447
2012/07/27,119.088
2012/07/28,159.599
2012/07/29,84.824
2012/07/30,91.445
2012/07/31,200.81
2012/08/01,84.451
2012/08/02,89.11
2012/08/03,82.464
2012/08/04,88.524
2012/08/05,49.373
2012/08/06,78.724
2012/08/07,60.956
2012/08/08,148.579
2012/08/09,44.527
2012/08/10,61.783
2012/08/11,81.859
2012/08/12,12.948
2012/08/13,75.971
2012/08/14,63.646
2012/08/15,106.782
2012/08/16,119.711
2012/08/17,63.596
2012/08/18,61.685
2012/08/19,37.03
2012/08/20,51.898
2012/08/21,73.107
2012/08/22,65.736
2012/08/23,42.337
2012/08/24,68.503
2012/08/25,34.259
2012/08/26,12.68
2012/08/27,16.134
2012/08/28,33.324
2012/08/29,42.114
2012/08/30,20.705
2012/08/31,147.992
2012/09/01,39.373
2012/09/02,-16.076
2012/09/03,-21.518
2012/09/04,75.431
2012/09/05,28.065
2012/09/06,71.959
2012/09/07,31.256
2012/09/08,-3.932
2012/09/09,21.338
2012/09/10,71.938
2012/09/11,-7.458
2012/09/12,-30.862
2012/09/13,-29.551
2012/09/14,-6.893
2012/09/15,-25.551
2012/09/16,-22.201
2012/09/17,-9.292
2012/09/18,25.215
2012/09/19,39.759
2012/09/20,53.446
2012/09/21,20.347
2012/09/22,-6.142
2012/09/23,-16.152
2012/09/24,-10.491
2012/09/25,7.578
2012/09/26,36.478
2012/09/27,17.779
2012/09/28,38.765
2012/09/29,14.369
2012/09/30,-21.075
2012/10/01,-1.413
2012/10/02,53.327
2012/10/03,43.215
2012/10/04,54.129
2012/10/05,31.576
2012/10/06,38.502
2012/10/07,22.514
2012/10/08,17.234
2012/10/09,27.915
2012/10/10,24.246
2012/10/11,25.445
2012/10/12,29.277
2012/10/13,18.369
2012/10/14,-9.564
2012/10/15,0.589
2012/10/16,10.242
2012/10/17,16.173
2012/10/18,9.244
2012/10/19,-4.827
2012/10/20,-5.811
2012/10/21,-12.63
2012/10/22,10.955
2012/10/23,14.671
2012/10/24,21.449
2012/10/25,7.976
2012/10/26,-12.448
2012/10/27,-21.859
2012/10/28,-28.657
2012/10/29,-52.018
2012/10/30,-15.094
2012/10/31,-22.096
2012/11/01,-19.909
2012/11/02,-10.708
2012/11/03,-21.387
2012/11/04,-35.504
2012/11/05,-18.761
2012/11/06,-27.065
2012/11/07,4.557
2012/11/08,-10.901
2012/11/09,-12.006
2012/11/10,-26.577
2012/11/11,-44.132
2012/11/12,-29.743
2012/11/13,-33.334
2012/11/14,-41.317
2012/11/15,-21.043
2012/11/16,-10.257
2012/11/17,-5.131
2012/11/18,-3.199
2012/11/19,-22.061
2012/11/20,-13.03
2012/11/21,-7.129
2012/11/22,-11.581
2012/11/23,-15.616
2012/11/24,-3.29
2012/11/25,-14.733
2012/11/26,-1.955
2012/11/27,-12.194
2012/11/28,11.537
2012/11/29,-24.478
2012/11/30,-27.745
2012/12/01,-12.158
2012/12/02,-27.832
2012/12/03,-33.31
2012/12/04,-18.005
2012/12/05,-17.763
2012/12/06,-7.87
2012/12/07,8.882
2012/12/08,-7.012
2012/12/09,-6.809
2012/12/10,-29.557
2012/12/11,2.153
2012/12/12,14.102
2012/12/13,12.836
2012/12/14,30.195
2012/12/15,9.763
2012/12/16,9.452
2012/12/17,3.951
2012/12/18,19.209
2012/12/19,-5.043
2012/12/20,5.717
2012/12/21,65.604
2012/12/22,93.622
2012/12/23,9.954
2012/12/24,-16.225
2012/12/25,-34.151
2012/12/26,-23.193
2012/12/27,-23.509
2012/12/28,22.746
2012/12/29,22.428
2012/12/30,38.507
2012/12/31,-28.392
2013/01/01,-12.177
2013/01/02,-4.626
2013/01/03,17.446
2013/01/04,23.061
2013/01/05,27.621
2013/01/06,-12.59
2013/01/07,7.575
2013/01/08,13.127
2013/01/09,33.247
2013/01/10,43.488
2013/01/11,65.119
2013/01/12,33.222
2013/01/13,22.79
2013/01/14,9.886
2013/01/15,39.489
2013/01/16,38.261
2013/01/17,51.78
2013/01/18,39.714
2013/01/19,25.946
2013/01/20,9.375
2013/01/21,13.479
2013/01/22,25.171
2013/01/23,28.414
2013/01/24,44.49
2013/01/25,79.304
2013/01/26,95.809
2013/01/27,84.922
2013/01/28,44.968
2013/01/29,56.609
2013/01/30,44.335
2013/01/31,46.975
2013/02/01,107.589
2013/02/02,88.569
2013/02/03,61.517
2013/02/04,43.014
2013/02/05,49.193
2013/02/06,50.116
2013/02/07,66.349
2013/02/08,92.23
2013/02/09,84.384
2013/02/10,89.62
2013/02/11,56.346
2013/02/12,43.102
2013/02/13,14.18
