Date,price7rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,56.378
2010/07/25,51.789
2010/07/26,51.811
2010/07/27,56.531
2010/07/28,57.925
2010/07/29,63.029
2010/07/30,64.395
2010/07/31,64.579
2010/08/01,54.478
2010/08/02,54.785
2010/08/03,52.217
2010/08/04,51.429
2010/08/05,51.172
2010/08/06,57.604
2010/08/07,50.842
2010/08/08,50.991
2010/08/09,65.612
2010/08/10,70.77
2010/08/11,53.772
2010/08/12,63.891
2010/08/13,54.96
2010/08/14,56.48
2010/08/15,56.171
2010/08/16,50.618
2010/08/17,59.462
2010/08/18,62.339
2010/08/19,56.023
2010/08/20,51.697
2010/08/21,51.122
2010/08/22,49.204
2010/08/23,48.99
2010/08/24,46.37
2010/08/25,50.364
2010/08/26,43.356
2010/08/27,44.112
2010/08/28,44.544
2010/08/29,42.994
2010/08/30,47.619
2010/08/31,29.872
2010/09/01,34.023
2010/09/02,32.598
2010/09/03,26.096
2010/09/04,36.423
2010/09/05,38.778
2010/09/06,40.313
2010/09/07,33.624
2010/09/08,36.516
2010/09/09,33.184
2010/09/10,38.104
2010/09/11,55.848
2010/09/12,45.129
2010/09/13,48.484
2010/09/14,47.416
2010/09/15,41.031
2010/09/16,47.802
2010/09/17,30.216
2010/09/18,31.049
2010/09/19,52.669
2010/09/20,55.34
2010/09/21,61.924
2010/09/22,54.381
2010/09/23,53.83
2010/09/24,52.995
2010/09/25,52.52
2010/09/26,50.836
2010/09/27,52.877
2010/09/28,48.597
2010/09/29,49.197
2010/09/30,45.829
2010/10/01,49.139
2010/10/02,41.364
2010/10/03,33.223
2010/10/04,33.026
2010/10/05,39.511
2010/10/06,60.982
2010/10/07,85.081
2010/10/08,96.167
2010/10/09,97.919
2010/10/10,98.393
2010/10/11,91.679
2010/10/12,92.194
2010/10/13,93.504
2010/10/14,94.717
2010/10/15,91.567
2010/10/16,82.981
2010/10/17,84.272
2010/10/18,84.895
2010/10/19,66.454
2010/10/20,68.363
2010/10/21,73.02
2010/10/22,77.673
