Date,mediantransactionvalue30stdUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,2.977
2010/08/16,3.069
2010/08/17,3.044
2010/08/18,3.013
2010/08/19,2.852
2010/08/20,2.816
2010/08/21,2.816
2010/08/22,2.79
2010/08/23,2.724
2010/08/24,2.642
2010/08/25,2.657
2010/08/26,2.643
2010/08/27,2.484
2010/08/28,2.403
2010/08/29,2.462
2010/08/30,2.567
2010/08/31,2.568
2010/09/01,2.65
2010/09/02,2.588
2010/09/03,2.887
2010/09/04,3.145
2010/09/05,3.001
2010/09/06,2.953
2010/09/07,2.764
2010/09/08,2.95
2010/09/09,2.944
2010/09/10,3.087
2010/09/11,3.211
2010/09/12,3.339
2010/09/13,3.394
2010/09/14,3.388
2010/09/15,3.3
2010/09/16,3.29
2010/09/17,3.275
2010/09/18,3.264
2010/09/19,3.383
2010/09/20,3.422
2010/09/21,3.494
2010/09/22,3.562
2010/09/23,3.559
2010/09/24,3.544
2010/09/25,3.562
2010/09/26,3.587
2010/09/27,3.615
2010/09/28,3.574
2010/09/29,3.86
2010/09/30,3.858
2010/10/01,3.854
2010/10/02,3.899
2010/10/03,3.776
2010/10/04,6.568
2010/10/05,7.953
2010/10/06,7.953
2010/10/07,8.723
2010/10/08,9.291
2010/10/09,9.798
2010/10/10,9.928
2010/10/11,9.852
2010/10/12,9.728
2010/10/13,9.633
2010/10/14,33.131
2010/10/15,38.432
2010/10/16,54.732
2010/10/17,54.758
2010/10/18,54.602
2010/10/19,54.628
2010/10/20,54.507
2010/10/21,54.359
2010/10/22,54.321
2010/10/23,54.285
2010/10/24,54.279
2010/10/25,59.368
2010/10/26,65.405
