Date,transactionvalue3emaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,5.609
2010/07/20,4.775
2010/07/21,4.679
2010/07/22,5.577
2010/07/23,4.207
2010/07/24,3.524
2010/07/25,2.446
2010/07/26,6.157
2010/07/27,5.25
2010/07/28,3.654
2010/07/29,2.158
2010/07/30,3.134
2010/07/31,3.305
2010/08/01,24.303
2010/08/02,17.042
2010/08/03,10.395
2010/08/04,7.483
2010/08/05,6.1
2010/08/06,4.659
2010/08/07,5.102
2010/08/08,3.343
2010/08/09,7.689
2010/08/10,7.281
2010/08/11,7.87
2010/08/12,5.317
2010/08/13,4.884
2010/08/14,3.679
2010/08/15,3.615
2010/08/16,6.721
2010/08/17,8.686
2010/08/18,7.764
2010/08/19,5.995
2010/08/20,5.308
2010/08/21,6.383
2010/08/22,5.019
2010/08/23,4.086
2010/08/24,3.851
2010/08/25,3.355
2010/08/26,2.924
2010/08/27,4.61
2010/08/28,3.888
2010/08/29,3.009
2010/08/30,2.867
2010/08/31,4.259
2010/09/01,4.492
2010/09/02,5.612
2010/09/03,5.657
2010/09/04,6.215
2010/09/05,16.79
2010/09/06,16.846
2010/09/07,10.406
2010/09/08,6.804
2010/09/09,6.624
2010/09/10,4.521
2010/09/11,3.312
2010/09/12,3.17
2010/09/13,9.928
2010/09/14,7.179
2010/09/15,6.441
2010/09/16,5.664
2010/09/17,9.084
2010/09/18,7.822
2010/09/19,8.362
2010/09/20,6.956
2010/09/21,4.553
2010/09/22,4.343
2010/09/23,8.183
2010/09/24,5.291
2010/09/25,4.394
2010/09/26,3.94
2010/09/27,3.689
2010/09/28,6.996
2010/09/29,6.485
2010/09/30,6.767
2010/10/01,6.474
2010/10/02,25.622
2010/10/03,18.965
2010/10/04,51.317
2010/10/05,41.689
2010/10/06,30.122
2010/10/07,27.255
2010/10/08,29.854
2010/10/09,35.392
2010/10/10,33.155
2010/10/11,24.036
2010/10/12,22.493
2010/10/13,26.705
2010/10/14,38.379
2010/10/15,42.075
2010/10/16,43.62
2010/10/17,33.918
2010/10/18,36.252
2010/10/19,32.285
2010/10/20,30.074
2010/10/21,32.267
