Date,confirmationtime14sma
2010/07/17,6.2
2010/07/18,6.178
2010/07/19,6.195
2010/07/20,6.155
2010/07/21,5.992
2010/07/22,5.895
2010/07/23,5.909
2010/07/24,5.933
2010/07/25,5.804
2010/07/26,6.071
2010/07/27,6.542
2010/07/28,7.011
2010/07/29,7.418
2010/07/30,7.779
2010/07/31,7.691
2010/08/01,7.524
2010/08/02,7.358
2010/08/03,7.243
2010/08/04,7.169
2010/08/05,7.056
2010/08/06,7.226
2010/08/07,7.345
2010/08/08,7.417
2010/08/09,7.535
2010/08/10,7.454
2010/08/11,7.248
2010/08/12,7.151
2010/08/13,7.064
2010/08/14,6.924
2010/08/15,6.99
2010/08/16,7.265
2010/08/17,7.609
2010/08/18,7.959
2010/08/19,8.249
2010/08/20,8.082
2010/08/21,8.013
2010/08/22,7.982
2010/08/23,7.923
2010/08/24,7.863
2010/08/25,7.898
2010/08/26,7.914
2010/08/27,8.037
2010/08/28,8.276
2010/08/29,8.414
2010/08/30,8.404
2010/08/31,8.166
2010/09/01,8.048
2010/09/02,7.945
2010/09/03,8.039
2010/09/04,8.013
2010/09/05,8.151
2010/09/06,8.319
2010/09/07,8.484
2010/09/08,8.631
2010/09/09,8.903
2010/09/10,8.883
2010/09/11,8.921
2010/09/12,8.867
2010/09/13,8.778
2010/09/14,8.726
2010/09/15,8.679
2010/09/16,8.49
2010/09/17,8.357
2010/09/18,8.223
2010/09/19,8.091
2010/09/20,7.947
2010/09/21,7.902
2010/09/22,7.87
2010/09/23,7.548
2010/09/24,7.418
2010/09/25,7.272
2010/09/26,7.192
2010/09/27,7.04
2010/09/28,7.018
2010/09/29,7.037
2010/09/30,7.272
2010/10/01,7.445
2010/10/02,8.04
2010/10/03,8.391
2010/10/04,8.556
2010/10/05,8.775
2010/10/06,8.785
2010/10/07,8.988
2010/10/08,9.205
2010/10/09,9.359
2010/10/10,9.435
2010/10/11,9.633
2010/10/12,9.811
2010/10/13,9.769
2010/10/14,9.566
2010/10/15,9.479
2010/10/16,8.849
2010/10/17,8.387
2010/10/18,8.128
2010/10/19,7.713
2010/10/20,7.501
2010/10/21,7.412
2010/10/22,7.412
2010/10/23,7.348
2010/10/24,7.272
2010/10/25,7.132
2010/10/26,6.895
2010/10/27,6.794
2010/10/28,6.762
2010/10/29,6.642
2010/10/30,6.651
2010/10/31,6.845
2010/11/01,7.013
2010/11/02,7.196
2010/11/03,7.347
2010/11/04,7.306
2010/11/05,7.108
2010/11/06,6.992
2010/11/07,6.917
2010/11/08,6.784
2010/11/09,6.832
2010/11/10,6.855
2010/11/11,6.855
2010/11/12,7.003
2010/11/13,7.056
2010/11/14,6.883
2010/11/15,6.816
2010/11/16,6.754
2010/11/17,6.629
2010/11/18,6.517
2010/11/19,6.733
2010/11/20,7.148
2010/11/21,7.456
2010/11/22,7.713
2010/11/23,7.974
2010/11/24,8.048
2010/11/25,8.147
2010/11/26,8.068
2010/11/27,8.179
2010/11/28,8.375
2010/11/29,8.353
2010/11/30,8.34
2010/12/01,8.471
2010/12/02,8.617
2010/12/03,8.476
2010/12/04,8.038
2010/12/05,7.734
2010/12/06,7.53
2010/12/07,7.225
2010/12/08,7.077
2010/12/09,6.969
2010/12/10,7.139
2010/12/11,7.155
2010/12/12,7.159
2010/12/13,7.396
2010/12/14,7.488
2010/12/15,7.466
2010/12/16,7.514
2010/12/17,7.589
2010/12/18,7.779
2010/12/19,7.907
2010/12/20,8.127
2010/12/21,8.225
2010/12/22,8.443
2010/12/23,8.692
2010/12/24,8.687
2010/12/25,8.711
2010/12/26,8.819
2010/12/27,8.709
2010/12/28,8.716
2010/12/29,8.815
2010/12/30,8.829
2010/12/31,8.844
2011/01/01,8.774
2011/01/02,8.803
2011/01/03,8.815
2011/01/04,9.017
2011/01/05,9.034
2011/01/06,9.054
2011/01/07,8.986
2011/01/08,8.979
2011/01/09,8.901
2011/01/10,8.916
2011/01/11,8.905
2011/01/12,8.898
2011/01/13,8.836
2011/01/14,8.77
2011/01/15,8.857
2011/01/16,8.86
2011/01/17,8.769
2011/01/18,8.769
2011/01/19,8.71
2011/01/20,8.533
2011/01/21,8.497
2011/01/22,8.515
2011/01/23,8.489
2011/01/24,8.402
2011/01/25,8.463
2011/01/26,8.418
2011/01/27,8.514
2011/01/28,8.597
2011/01/29,8.581
2011/01/30,8.649
2011/01/31,8.686
2011/02/01,8.583
2011/02/02,8.626
2011/02/03,8.716
2011/02/04,8.655
2011/02/05,8.606
2011/02/06,8.582
2011/02/07,8.542
2011/02/08,8.494
2011/02/09,8.459
2011/02/10,8.369
2011/02/11,8.271
2011/02/12,8.157
2011/02/13,8.017
2011/02/14,7.937
2011/02/15,7.767
2011/02/16,7.559
2011/02/17,7.361
2011/02/18,7.316
2011/02/19,7.381
2011/02/20,7.319
2011/02/21,7.342
2011/02/22,7.218
2011/02/23,7.105
2011/02/24,7.049
2011/02/25,6.953
2011/02/26,6.801
2011/02/27,6.703
2011/02/28,6.864
2011/03/01,7.198
2011/03/02,7.367
2011/03/03,7.475
2011/03/04,7.455
2011/03/05,7.188
2011/03/06,7.043
2011/03/07,7.001
2011/03/08,7.063
2011/03/09,7.283
2011/03/10,7.721
2011/03/11,8.055
2011/03/12,8.417
2011/03/13,8.875
2011/03/14,9.107
2011/03/15,9.235
2011/03/16,9.379
2011/03/17,9.555
2011/03/18,9.947
2011/03/19,10.47
2011/03/20,10.845
2011/03/21,11.053
2011/03/22,11.367
2011/03/23,11.379
2011/03/24,11.121
2011/03/25,10.924
2011/03/26,10.935
2011/03/27,10.775
2011/03/28,10.469
2011/03/29,10.182
2011/03/30,10.085
2011/03/31,9.867
2011/04/01,9.594
2011/04/02,9.271
2011/04/03,9.108
2011/04/04,8.991
2011/04/05,8.657
2011/04/06,8.697
2011/04/07,8.72
2011/04/08,8.745
2011/04/09,8.659
2011/04/10,8.534
2011/04/11,8.553
2011/04/12,8.553
2011/04/13,8.424
2011/04/14,8.555
2011/04/15,8.727
2011/04/16,8.75
2011/04/17,8.734
2011/04/18,8.851
2011/04/19,8.988
2011/04/20,9.008
2011/04/21,9.008
2011/04/22,8.973
2011/04/23,8.911
2011/04/24,8.952
2011/04/25,8.856
2011/04/26,8.753
2011/04/27,8.785
2011/04/28,8.769
2011/04/29,8.527
2011/04/30,8.477
2011/05/01,8.48
2011/05/02,8.307
2011/05/03,8.164
2011/05/04,7.972
2011/05/05,7.742
2011/05/06,7.629
2011/05/07,7.512
2011/05/08,7.346
2011/05/09,7.241
2011/05/10,7.276
2011/05/11,7.252
2011/05/12,7.234
2011/05/13,7.216
2011/05/14,7.097
2011/05/15,6.99
2011/05/16,6.884
2011/05/17,6.76
2011/05/18,6.595
2011/05/19,6.726
2011/05/20,6.722
2011/05/21,6.709
2011/05/22,6.648
2011/05/23,6.577
2011/05/24,6.359
2011/05/25,6.155
2011/05/26,5.894
2011/05/27,6.013
2011/05/28,6.252
2011/05/29,6.356
2011/05/30,6.607
2011/05/31,6.893
2011/06/01,7.083
2011/06/02,7.022
2011/06/03,7.064
2011/06/04,7.056
2011/06/05,7.142
2011/06/06,7.224
2011/06/07,7.485
2011/06/08,7.706
2011/06/09,7.822
2011/06/10,7.667
2011/06/11,7.412
2011/06/12,7.282
2011/06/13,7.067
2011/06/14,6.798
2011/06/15,6.619
2011/06/16,6.649
2011/06/17,6.693
2011/06/18,6.756
2011/06/19,6.723
2011/06/20,6.721
2011/06/21,6.522
2011/06/22,6.362
2011/06/23,6.327
2011/06/24,6.342
2011/06/25,6.653
2011/06/26,6.902
2011/06/27,7.058
2011/06/28,7.284
2011/06/29,7.513
2011/06/30,7.48
2011/07/01,7.522
2011/07/02,7.608
2011/07/03,7.771
2011/07/04,7.936
2011/07/05,8.27
2011/07/06,8.529
2011/07/07,8.886
2011/07/08,9.033
2011/07/09,9.004
2011/07/10,9.064
2011/07/11,9.111
2011/07/12,9.198
2011/07/13,9.138
2011/07/14,9.314
2011/07/15,9.354
2011/07/16,9.401
2011/07/17,9.382
2011/07/18,9.382
2011/07/19,9.367
2011/07/20,9.402
2011/07/21,9.293
2011/07/22,9.351
2011/07/23,9.365
2011/07/24,9.234
2011/07/25,9.202
2011/07/26,9.057
2011/07/27,9.11
2011/07/28,9.059
2011/07/29,9.052
2011/07/30,9.073
2011/07/31,9.056
2011/08/01,9.074
2011/08/02,9.018
2011/08/03,8.983
2011/08/04,9.103
2011/08/05,9.157
2011/08/06,9.295
2011/08/07,9.492
2011/08/08,9.625
2011/08/09,9.745
2011/08/10,9.831
2011/08/11,9.918
2011/08/12,10.076
2011/08/13,10.19
2011/08/14,10.382
2011/08/15,10.556
2011/08/16,10.588
2011/08/17,10.689
2011/08/18,10.606
2011/08/19,10.656
2011/08/20,10.49
2011/08/21,10.316
2011/08/22,10.169
2011/08/23,10.128
2011/08/24,10.219
2011/08/25,10.23
2011/08/26,10.144
2011/08/27,10.196
2011/08/28,10.304
2011/08/29,10.252
2011/08/30,10.256
2011/08/31,10.164
2011/09/01,10.247
2011/09/02,10.121
2011/09/03,10.154
2011/09/04,10.278
2011/09/05,10.329
2011/09/06,10.347
