Date,mining_profitability14sma
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,322796
2010/07/31,333035
2010/08/01,323838
2010/08/02,307195
2010/08/03,293095
2010/08/04,279062
2010/08/05,269916
2010/08/06,257280
2010/08/07,246455
2010/08/08,237159
2010/08/09,229443
2010/08/10,229435
2010/08/11,226182
2010/08/12,220073
2010/08/13,213237
2010/08/14,207815
2010/08/15,196750
2010/08/16,188076
2010/08/17,180132
2010/08/18,171107
2010/08/19,165740
2010/08/20,166590
2010/08/21,162629
2010/08/22,158985
2010/08/23,155215
2010/08/24,150244
2010/08/25,145155
2010/08/26,140238
2010/08/27,134148
2010/08/28,125389
2010/08/29,124335
2010/08/30,122587
2010/08/31,121473
2010/09/01,118163
2010/09/02,115903
2010/09/03,112061
2010/09/04,110749
2010/09/05,107603
2010/09/06,105283
2010/09/07,103418
2010/09/08,101040
2010/09/09,97609
2010/09/10,97730
2010/09/11,96667
2010/09/12,95640
2010/09/13,94398
2010/09/14,93556
2010/09/15,92761
2010/09/16,92667
2010/09/17,91194
2010/09/18,90157
2010/09/19,87969
2010/09/20,85833
2010/09/21,82979
2010/09/22,81331
2010/09/23,81601
2010/09/24,79454
2010/09/25,77987
2010/09/26,76553
2010/09/27,75497
2010/09/28,72997
2010/09/29,70130
2010/09/30,66441
2010/10/01,63997
2010/10/02,60257
2010/10/03,59293
2010/10/04,58211
2010/10/05,56827
2010/10/06,55813
2010/10/07,53484
2010/10/08,52777
2010/10/09,53105
2010/10/10,53674
2010/10/11,53407
2010/10/12,53865
2010/10/13,56417
2010/10/14,58963
2010/10/15,60570
2010/10/16,64170
2010/10/17,65619
2010/10/18,67065
2010/10/19,69494
2010/10/20,70947
2010/10/21,70458
2010/10/22,69777
2010/10/23,68569
2010/10/24,67320
2010/10/25,66147
2010/10/26,66373
2010/10/27,66158
2010/10/28,66443
2010/10/29,67556
2010/10/30,68061
2010/10/31,66657
2010/11/01,66075
