Date,transactionvalue3momUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,1.016
2010/07/21,-1.654
2010/07/22,-1.192
2010/07/23,-1.103
2010/07/24,-1.741
2010/07/25,-5.107
2010/07/26,7.031
2010/07/27,1.502
2010/07/28,0.691
2010/07/29,-9.207
2010/07/30,-0.233
2010/07/31,1.416
2010/08/01,44.64
2010/08/02,5.672
2010/08/03,0.273
2010/08/04,-40.731
2010/08/05,-5.064
2010/08/06,-0.532
2010/08/07,0.975
2010/08/08,-3.133
2010/08/09,8.817
2010/08/10,1.329
2010/08/11,6.875
2010/08/12,-9.27
2010/08/13,-2.423
2010/08/14,-5.986
2010/08/15,0.788
2010/08/16,5.375
2010/08/17,8.178
2010/08/18,3.29
2010/08/19,-5.601
2010/08/20,-6.03
2010/08/21,0.616
2010/08/22,-0.571
2010/08/23,-1.469
2010/08/24,-3.843
2010/08/25,-0.794
2010/08/26,-0.66
2010/08/27,2.681
2010/08/28,0.307
2010/08/29,-0.364
2010/08/30,-3.571
2010/08/31,2.484
2010/09/01,2.596
2010/09/02,4.006
2010/09/03,0.052
2010/09/04,2.048
2010/09/05,20.634
2010/09/06,11.2
2010/09/07,-2.809
2010/09/08,-24.163
2010/09/09,-10.458
2010/09/10,-1.548
2010/09/11,-1.098
2010/09/12,-3.416
2010/09/13,14.268
2010/09/14,2.326
2010/09/15,2.676
2010/09/16,-11.798
2010/09/17,8.074
2010/09/18,0.856
2010/09/19,4.014
2010/09/20,-6.954
2010/09/21,-4.409
2010/09/22,-4.769
2010/09/23,6.474
2010/09/24,0.248
2010/09/25,-0.637
2010/09/26,-8.537
2010/09/27,1.039
2010/09/28,6.805
2010/09/29,2.488
2010/09/30,3.61
2010/10/01,-4.121
2010/10/02,38.796
2010/10/03,5.26
2010/10/04,77.488
2010/10/05,-12.71
2010/10/06,6.246
2010/10/07,-59.281
2010/10/08,0.393
2010/10/09,22.374
2010/10/10,6.53
2010/10/11,-17.536
2010/10/12,-19.98
2010/10/13,0
2010/10/14,35.134
2010/10/15,24.822
2010/10/16,14.249
2010/10/17,-25.837
2010/10/18,-7.184
