Date,fee_to_reward7rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,48.435
2010/07/25,74.793
2010/07/26,70.631
2010/07/27,54.76
2010/07/28,55.814
2010/07/29,51.636
2010/07/30,47.194
2010/07/31,50.211
2010/08/01,47.487
2010/08/02,43.057
2010/08/03,37.307
2010/08/04,37.307
2010/08/05,37.307
2010/08/06,37.307
2010/08/07,87.076
2010/08/08,45.207
2010/08/09,67.194
2010/08/10,45.768
2010/08/11,45.768
2010/08/12,45.768
2010/08/13,45.768
2010/08/14,45.768
2010/08/15,45.768
2010/08/16,52.082
2010/08/17,45.853
2010/08/18,60.611
2010/08/19,45.988
2010/08/20,45.988
2010/08/21,45.988
2010/08/22,45.988
2010/08/23,45.988
2010/08/24,56.703
2010/08/25,46.046
2010/08/26,46.046
2010/08/27,46.046
2010/08/28,46.046
2010/08/29,53.187
2010/08/30,54.4
2010/08/31,48.623
2010/09/01,46.377
2010/09/02,44.298
2010/09/03,44.298
2010/09/04,44.298
2010/09/05,44.881
2010/09/06,44.339
2010/09/07,44.339
2010/09/08,44.339
2010/09/09,53.901
2010/09/10,44.902
2010/09/11,44.902
2010/09/12,56.226
2010/09/13,45.352
2010/09/14,46.046
2010/09/15,45.373
2010/09/16,45.373
2010/09/17,45.373
2010/09/18,63.051
2010/09/19,45.771
2010/09/20,45.771
2010/09/21,45.771
2010/09/22,45.771
2010/09/23,45.771
2010/09/24,45.771
2010/09/25,45.771
2010/09/26,45.771
2010/09/27,49.357
2010/09/28,93.221
2010/09/29,46.091
2010/09/30,46.091
2010/10/01,58.026
2010/10/02,46.302
2010/10/03,46.295
2010/10/04,46.049
2010/10/05,46.049
2010/10/06,46.049
2010/10/07,46.049
2010/10/08,46.049
2010/10/09,46.049
2010/10/10,46.049
2010/10/11,46.049
2010/10/12,46.049
2010/10/13,71.165
2010/10/14,46.117
2010/10/15,46.117
2010/10/16,46.117
2010/10/17,46.117
2010/10/18,47.374
2010/10/19,46.119
2010/10/20,46.119
2010/10/21,46.973
2010/10/22,46.12
