Date,activeaddresses7trx
2010/07/17,15.134
2010/07/18,9.25
2010/07/19,5.137
2010/07/20,2.164
2010/07/21,-0.078
2010/07/22,-1.947
2010/07/23,-3.366
2010/07/24,-4.071
2010/07/25,-3.018
2010/07/26,-2.228
2010/07/27,-2.195
2010/07/28,-2.607
2010/07/29,-3.325
2010/07/30,-4.001
2010/07/31,-4.692
2010/08/01,-5.081
2010/08/02,-5.225
2010/08/03,-4.642
2010/08/04,-4.092
2010/08/05,-3.429
2010/08/06,-3.068
2010/08/07,-3.09
2010/08/08,-3.125
2010/08/09,-2.751
2010/08/10,-2.569
2010/08/11,-2.243
2010/08/12,-2.119
2010/08/13,-1.505
2010/08/14,-1.349
2010/08/15,-1.706
2010/08/16,-1.447
2010/08/17,-1.558
2010/08/18,-1.263
2010/08/19,-1.409
2010/08/20,-1.271
2010/08/21,-1.316
2010/08/22,-1.276
2010/08/23,-1.022
2010/08/24,-0.748
2010/08/25,-0.827
2010/08/26,-0.651
2010/08/27,-0.774
2010/08/28,-0.922
2010/08/29,-1.399
2010/08/30,-1.591
2010/08/31,-1.045
2010/09/01,-0.586
2010/09/02,-0.389
2010/09/03,-0.448
2010/09/04,-0.734
2010/09/05,-0.8
2010/09/06,-0.851
2010/09/07,-1.178
2010/09/08,-1.162
2010/09/09,-1.069
2010/09/10,-0.863
2010/09/11,-0.939
2010/09/12,-0.296
2010/09/13,0.586
2010/09/14,1.252
2010/09/15,1.681
2010/09/16,1.973
2010/09/17,3.011
2010/09/18,2.872
2010/09/19,2.5
2010/09/20,2.193
2010/09/21,3.214
2010/09/22,4.041
2010/09/23,4.555
2010/09/24,4.197
2010/09/25,3.55
2010/09/26,2.433
2010/09/27,2.612
2010/09/28,4.048
2010/09/29,4.611
2010/09/30,3.608
2010/10/01,2.538
2010/10/02,1.474
2010/10/03,0.381
2010/10/04,-0.299
2010/10/05,-0.916
2010/10/06,-1.426
2010/10/07,-1.88
2010/10/08,-1.935
2010/10/09,-1.889
2010/10/10,-2.011
2010/10/11,-2.153
2010/10/12,-2.229
2010/10/13,-1.692
2010/10/14,-1.503
2010/10/15,-1.586
2010/10/16,-1.037
2010/10/17,-0.645
2010/10/18,0.033
2010/10/19,1.685
2010/10/20,2.944
2010/10/21,3.355
2010/10/22,3.249
2010/10/23,2.651
2010/10/24,1.958
2010/10/25,1.139
2010/10/26,0.586
2010/10/27,0.659
2010/10/28,0.757
2010/10/29,0.579
2010/10/30,-0.018
2010/10/31,-0.847
2010/11/01,-1.602
2010/11/02,-2.451
2010/11/03,-3.003
2010/11/04,-3.259
2010/11/05,-2.871
2010/11/06,-2.661
2010/11/07,-2.338
2010/11/08,-0.141
2010/11/09,0.621
2010/11/10,0.626
2010/11/11,0.204
2010/11/12,-0.63
2010/11/13,-1.254
2010/11/14,-1.012
2010/11/15,6.985
2010/11/16,13.757
2010/11/17,12.495
2010/11/18,8.937
2010/11/19,5.428
2010/11/20,2.725
2010/11/21,0.674
2010/11/22,-1.015
2010/11/23,-2.279
2010/11/24,-2.776
2010/11/25,-2.902
2010/11/26,-2.4
2010/11/27,-2.183
2010/11/28,-2.272
2010/11/29,-2.168
2010/11/30,-2.12
2010/12/01,-1.581
2010/12/02,-1.351
2010/12/03,-1.162
2010/12/04,-1.254
2010/12/05,-1.499
2010/12/06,-1.69
2010/12/07,-1.101
2010/12/08,-0.651
2010/12/09,-0.442
2010/12/10,-0.717
2010/12/11,-0.374
2010/12/12,0.413
2010/12/13,2.114
2010/12/14,2.879
2010/12/15,2.978
2010/12/16,2.52
2010/12/17,1.642
2010/12/18,0.823
2010/12/19,0.507
2010/12/20,1.021
2010/12/21,1.194
2010/12/22,1.363
2010/12/23,1.186
2010/12/24,0.632
2010/12/25,0.337
2010/12/26,0.119
2010/12/27,0.131
2010/12/28,0.072
2010/12/29,-0.067
2010/12/30,-0.068
2010/12/31,-0.295
2011/01/01,-0.313
2011/01/02,-0.274
2011/01/03,0.305
2011/01/04,0.538
2011/01/05,1.262
2011/01/06,1.485
2011/01/07,1.574
2011/01/08,1.875
2011/01/09,2.045
2011/01/10,2.169
2011/01/11,2.365
2011/01/12,2.13
2011/01/13,2.283
2011/01/14,2.405
2011/01/15,2.22
2011/01/16,2.045
2011/01/17,1.648
2011/01/18,1.282
2011/01/19,1.115
2011/01/20,0.932
2011/01/21,1.331
2011/01/22,2.121
2011/01/23,2.596
2011/01/24,2.937
2011/01/25,2.48
2011/01/26,1.897
2011/01/27,1.4
2011/01/28,1.031
2011/01/29,1.125
2011/01/30,2.422
2011/01/31,3.015
2011/02/01,2.879
2011/02/02,2.067
2011/02/03,0.917
2011/02/04,0.008
2011/02/05,-0.655
2011/02/06,-1.223
2011/02/07,-1.652
2011/02/08,-1.916
2011/02/09,-1.46
2011/02/10,0.593
2011/02/11,3.662
