Date,confirmationtime3var
2011/05/03,0.114
2011/05/04,0
2011/05/05,0.126
2011/05/06,0.115
2011/05/07,0.004
2011/05/08,0.004
2011/05/09,0.091
2011/05/10,0.597
2011/05/11,0.645
2011/05/12,0.166
2011/05/13,0.417
2011/05/14,1.118
2011/05/15,0.171
2011/05/16,0.098
2011/05/17,0.161
2011/05/18,0.123
2011/05/19,2.223
2011/05/20,1.957
2011/05/21,0.782
2011/05/22,0.154
2011/05/23,0.382
2011/05/24,0.146
2011/05/25,0.02
2011/05/26,0.005
2011/05/27,3.29
2011/05/28,3.795
2011/05/29,0.278
2011/05/30,0.388
2011/05/31,0.494
2011/06/01,0.743
2011/06/02,0.873
2011/06/03,0.055
2011/06/04,0.224
2011/06/05,0.086
2011/06/06,0.095
2011/06/07,0.91
2011/06/08,0.921
2011/06/09,0.677
2011/06/10,0.383
2011/06/11,0.128
2011/06/12,0.094
2011/06/13,0.071
2011/06/14,0.046
2011/06/15,0.234
2011/06/16,1.468
2011/06/17,1.643
2011/06/18,0.081
2011/06/19,0.285
2011/06/20,0.239
2011/06/21,0.099
2011/06/22,0.068
2011/06/23,0.037
2011/06/24,0.214
2011/06/25,3.177
2011/06/26,2.304
2011/06/27,0.43
2011/06/28,0.22
2011/06/29,0.072
2011/06/30,0.358
2011/07/01,0.146
2011/07/02,0.18
2011/07/03,0.027
2011/07/04,0.012
2011/07/05,0.7
2011/07/06,0.608
2011/07/07,0.569
2011/07/08,0.96
2011/07/09,0.864
2011/07/10,0.531
2011/07/11,0.306
2011/07/12,0.329
2011/07/13,1.211
2011/07/14,1.472
2011/07/15,1.012
2011/07/16,0.222
2011/07/17,0.083
2011/07/18,0.109
2011/07/19,0.62
2011/07/20,0.494
2011/07/21,0.079
2011/07/22,0.006
2011/07/23,0.029
2011/07/24,0.251
2011/07/25,0.301
2011/07/26,0.06
2011/07/27,0.057
2011/07/28,0.252
2011/07/29,0.172
2011/07/30,0.086
2011/07/31,0.259
2011/08/01,0.262
2011/08/02,0.211
2011/08/03,0.069
2011/08/04,0.809
2011/08/05,0.664
2011/08/06,0.387
2011/08/07,0.417
2011/08/08,0.258
2011/08/09,0.409
2011/08/10,0.213
2011/08/11,0.183
2011/08/12,0.402
2011/08/13,0.062
2011/08/14,0.005
2011/08/15,0.011
2011/08/16,0.352
2011/08/17,0.314
2011/08/18,0.113
2011/08/19,0.166
2011/08/20,0.396
2011/08/21,0.722
2011/08/22,0.151
2011/08/23,0.101
2011/08/24,0.852
2011/08/25,0.447
2011/08/26,0.185
2011/08/27,0.676
2011/08/28,1.251
2011/08/29,0.685
2011/08/30,1.194
2011/08/31,0.218
2011/09/01,0.614
2011/09/02,0.805
2011/09/03,0.638
2011/09/04,0.384
2011/09/05,0.384
2011/09/06,0.428
2011/09/07,0.338
2011/09/08,0.453
2011/09/09,0.572
2011/09/10,0.62
2011/09/11,0.818
2011/09/12,0.107
2011/09/13,0.317
2011/09/14,0.164
2011/09/15,0.145
2011/09/16,1.516
2011/09/17,1.374
2011/09/18,1.491
2011/09/19,0.885
2011/09/20,0.826
2011/09/21,0.385
2011/09/22,0.056
2011/09/23,0.239
2011/09/24,0.375
2011/09/25,0.071
2011/09/26,0.073
2011/09/27,0.018
2011/09/28,0.219
2011/09/29,0.502
2011/09/30,0.787
2011/10/01,0.576
2011/10/02,0.707
2011/10/03,0.806
2011/10/04,1.484
2011/10/05,1.903
2011/10/06,1.432
2011/10/07,0.295
2011/10/08,0.463
2011/10/09,0.464
2011/10/10,0.097
2011/10/11,3.509
2011/10/12,2.943
2011/10/13,2.293
2011/10/14,3.434
2011/10/15,4.119
2011/10/16,0.557
2011/10/17,0.441
2011/10/18,0.007
2011/10/19,0.368
2011/10/20,0.502
2011/10/21,0.49
2011/10/22,1.434
2011/10/23,1.3
2011/10/24,1.899
2011/10/25,0.969
2011/10/26,0.253
2011/10/27,1.796
2011/10/28,0.758
2011/10/29,0.462
2011/10/30,0.172
2011/10/31,0.782
2011/11/01,1.915
