Date,transactions7trx
2010/07/17,19.663
2010/07/18,10.904
2010/07/19,5.376
2010/07/20,1.784
2010/07/21,-0.956
2010/07/22,-3.093
2010/07/23,-4.737
2010/07/24,-4.928
2010/07/25,-2.319
2010/07/26,-1.811
2010/07/27,-2.264
2010/07/28,0.622
2010/07/29,4.232
2010/07/30,3.655
2010/07/31,1.451
2010/08/01,-0.945
2010/08/02,-3.035
2010/08/03,-4.151
2010/08/04,-5.2
2010/08/05,-5.834
2010/08/06,-6.383
2010/08/07,-7.064
2010/08/08,-7.501
2010/08/09,-7.585
2010/08/10,-7.716
2010/08/11,-7.699
2010/08/12,-7.563
2010/08/13,-6.744
2010/08/14,-6.269
2010/08/15,-6.211
2010/08/16,-5.24
2010/08/17,-4.508
2010/08/18,-3.601
2010/08/19,-3.017
2010/08/20,-2.369
2010/08/21,-2.156
2010/08/22,-2.249
2010/08/23,-2.43
2010/08/24,-2.541
2010/08/25,-2.685
2010/08/26,-2.727
2010/08/27,-2.956
2010/08/28,-2.842
2010/08/29,-3.132
2010/08/30,-2.846
2010/08/31,-1.609
2010/09/01,-0.387
2010/09/02,0.117
2010/09/03,0.136
2010/09/04,-0.609
2010/09/05,-1.083
2010/09/06,-1.596
2010/09/07,-2.02
2010/09/08,-1.832
2010/09/09,-1.224
2010/09/10,-0.555
2010/09/11,-0.326
2010/09/12,0.241
2010/09/13,1.472
2010/09/14,2.305
2010/09/15,3.15
2010/09/16,3.382
2010/09/17,2.684
2010/09/18,1.796
2010/09/19,0.821
2010/09/20,0.928
2010/09/21,4.561
2010/09/22,7.553
2010/09/23,8.725
2010/09/24,7.724
2010/09/25,6.42
2010/09/26,4.386
2010/09/27,3.441
2010/09/28,2.466
2010/09/29,4.459
2010/09/30,3.991
2010/10/01,3.684
2010/10/02,3.28
2010/10/03,2.18
2010/10/04,0.972
2010/10/05,-0.142
2010/10/06,-1.094
2010/10/07,-2.088
2010/10/08,-2.821
2010/10/09,-3.156
2010/10/10,-3.515
2010/10/11,-3.818
2010/10/12,-3.947
2010/10/13,-3.985
2010/10/14,-4.082
2010/10/15,-4.221
2010/10/16,-4.123
2010/10/17,-3.85
2010/10/18,-2.51
2010/10/19,1.549
2010/10/20,4.506
2010/10/21,5.673
2010/10/22,6.284
2010/10/23,5.781
2010/10/24,4.907
2010/10/25,3.246
2010/10/26,1.913
2010/10/27,1.282
2010/10/28,0.573
2010/10/29,-0.178
2010/10/30,-1.175
2010/10/31,-2.356
2010/11/01,-3.218
2010/11/02,-4.141
2010/11/03,-4.707
2010/11/04,-5.09
2010/11/05,-4.804
2010/11/06,-4.453
2010/11/07,-3.833
2010/11/08,-2.901
2010/11/09,-2.242
2010/11/10,-1.761
2010/11/11,-1.539
2010/11/12,-1.89
2010/11/13,-2.406
2010/11/14,-2.589
2010/11/15,33.918
2010/11/16,85.127
2010/11/17,51.476
2010/11/18,31.305
2010/11/19,33.245
2010/11/20,34.302
2010/11/21,32.003
2010/11/22,21.083
2010/11/23,12.143
2010/11/24,7.514
2010/11/25,5.318
2010/11/26,2.534
2010/11/27,-0.395
2010/11/28,-2.987
2010/11/29,-5.175
2010/11/30,-6.979
2010/12/01,-8.415
2010/12/02,-9.582
2010/12/03,-10.566
2010/12/04,-11.384
2010/12/05,-12.044
2010/12/06,-12.53
2010/12/07,-12.747
2010/12/08,-12.791
2010/12/09,-12.705
2010/12/10,-12.546
2010/12/11,-12.038
2010/12/12,-11.057
2010/12/13,-9.668
2010/12/14,-8.1
2010/12/15,-6.595
2010/12/16,-5.478
2010/12/17,-4.837
2010/12/18,-4.335
2010/12/19,-3.817
2010/12/20,-1.886
2010/12/21,-0.737
2010/12/22,0.124
2010/12/23,0.252
2010/12/24,0.079
2010/12/25,0.102
2010/12/26,0.106
2010/12/27,-0.183
2010/12/28,-0.075
2010/12/29,-0.332
2010/12/30,-0.425
2010/12/31,-0.541
2011/01/01,-0.333
2011/01/02,-0.317
2011/01/03,1.732
2011/01/04,3.738
2011/01/05,6.314
2011/01/06,6.327
2011/01/07,6.238
2011/01/08,7.16
2011/01/09,7.439
2011/01/10,7.46
2011/01/11,7.282
2011/01/12,6.463
2011/01/13,5.633
2011/01/14,4.853
2011/01/15,3.634
2011/01/16,2.339
2011/01/17,1.014
2011/01/18,-0.082
2011/01/19,-0.801
2011/01/20,-1.267
2011/01/21,-1.097
2011/01/22,-0.183
2011/01/23,0.298
2011/01/24,0.9
2011/01/25,0.733
2011/01/26,0.427
2011/01/27,-0.144
2011/01/28,-0.316
2011/01/29,0.171
2011/01/30,3.04
2011/01/31,4.174
2011/02/01,3.694
2011/02/02,2.474
2011/02/03,0.989
2011/02/04,-0.18
2011/02/05,-1.213
2011/02/06,-1.914
2011/02/07,-2.425
2011/02/08,-2.775
2011/02/09,-2.387
2011/02/10,-0.297
2011/02/11,2.776
2011/02/12,4.812
2011/02/13,5.72
2011/02/14,6.15
2011/02/15,6.427
2011/02/16,6.234
2011/02/17,5.974
2011/02/18,5.396
2011/02/19,4.242
2011/02/20,3.373
2011/02/21,2.738
2011/02/22,2.464
2011/02/23,2.364
2011/02/24,2.19
2011/02/25,1.916
2011/02/26,1.47
2011/02/27,1.324
2011/02/28,0.892
2011/03/01,1.313
2011/03/02,1.321
2011/03/03,2.153
2011/03/04,2.055
2011/03/05,1.581
2011/03/06,1.004
2011/03/07,0.429
2011/03/08,0.372
2011/03/09,0.067
2011/03/10,-0.393
2011/03/11,-0.681
2011/03/12,0.015
2011/03/13,0.843
2011/03/14,1.52
2011/03/15,2.15
2011/03/16,2.84
2011/03/17,3.495
2011/03/18,3.221
2011/03/19,3.171
2011/03/20,3.738
2011/03/21,5.502
2011/03/22,4.918
2011/03/23,4.895
2011/03/24,3.598
2011/03/25,1.931
2011/03/26,1.113
2011/03/27,0.271
2011/03/28,-0.222
2011/03/29,-0.604
2011/03/30,-1.383
2011/03/31,-2.053
2011/04/01,-2.837
2011/04/02,-3.442
2011/04/03,-3.839
2011/04/04,-3.747
2011/04/05,-3.515
2011/04/06,-3.34
2011/04/07,-3.303
2011/04/08,-3.248
2011/04/09,-3.173
2011/04/10,-3.064
2011/04/11,-2.755
2011/04/12,-2.248
2011/04/13,-1.472
2011/04/14,-0.212
2011/04/15,0.364
2011/04/16,0.626
2011/04/17,0.781
2011/04/18,1.516
2011/04/19,2.774
2011/04/20,3.452
2011/04/21,2.897
2011/04/22,2.045
2011/04/23,1.35
2011/04/24,0.789
2011/04/25,0.564
2011/04/26,1.105
2011/04/27,2.636
2011/04/28,3.179
2011/04/29,3.471
2011/04/30,4.138
2011/05/01,4.399
2011/05/02,3.852
2011/05/03,2.956
2011/05/04,1.969
2011/05/05,1.426
2011/05/06,1.031
2011/05/07,1.056
2011/05/08,0.716
2011/05/09,0.577
2011/05/10,0.377
2011/05/11,0.141
2011/05/12,0.075
2011/05/13,0.424
2011/05/14,1.043
2011/05/15,1.339
2011/05/16,1.698
2011/05/17,2.039
2011/05/18,2.786
2011/05/19,3.121
2011/05/20,3.206
2011/05/21,3.188
2011/05/22,3.192
2011/05/23,3.311
2011/05/24,3.425
2011/05/25,3.589
2011/05/26,3.927
2011/05/27,3.473
2011/05/28,2.806
2011/05/29,2.036
2011/05/30,1.525
2011/05/31,1.409
2011/06/01,1.582
2011/06/02,1.998
2011/06/03,2.791
2011/06/04,3.624
2011/06/05,4.164
2011/06/06,4.69
2011/06/07,4.821
2011/06/08,5.375
2011/06/09,5.9
2011/06/10,5.942
2011/06/11,5.578
2011/06/12,5.339
2011/06/13,4.84
2011/06/14,4.775
2011/06/15,4.489
2011/06/16,4.126
2011/06/17,3.486
2011/06/18,2.841
2011/06/19,2.241
2011/06/20,1.685
2011/06/21,0.991
2011/06/22,0.597
2011/06/23,0.223
2011/06/24,-0.012
2011/06/25,-0.317
2011/06/26,-0.56
2011/06/27,-0.483
2011/06/28,-0.42
2011/06/29,-0.471
2011/06/30,-0.613
2011/07/01,-0.619
2011/07/02,-0.936
2011/07/03,-1.278
2011/07/04,-1.38
2011/07/05,-1.436
2011/07/06,-1.206
2011/07/07,-1.07
2011/07/08,-1.089
2011/07/09,-1.263
2011/07/10,-1.375
2011/07/11,-1.079
2011/07/12,-1.02
2011/07/13,-0.892
2011/07/14,-0.814
2011/07/15,-0.882
2011/07/16,-0.839
2011/07/17,-0.831
2011/07/18,-0.722
2011/07/19,-0.533
2011/07/20,-0.389
2011/07/21,-0.405
2011/07/22,-0.333
2011/07/23,-0.51
2011/07/24,-0.62
2011/07/25,-0.445
2011/07/26,-0.373
2011/07/27,-0.417
2011/07/28,-0.473
2011/07/29,-0.668
2011/07/30,-1.088
2011/07/31,-1.181
2011/08/01,-1.081
2011/08/02,-0.772
2011/08/03,-0.617
2011/08/04,-0.426
2011/08/05,-0.43
2011/08/06,-0.609
2011/08/07,-0.855
2011/08/08,-0.972
2011/08/09,-0.612
2011/08/10,-0.269
2011/08/11,-0.129
2011/08/12,-0.183
2011/08/13,-0.26
