Date,difficulty7sma
2010/07/17,59.565
2010/07/18,82.142
2010/07/19,104.72
2010/07/20,125.617
2010/07/21,145.068
2010/07/22,164.519
2010/07/23,181.543
2010/07/24,181.543
2010/07/25,181.543
2010/07/26,181.543
2010/07/27,189.795
2010/07/28,198.748
2010/07/29,207.701
2010/07/30,216.654
2010/07/31,225.606
2010/08/01,234.559
2010/08/02,243.512
2010/08/03,244.213
2010/08/04,244.213
2010/08/05,246.335
2010/08/06,261.757
2010/08/07,277.178
2010/08/08,292.599
2010/08/09,308.02
2010/08/10,323.441
2010/08/11,338.862
2010/08/12,352.161
2010/08/13,352.161
2010/08/14,352.161
2010/08/15,357.559
2010/08/16,380.36
2010/08/17,403.162
2010/08/18,425.964
2010/08/19,448.766
2010/08/20,471.568
2010/08/21,494.369
2010/08/22,511.774
2010/08/23,511.774
2010/08/24,511.774
2010/08/25,511.774
2010/08/26,512.457
2010/08/27,528.402
2010/08/28,544.346
2010/08/29,560.291
2010/08/30,576.236
2010/08/31,592.181
2010/09/01,608.126
2010/09/02,623.387
2010/09/03,623.387
2010/09/04,623.387
2010/09/05,623.387
2010/09/06,623.387
2010/09/07,623.387
2010/09/08,633.848
2010/09/09,646.633
2010/09/10,659.419
2010/09/11,672.204
2010/09/12,684.989
2010/09/13,697.775
2010/09/14,710.56
2010/09/15,712.885
2010/09/16,712.885
2010/09/17,712.885
2010/09/18,712.885
2010/09/19,738.661
2010/09/20,767.939
2010/09/21,797.217
2010/09/22,826.495
2010/09/23,855.773
2010/09/24,885.051
2010/09/25,914.329
2010/09/26,917.831
2010/09/27,917.831
2010/09/28,926.474
2010/09/29,983.737
2010/09/30,1041
2010/10/01,1098
2010/10/02,1156
2010/10/03,1213
2010/10/04,1270
2010/10/05,1319
2010/10/06,1319
2010/10/07,1319
2010/10/08,1319
2010/10/09,1319
2010/10/10,1319
2010/10/11,1319
2010/10/12,1325
2010/10/13,1333
2010/10/14,1342
2010/10/15,1350
2010/10/16,1359
2010/10/17,1367
2010/10/18,1376
2010/10/19,1378
2010/10/20,1378
2010/10/21,1462
2010/10/22,1572
2010/10/23,1682
2010/10/24,1792
2010/10/25,1902
2010/10/26,2012
2010/10/27,2122
2010/10/28,2149
2010/10/29,2149
2010/10/30,2154
2010/10/31,2289
2010/11/01,2424
2010/11/02,2558
2010/11/03,2693
2010/11/04,2828
2010/11/05,2962
2010/11/06,3092
2010/11/07,3092
2010/11/08,3092
2010/11/09,3174
2010/11/10,3381
2010/11/11,3587
2010/11/12,3794
2010/11/13,4000
2010/11/14,4206
2010/11/15,4413
2010/11/16,4536
2010/11/17,4536
2010/11/18,4591
2010/11/19,4924
2010/11/20,5257
2010/11/21,5590
2010/11/22,5923
2010/11/23,6255
2010/11/24,6588
2010/11/25,6867
2010/11/26,6867
2010/11/27,6867
2010/11/28,6867
2010/11/29,6867
2010/11/30,6910
2010/12/01,7083
2010/12/02,7256
2010/12/03,7429
2010/12/04,7602
2010/12/05,7775
2010/12/06,7948
2010/12/07,8078
2010/12/08,8078
2010/12/09,8100
2010/12/10,8696
2010/12/11,9292
2010/12/12,9888
2010/12/13,10485
2010/12/14,11081
2010/12/15,11677
2010/12/16,12252
2010/12/17,12252
2010/12/18,12252
2010/12/19,12252
2010/12/20,12252
2010/12/21,12303
2010/12/22,12622
2010/12/23,12940
2010/12/24,13259
2010/12/25,13578
2010/12/26,13897
2010/12/27,14216
2010/12/28,14484
2010/12/29,14484
2010/12/30,14484
2010/12/31,14484
2011/01/01,14484
2011/01/02,14484
2011/01/03,14688
2011/01/04,14948
2011/01/05,15209
2011/01/06,15469
2011/01/07,15730
2011/01/08,15990
2011/01/09,16251
2011/01/10,16307
2011/01/11,16307
2011/01/12,16307
2011/01/13,16307
2011/01/14,16307
2011/01/15,16435
2011/01/16,16740
2011/01/17,17044
2011/01/18,17348
2011/01/19,17653
2011/01/20,17957
2011/01/21,18261
2011/01/22,18438
2011/01/23,18438
2011/01/24,18438
2011/01/25,18438
2011/01/26,18438
2011/01/27,18738
2011/01/28,19248
2011/01/29,19759
2011/01/30,20270
2011/01/31,20780
2011/02/01,21291
2011/02/02,21802
2011/02/03,22012
2011/02/04,22012
2011/02/05,22012
2011/02/06,22012
2011/02/07,22012
2011/02/08,22439
2011/02/09,23009
