Date,sentbyaddress14var
2011/05/27,1654707
2011/05/28,1450770
2011/05/29,1028262
2011/05/30,942624
2011/05/31,899039
2011/06/01,1121789
2011/06/02,1443572
2011/06/03,2454051
2011/06/04,3788136
2011/06/05,4497807
2011/06/06,6181601
2011/06/07,6786094
2011/06/08,10711223
2011/06/09,15137225
2011/06/10,15524953
2011/06/11,14779384
2011/06/12,14306002
2011/06/13,12545124
2011/06/14,13140033
2011/06/15,11430205
2011/06/16,9768547
2011/06/17,8077985
2011/06/18,6752749
2011/06/19,4799485
2011/06/20,3825908
2011/06/21,2107766
2011/06/22,2061984
2011/06/23,2278579
2011/06/24,2280488
2011/06/25,2669973
2011/06/26,3081883
2011/06/27,3239969
2011/06/28,2219683
2011/06/29,2106529
2011/06/30,1670499
2011/07/01,1707911
2011/07/02,2908541
2011/07/03,3133351
2011/07/04,3030913
2011/07/05,3139143
2011/07/06,2699531
2011/07/07,2944063
2011/07/08,2966729
2011/07/09,3733900
2011/07/10,4180137
2011/07/11,2639556
2011/07/12,2176150
2011/07/13,2002129
2011/07/14,1884991
2011/07/15,1806354
2011/07/16,1670227
2011/07/17,1768920
2011/07/18,1622829
2011/07/19,1556340
2011/07/20,939700
2011/07/21,1006883
2011/07/22,1019788
2011/07/23,1076727
2011/07/24,1061656
2011/07/25,770173
2011/07/26,749616
2011/07/27,667039
2011/07/28,594286
2011/07/29,711844
2011/07/30,1566147
2011/07/31,1563724
2011/08/01,1472205
2011/08/02,1459901
2011/08/03,1441328
2011/08/04,1447559
2011/08/05,1378055
2011/08/06,1783228
2011/08/07,2023151
2011/08/08,1605775
2011/08/09,1876860
2011/08/10,1934335
2011/08/11,1847003
2011/08/12,1918182
2011/08/13,1490183
2011/08/14,1438532
2011/08/15,1429509
2011/08/16,1525734
2011/08/17,1535923
2011/08/18,1526419
2011/08/19,1525814
2011/08/20,1279236
2011/08/21,1088528
2011/08/22,1012226
2011/08/23,725439
2011/08/24,642209
2011/08/25,688234
2011/08/26,661150
2011/08/27,927730
2011/08/28,1555328
2011/08/29,1437542
2011/08/30,841215
2011/08/31,835618
2011/09/01,788148
2011/09/02,786083
2011/09/03,980981
2011/09/04,952486
2011/09/05,819698
2011/09/06,1014967
2011/09/07,1003088
2011/09/08,1041446
2011/09/09,1040534
2011/09/10,1114813
2011/09/11,794576
2011/09/12,765359
2011/09/13,731803
2011/09/14,779313
2011/09/15,772916
2011/09/16,871516
2011/09/17,1114487
2011/09/18,1093641
2011/09/19,1044985
2011/09/20,699326
2011/09/21,678471
2011/09/22,740118
2011/09/23,627030
2011/09/24,731365
2011/09/25,882369
2011/09/26,907315
2011/09/27,916650
2011/09/28,927633
2011/09/29,958513
2011/09/30,979747
2011/10/01,1037006
2011/10/02,1240231
2011/10/03,1152152
2011/10/04,657156
2011/10/05,266696
2011/10/06,263144
2011/10/07,229639
2011/10/08,266129
2011/10/09,284573
2011/10/10,285903
2011/10/11,283946
2011/10/12,269924
2011/10/13,368022
2011/10/14,381562
2011/10/15,366463
2011/10/16,406367
2011/10/17,351662
2011/10/18,451776
2011/10/19,469176
2011/10/20,561587
2011/10/21,537834
2011/10/22,555202
2011/10/23,559127
2011/10/24,567713
2011/10/25,495893
2011/10/26,441108
2011/10/27,499108
2011/10/28,400246
2011/10/29,374275
2011/10/30,394949
2011/10/31,312559
2011/11/01,318119
2011/11/02,347324
2011/11/03,294186
2011/11/04,562786
2011/11/05,562535
2011/11/06,601627
2011/11/07,555167
2011/11/08,603677
2011/11/09,730895
2011/11/10,705985
2011/11/11,705595
2011/11/12,739507
2011/11/13,652665
2011/11/14,620036
2011/11/15,638862
2011/11/16,638305
2011/11/17,731498
2011/11/18,568555
2011/11/19,941383
2011/11/20,1144635
2011/11/21,1476270
2011/11/22,1485876
2011/11/23,1294295
2011/11/24,1083447
2011/11/25,1091987
2011/11/26,1201269
2011/11/27,1211241
2011/11/28,1034760
2011/11/29,969964
2011/11/30,1026746
2011/12/01,1147214
2011/12/02,1195860
2011/12/03,1101787
2011/12/04,1050779
2011/12/05,936165
2011/12/06,1369573
2011/12/07,1306215
2011/12/08,1138177
2011/12/09,1107052
2011/12/10,855693
2011/12/11,788253
2011/12/12,942807
2011/12/13,926416
2011/12/14,817763
2011/12/15,950993
2011/12/16,961466
2011/12/17,1048472
2011/12/18,1137935
2011/12/19,1121765
2011/12/20,538611
2011/12/21,485713
2011/12/22,492951
2011/12/23,504938
2011/12/24,553224
2011/12/25,554774
2011/12/26,559350
2011/12/27,555244
2011/12/28,562082
2011/12/29,484209
2011/12/30,480604
2011/12/31,466274
2012/01/01,419592
2012/01/02,358649
2012/01/03,245627
2012/01/04,265246
2012/01/05,688823
2012/01/06,912980
2012/01/07,827173
2012/01/08,918856
2012/01/09,959321
2012/01/10,1086402
2012/01/11,1209631
2012/01/12,1175509
2012/01/13,1045745
2012/01/14,838352
2012/01/15,591923
2012/01/16,455624
2012/01/17,368517
2012/01/18,248652
2012/01/19,224048
2012/01/20,223695
2012/01/21,176996
2012/01/22,460226
2012/01/23,452412
2012/01/24,475978
2012/01/25,679969
2012/01/26,673613
2012/01/27,677673
2012/01/28,703719
2012/01/29,684690
2012/01/30,664776
2012/01/31,724565
2012/02/01,734122
2012/02/02,859109
2012/02/03,966468
2012/02/04,990250
2012/02/05,598670
2012/02/06,575374
2012/02/07,574152
2012/02/08,424958
2012/02/09,458173
2012/02/10,533689
2012/02/11,399802
2012/02/12,341940
2012/02/13,320140
2012/02/14,746961
2012/02/15,960642
2012/02/16,1229126
2012/02/17,1360491
2012/02/18,1426373
2012/02/19,1674157
2012/02/20,1614196
2012/02/21,1670734
2012/02/22,1656862
2012/02/23,1740990
2012/02/24,1719626
2012/02/25,1794858
2012/02/26,1960598
2012/02/27,1931667
2012/02/28,1492862
2012/02/29,1129049
2012/03/01,644644
2012/03/02,764402
2012/03/03,1030761
2012/03/04,894204
2012/03/05,895182
2012/03/06,854626
2012/03/07,841695
2012/03/08,694411
2012/03/09,688730
2012/03/10,839660
2012/03/11,916539
2012/03/12,922501
2012/03/13,1012121
2012/03/14,1021650
2012/03/15,1026082
2012/03/16,878367
2012/03/17,622898
2012/03/18,706766
2012/03/19,647011
2012/03/20,666526
2012/03/21,703122
2012/03/22,686149
2012/03/23,722992
2012/03/24,599446
2012/03/25,490822
2012/03/26,485205
2012/03/27,365291
2012/03/28,399494
2012/03/29,489853
2012/03/30,487079
2012/03/31,498591
2012/04/01,630238
2012/04/02,636786
2012/04/03,818130
2012/04/04,814081
2012/04/05,804520
2012/04/06,747141
2012/04/07,781680
