Date,transactions14std
2010/07/17,2819
2010/07/18,2808
2010/07/19,2792
2010/07/20,2771
2010/07/21,2758
2010/07/22,2748
2010/07/23,2738
2010/07/24,2705
2010/07/25,2699
2010/07/26,2697
2010/07/27,2716
2010/07/28,990.424
2010/07/29,1147
2010/07/30,1174
2010/07/31,1189
2010/08/01,1200
2010/08/02,1215
2010/08/03,1215
2010/08/04,1220
2010/08/05,1214
2010/08/06,1215
2010/08/07,1233
2010/08/08,1088
2010/08/09,1088
2010/08/10,1094
2010/08/11,786.1
2010/08/12,161.789
2010/08/13,168.429
2010/08/14,159.606
2010/08/15,162.34
2010/08/16,167.317
2010/08/17,123.526
2010/08/18,125.469
2010/08/19,114.447
2010/08/20,115.517
2010/08/21,108.218
2010/08/22,110.894
2010/08/23,111.066
2010/08/24,109.625
2010/08/25,111.875
2010/08/26,112.951
2010/08/27,99.767
2010/08/28,98.955
2010/08/29,101.122
2010/08/30,72.509
2010/08/31,85.1
2010/09/01,80.767
2010/09/02,80.276
2010/09/03,73.56
2010/09/04,82.467
2010/09/05,82.744
2010/09/06,85.245
2010/09/07,87.007
2010/09/08,87.536
2010/09/09,89.186
2010/09/10,87.775
2010/09/11,88.131
2010/09/12,83.124
2010/09/13,96.966
2010/09/14,89.684
2010/09/15,97.681
2010/09/16,100.132
2010/09/17,100.27
2010/09/18,89.235
2010/09/19,89.235
2010/09/20,90.557
2010/09/21,240.547
2010/09/22,274.747
2010/09/23,285.049
2010/09/24,280.96
2010/09/25,272.099
2010/09/26,272.762
2010/09/27,275.832
2010/09/28,272.907
2010/09/29,377.252
2010/09/30,377.252
2010/10/01,364.843
2010/10/02,348.256
2010/10/03,331.766
2010/10/04,332.634
2010/10/05,307.487
2010/10/06,302.285
2010/10/07,308.573
2010/10/08,313.073
2010/10/09,315.183
2010/10/10,316.26
2010/10/11,320.259
2010/10/12,324.19
2010/10/13,149.302
2010/10/14,154.882
2010/10/15,120.166
2010/10/16,67.682
2010/10/17,62.189
2010/10/18,87.953
2010/10/19,254.401
2010/10/20,277.081
2010/10/21,279.998
2010/10/22,293.246
2010/10/23,293.972
2010/10/24,289.484
2010/10/25,286.964
2010/10/26,281.524
2010/10/27,274.32
2010/10/28,262.165
2010/10/29,248.346
2010/10/30,249.943
2010/10/31,261.372
2010/11/01,273.234
2010/11/02,213.371
2010/11/03,198.917
2010/11/04,197.399
2010/11/05,160.486
2010/11/06,148.125
2010/11/07,128.137
2010/11/08,129.546
2010/11/09,123.38
2010/11/10,88.207
2010/11/11,76.564
2010/11/12,74.8
2010/11/13,79.472
2010/11/14,76.474
2010/11/15,2319
2010/11/16,4899
2010/11/17,4897
2010/11/18,4866
2010/11/19,6423
2010/11/20,7470
2010/11/21,8237
2010/11/22,8243
2010/11/23,8242
2010/11/24,8070
2010/11/25,7878
2010/11/26,7760
2010/11/27,7740
2010/11/28,7724
2010/11/29,7931
2010/11/30,7514
2010/12/01,7500
2010/12/02,7580
2010/12/03,6741
2010/12/04,5414
2010/12/05,2844
2010/12/06,2841
2010/12/07,2833
2010/12/08,2352
2010/12/09,453.32
2010/12/10,87.055
2010/12/11,107.251
2010/12/12,152.663
2010/12/13,191.763
2010/12/14,212.919
2010/12/15,224.175
2010/12/16,223.422
2010/12/17,212.427
2010/12/18,197.047
2010/12/19,179.307
2010/12/20,266.45
2010/12/21,264.96
2010/12/22,261.266
2010/12/23,248.526
2010/12/24,224.643
2010/12/25,222.453
2010/12/26,221.855
2010/12/27,222.328
