Date,activeaddresses90rsi
2010/07/17,50.763
2010/07/18,51.01
2010/07/19,51.131
2010/07/20,50.978
2010/07/21,50.753
2010/07/22,50.268
2010/07/23,50.389
2010/07/24,51.098
2010/07/25,53.608
2010/07/26,51.56
2010/07/27,50.54
2010/07/28,50.331
2010/07/29,50.015
2010/07/30,50.134
2010/07/31,49.899
2010/08/01,50.216
2010/08/02,50.232
2010/08/03,50.992
2010/08/04,50.446
2010/08/05,50.64
2010/08/06,50.232
2010/08/07,49.953
2010/08/08,50.111
2010/08/09,50.549
2010/08/10,50.118
2010/08/11,50.371
2010/08/12,50.089
2010/08/13,50.702
2010/08/14,50.043
2010/08/15,49.726
2010/08/16,50.524
2010/08/17,49.882
2010/08/18,50.413
2010/08/19,49.824
2010/08/20,50.251
2010/08/21,49.955
2010/08/22,50.09
2010/08/23,50.247
2010/08/24,50.197
2010/08/25,49.88
2010/08/26,50.245
2010/08/27,49.873
2010/08/28,49.945
2010/08/29,49.613
2010/08/30,49.937
2010/08/31,50.455
2010/09/01,50.131
2010/09/02,49.983
2010/09/03,49.875
2010/09/04,49.752
2010/09/05,49.999
2010/09/06,49.905
2010/09/07,49.628
2010/09/08,49.997
2010/09/09,49.916
2010/09/10,49.987
2010/09/11,49.702
2010/09/12,50.438
2010/09/13,50.457
2010/09/14,50.311
2010/09/15,50.305
2010/09/16,50.368
2010/09/17,51.228
2010/09/18,50.012
2010/09/19,50.261
2010/09/20,50.4
2010/09/21,51.761
2010/09/22,51.268
2010/09/23,51.295
2010/09/24,50.621
2010/09/25,50.67
2010/09/26,50.109
2010/09/27,51.834
2010/09/28,52.929
2010/09/29,51.548
2010/09/30,50.071
2010/10/01,50.605
2010/10/02,50.43
2010/10/03,50.148
2010/10/04,50.552
2010/10/05,50.225
2010/10/06,50.193
2010/10/07,50.073
2010/10/08,50.515
2010/10/09,50.344
2010/10/10,49.998
2010/10/11,50.02
2010/10/12,50.062
2010/10/13,50.83
2010/10/14,50.018
2010/10/15,49.872
2010/10/16,50.837
2010/10/17,50.333
2010/10/18,50.864
2010/10/19,52.087
2010/10/20,51.455
2010/10/21,50.93
2010/10/22,50.869
2010/10/23,50.487
2010/10/24,50.531
2010/10/25,50.253
2010/10/26,50.57
2010/10/27,51.261
2010/10/28,50.92
2010/10/29,50.491
2010/10/30,49.955
2010/10/31,49.709
2010/11/01,49.781
2010/11/02,49.385
2010/11/03,49.723
2010/11/04,49.819
2010/11/05,50.482
2010/11/06,49.785
2010/11/07,50.059
2010/11/08,52.516
2010/11/09,49.914
2010/11/10,49.922
2010/11/11,49.786
2010/11/12,49.389
2010/11/13,49.733
2010/11/14,50.619
2010/11/15,58.63
2010/11/16,55.924
2010/11/17,49.852
2010/11/18,49.765
2010/11/19,49.784
2010/11/20,50.081
2010/11/21,50.027
2010/11/22,49.745
2010/11/23,49.821
2010/11/24,50.466
2010/11/25,50.356
2010/11/26,50.96
2010/11/27,50.148
2010/11/28,49.899
2010/11/29,50.316
2010/11/30,50.092
2010/12/01,50.763
2010/12/02,50.115
2010/12/03,50.264
2010/12/04,49.931
2010/12/05,49.856
2010/12/06,49.943
2010/12/07,50.844
2010/12/08,50.308
2010/12/09,50.155
2010/12/10,49.71
2010/12/11,50.676
2010/12/12,50.947
2010/12/13,51.988
2010/12/14,50.77
2010/12/15,50.654
