Date,mining_profitability3sma
2010/07/17,0
2010/07/18,0
2010/07/19,345868
2010/07/20,438379
2010/07/21,458029
2010/07/22,409085
2010/07/23,371705
2010/07/24,327978
2010/07/25,323377
2010/07/26,313356
2010/07/27,269618
2010/07/28,243462
2010/07/29,239714
2010/07/30,265379
2010/07/31,283801
2010/08/01,282034
2010/08/02,273062
2010/08/03,251993
2010/08/04,249076
2010/08/05,235117
2010/08/06,204571
2010/08/07,175811
2010/08/08,170510
2010/08/09,183451
2010/08/10,190192
2010/08/11,192238
2010/08/12,195983
2010/08/13,189791
2010/08/14,198087
2010/08/15,173197
2010/08/16,155644
2010/08/17,122807
2010/08/18,129406
2010/08/19,130883
2010/08/20,141373
2010/08/21,136250
2010/08/22,138984
2010/08/23,130371
2010/08/24,132391
2010/08/25,127698
2010/08/26,126089
2010/08/27,114680
2010/08/28,105847
2010/08/29,98984
2010/08/30,101688
2010/08/31,104533
2010/09/01,100602
2010/09/02,99693
2010/09/03,97449
2010/09/04,101650
2010/09/05,100252
2010/09/06,98741
2010/09/07,98182
2010/09/08,97072
2010/09/09,90279
2010/09/10,88134
2010/09/11,85436
2010/09/12,89795
2010/09/13,86139
2010/09/14,90016
2010/09/15,87167
2010/09/16,91617
2010/09/17,86426
2010/09/18,89499
2010/09/19,78326
2010/09/20,73725
2010/09/21,64684
2010/09/22,66092
2010/09/23,70526
2010/09/24,71683
2010/09/25,69834
2010/09/26,66239
2010/09/27,67671
2010/09/28,66728
2010/09/29,57195
2010/09/30,49356
2010/10/01,44428
2010/10/02,43424
2010/10/03,44972
2010/10/04,46725
2010/10/05,48678
2010/10/06,49852
2010/10/07,48466
2010/10/08,52782
2010/10/09,57195
2010/10/10,67125
2010/10/11,70612
2010/10/12,70274
2010/10/13,69993
2010/10/14,75280
2010/10/15,75720
2010/10/16,79605
2010/10/17,76036
2010/10/18,77032
2010/10/19,73527
2010/10/20,74713
2010/10/21,64300
2010/10/22,54102
2010/10/23,46101
2010/10/24,52482
2010/10/25,53669
2010/10/26,60021
2010/10/27,64570
2010/10/28,76664
2010/10/29,81245
2010/10/30,88486
2010/10/31,77032
