Date,hashrate7trx
2010/07/17,28.991
2010/07/18,24.442
2010/07/19,19.301
2010/07/20,15.18
2010/07/21,12.123
2010/07/22,9.749
2010/07/23,7.895
2010/07/24,6.357
2010/07/25,5.397
2010/07/26,5.066
2010/07/27,5.123
2010/07/28,4.687
2010/07/29,4.21
2010/07/30,3.814
2010/07/31,3.514
2010/08/01,3.594
2010/08/02,3.986
2010/08/03,4.261
2010/08/04,4.212
2010/08/05,4.267
2010/08/06,4.295
2010/08/07,3.801
2010/08/08,3.488
2010/08/09,3.437
2010/08/10,3.342
2010/08/11,3.443
2010/08/12,3.596
2010/08/13,3.683
2010/08/14,3.802
2010/08/15,4.661
2010/08/16,4.46
2010/08/17,3.74
2010/08/18,2.799
2010/08/19,1.956
2010/08/20,1.554
2010/08/21,1.595
2010/08/22,1.91
2010/08/23,2.426
2010/08/24,2.882
2010/08/25,3.253
2010/08/26,3.379
2010/08/27,3.463
2010/08/28,3.333
2010/08/29,2.908
2010/08/30,2.285
2010/08/31,1.854
2010/09/01,1.554
2010/09/02,1.172
2010/09/03,0.831
2010/09/04,0.679
2010/09/05,0.612
2010/09/06,0.501
2010/09/07,0.286
2010/09/08,0.277
2010/09/09,0.33
2010/09/10,0.463
2010/09/11,0.695
2010/09/12,0.971
2010/09/13,1.229
2010/09/14,1.512
2010/09/15,1.693
2010/09/16,1.895
2010/09/17,2.282
2010/09/18,2.668
2010/09/19,3.466
2010/09/20,4.067
2010/09/21,4.17
2010/09/22,3.785
2010/09/23,3.522
2010/09/24,3.634
2010/09/25,3.652
2010/09/26,3.372
2010/09/27,3.147
2010/09/28,3.055
2010/09/29,3.304
2010/09/30,3.027
2010/10/01,2.674
2010/10/02,1.945
2010/10/03,0.998
2010/10/04,0.416
2010/10/05,0.035
2010/10/06,-0.087
2010/10/07,0.15
2010/10/08,0.415
2010/10/09,0.591
2010/10/10,0.81
2010/10/11,1.019
2010/10/12,1.137
2010/10/13,1.258
2010/10/14,1.565
2010/10/15,1.926
2010/10/16,2.442
2010/10/17,3.529
2010/10/18,4.347
2010/10/19,4.579
2010/10/20,4.593
2010/10/21,5.194
2010/10/22,5.004
2010/10/23,4.558
2010/10/24,4.127
2010/10/25,4.036
2010/10/26,4.18
2010/10/27,4.326
2010/10/28,4.159
2010/10/29,3.989
2010/10/30,3.867
2010/10/31,4.32
2010/11/01,4.309
2010/11/02,4.045
2010/11/03,3.791
2010/11/04,3.572
2010/11/05,3.502
2010/11/06,3.422
2010/11/07,3.572
2010/11/08,3.834
2010/11/09,4.473
2010/11/10,4.814
2010/11/11,5.254
2010/11/12,5.097
2010/11/13,4.699
2010/11/14,4.695
2010/11/15,4.521
2010/11/16,3.936
2010/11/17,3.595
2010/11/18,3.788
2010/11/19,4.252
2010/11/20,3.658
2010/11/21,2.853
2010/11/22,2.283
2010/11/23,1.829
2010/11/24,1.63
2010/11/25,1.474
2010/11/26,1.747
2010/11/27,2.061
2010/11/28,2.041
2010/11/29,2.11
2010/11/30,2.482
2010/12/01,2.736
2010/12/02,2.997
2010/12/03,3.097
2010/12/04,3.297
2010/12/05,3.615
2010/12/06,3.927
2010/12/07,3.984
2010/12/08,3.941
2010/12/09,3.901
2010/12/10,3.836
2010/12/11,3.589
2010/12/12,3.417
2010/12/13,3.054
2010/12/14,2.568
2010/12/15,2.346
2010/12/16,2.286
2010/12/17,2.144
2010/12/18,1.81
2010/12/19,1.511
2010/12/20,1.335
2010/12/21,1.272
2010/12/22,1.503
2010/12/23,1.406
2010/12/24,1.213
2010/12/25,1.086
2010/12/26,0.92
2010/12/27,0.801
2010/12/28,0.906
2010/12/29,1.012
2010/12/30,1.021
2010/12/31,1.009
2011/01/01,1.045
2011/01/02,1.134
2011/01/03,1.307
2011/01/04,1.214
2011/01/05,1.028
2011/01/06,0.915
2011/01/07,0.727
2011/01/08,0.85
2011/01/09,0.854
