Date,mining_profitability14mom
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,143338
2010/08/01,-128753
2010/08/02,-233005
2010/08/03,-197400
2010/08/04,-196455
2010/08/05,-128049
2010/08/06,-176899
2010/08/07,-151554
2010/08/08,-130148
2010/08/09,-108013
2010/08/10,-117.633
2010/08/11,-45541
2010/08/12,-85534
2010/08/13,-95691
2010/08/14,-75919
2010/08/15,-154902
2010/08/16,-121434
2010/08/17,-111222
2010/08/18,-126353
2010/08/19,-75127
2010/08/20,11888
2010/08/21,-55442
2010/08/22,-51025
2010/08/23,-52772
2010/08/24,-69606
2010/08/25,-71242
2010/08/26,-68833
2010/08/27,-85258
2010/08/28,-122627
2010/08/29,-14754
2010/08/30,-24484
2010/08/31,-15586
2010/09/01,-46340
2010/09/02,-31642
2010/09/03,-53790
2010/09/04,-18369
2010/09/05,-44038
2010/09/06,-32483
2010/09/07,-26103
2010/09/08,-33292
2010/09/09,-48035
2010/09/10,1690
2010/09/11,-14888
2010/09/12,-14370
2010/09/13,-17391
2010/09/14,-11789
2010/09/15,-11125
2010/09/16,-1316
2010/09/17,-20631
2010/09/18,-14508
2010/09/19,-30638
2010/09/20,-29900
2010/09/21,-39957
2010/09/22,-23082
2010/09/23,3780
2010/09/24,-30049
2010/09/25,-20537
2010/09/26,-20079
2010/09/27,-14788
2010/09/28,-34999
2010/09/29,-40130
2010/09/30,-51654
2010/10/01,-34209
2010/10/02,-52361
2010/10/03,-13494
2010/10/04,-15147
2010/10/05,-19377
2010/10/06,-14197
2010/10/07,-32605
2010/10/08,-9902
2010/10/09,4590
2010/10/10,7970
2010/10/11,-3736
2010/10/12,6404
2010/10/13,35726
2010/10/14,35643
2010/10/15,22509
2010/10/16,50392
2010/10/17,20292
2010/10/18,20237
2010/10/19,34018
2010/10/20,20330
2010/10/21,-6846
2010/10/22,-9523
2010/10/23,-16912
2010/10/24,-17496
2010/10/25,-16422
