Date,size14roc
2010/07/17,149.116
2010/07/18,94.78
2010/07/19,168.115
2010/07/20,356.32
2010/07/21,59.2
2010/07/22,85.954
2010/07/23,94.941
2010/07/24,455.689
2010/07/25,643.89
2010/07/26,10.456
2010/07/27,54.6
2010/07/28,20.883
2010/07/29,199.547
2010/07/30,1.404
2010/07/31,-40.013
2010/08/01,-54.13
2010/08/02,-52.861
2010/08/03,-24.455
2010/08/04,-24.782
2010/08/05,72.17
2010/08/06,51.204
2010/08/07,-61.262
2010/08/08,-85.747
2010/08/09,61.498
2010/08/10,-41.876
2010/08/11,-87.563
2010/08/12,-84.019
2010/08/13,40.514
2010/08/14,5.518
2010/08/15,-8
2010/08/16,171.86
2010/08/17,-20.08
2010/08/18,371.64
2010/08/19,-35.926
2010/08/20,-23.855
2010/08/21,-18.135
2010/08/22,-12.637
2010/08/23,-72.551
2010/08/24,91.26
2010/08/25,-19.573
2010/08/26,27.122
2010/08/27,-47.908
2010/08/28,28.028
2010/08/29,3.016
2010/08/30,-39.055
2010/08/31,50.685
2010/09/01,-57.725
2010/09/02,-2.889
2010/09/03,-17.222
2010/09/04,-28.36
2010/09/05,18.792
2010/09/06,4.365
2010/09/07,-48.779
2010/09/08,43.458
2010/09/09,31.602
2010/09/10,21.881
2010/09/11,-19.33
2010/09/12,86.186
2010/09/13,17.842
2010/09/14,-42.255
2010/09/15,-15.6
2010/09/16,-10.702
2010/09/17,51.474
2010/09/18,13.152
2010/09/19,-7.837
2010/09/20,43.897
2010/09/21,281.216
2010/09/22,142.344
2010/09/23,18.763
2010/09/24,10.827
2010/09/25,63.941
2010/09/26,-18.529
2010/09/27,25.988
2010/09/28,120.561
2010/09/29,208.606
2010/09/30,42.795
2010/10/01,58.643
2010/10/02,367.119
2010/10/03,100.021
2010/10/04,36.018
2010/10/05,-37.6
2010/10/06,-45.848
2010/10/07,-21.939
2010/10/08,47.203
2010/10/09,18.336
2010/10/10,8.907
2010/10/11,-34.344
2010/10/12,-45.86
2010/10/13,-62.781
2010/10/14,-27.404
2010/10/15,-55.986
2010/10/16,-71.888
2010/10/17,-52.592
2010/10/18,-21.395
2010/10/19,17.766
2010/10/20,25.09
2010/10/21,51.64
2010/10/22,50.815
2010/10/23,-0.29
2010/10/24,28.671
2010/10/25,0.07
2010/10/26,-10.185
2010/10/27,5.025
2010/10/28,32.668
2010/10/29,43.946
2010/10/30,-19.099
2010/10/31,13.193
2010/11/01,-23.469
2010/11/02,-66.006
2010/11/03,-44.081
2010/11/04,-51.429
2010/11/05,-47.132
2010/11/06,-45.512
2010/11/07,-36.763
2010/11/08,32.564
2010/11/09,-16.096
2010/11/10,-43.498
2010/11/11,-33.657
2010/11/12,-40.379
2010/11/13,-7.619
2010/11/14,4.311
