Date,confirmationtime90roc
2010/07/17,41.618
2010/07/18,34.884
2010/07/19,17.816
2010/07/20,20.994
2010/07/21,-23.188
2010/07/22,-14.773
2010/07/23,-13.402
2010/07/24,-16.402
2010/07/25,-29.004
2010/07/26,-25.926
2010/07/27,8.434
2010/07/28,-7.547
2010/07/29,-20
2010/07/30,0.549
2010/07/31,-23.645
2010/08/01,-33.473
2010/08/02,-43.802
2010/08/03,-39.648
2010/08/04,-38.683
2010/08/05,-39.45
2010/08/06,4.762
2010/08/07,-7.742
2010/08/08,-35.678
2010/08/09,-41.579
2010/08/10,-33.508
2010/08/11,-45.064
2010/08/12,-43.318
2010/08/13,-57.674
2010/08/14,-59.786
2010/08/15,-30.918
2010/08/16,14.286
2010/08/17,27.132
2010/08/18,52.632
2010/08/19,30.37
2010/08/20,1.036
2010/08/21,21.965
2010/08/22,-11.321
2010/08/23,-1.408
2010/08/24,3.721
2010/08/25,-11.111
2010/08/26,6.19
2010/08/27,7.602
2010/08/28,-12.353
2010/08/29,-12.346
2010/08/30,-9.396
2010/08/31,-20.109
2010/09/01,-3.185
2010/09/02,-19.872
2010/09/03,-11.585
2010/09/04,-18.232
2010/09/05,-4.848
2010/09/06,1.266
2010/09/07,5
2010/09/08,-3.03
2010/09/09,24.444
2010/09/10,-23.729
2010/09/11,7.5
2010/09/12,-9.04
2010/09/13,7.602
2010/09/14,-30.049
2010/09/15,-13.609
2010/09/16,-31.507
2010/09/17,-27.885
2010/09/18,-21.941
2010/09/19,-26.316
2010/09/20,-23.153
2010/09/21,8.721
2010/09/22,-2.874
2010/09/23,-35.897
2010/09/24,-30.263
2010/09/25,-14.01
2010/09/26,-25.854
2010/09/27,-26.201
2010/09/28,-14.151
2010/09/29,28.659
2010/09/30,14.384
2010/10/01,37.662
2010/10/02,66
2010/10/03,46.721
2010/10/04,10.458
2010/10/05,23.81
2010/10/06,-11.696
2010/10/07,24.375
2010/10/08,28.571
2010/10/09,13.291
2010/10/10,270.225
2010/10/11,335.22
2010/10/12,272.903
2010/10/13,254.545
2010/10/14,146.341
2010/10/15,-2.26
2010/10/16,-33.333
2010/10/17,-35.556
2010/10/18,-27.309
2010/10/19,-19.141
2010/10/20,-33.333
2010/10/21,4.301
2010/10/22,22.727
2010/10/23,32
2010/10/24,18.537
2010/10/25,-18.227
2010/10/26,-34.025
2010/10/27,-15.493
2010/10/28,-16.895
2010/10/29,-8.969
2010/10/30,-5.159
2010/10/31,35.196
2010/11/01,28.249
2010/11/02,38.068
2010/11/03,14.737
2010/11/04,-26.866
2010/11/05,-29.224
2010/11/06,-8.716
2010/11/07,-21.162
2010/11/08,-30.545
2010/11/09,7.373
2010/11/10,6.897
2010/11/11,-1.826
2010/11/12,66.272
2010/11/13,-7.175
2010/11/14,-42.578
2010/11/15,-35.5
2010/11/16,-32.487
2010/11/17,-45.344
