Date,mediantransactionvalue14varUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,2.269
2010/07/31,2.203
2010/08/01,2.339
2010/08/02,2.416
2010/08/03,1.506
2010/08/04,1.25
2010/08/05,1.435
2010/08/06,1.503
2010/08/07,1.437
2010/08/08,1.487
2010/08/09,1.704
2010/08/10,1.807
2010/08/11,1.697
2010/08/12,1.529
2010/08/13,1.462
2010/08/14,1.433
2010/08/15,1.457
2010/08/16,1.733
2010/08/17,1.523
2010/08/18,1.549
2010/08/19,1.566
2010/08/20,1.044
2010/08/21,0.835
2010/08/22,0.112
2010/08/23,0.113
2010/08/24,0.115
2010/08/25,0.112
2010/08/26,0.748
2010/08/27,0.748
2010/08/28,1.172
2010/08/29,1.622
2010/08/30,1.75
2010/08/31,1.719
2010/09/01,1.833
2010/09/02,1.798
2010/09/03,2.774
2010/09/04,3.669
2010/09/05,3.656
2010/09/06,3.643
2010/09/07,3.629
2010/09/08,3.993
2010/09/09,3.681
2010/09/10,3.978
2010/09/11,4.087
2010/09/12,4.169
2010/09/13,4.038
2010/09/14,4.038
2010/09/15,3.83
2010/09/16,3.828
2010/09/17,2.819
2010/09/18,1.707
2010/09/19,2.248
2010/09/20,2.294
2010/09/21,2.404
2010/09/22,2.421
2010/09/23,2.318
2010/09/24,2.203
2010/09/25,2.245
2010/09/26,2.21
2010/09/27,2.316
2010/09/28,2.207
2010/09/29,3.772
2010/09/30,3.687
2010/10/01,3.625
2010/10/02,3.601
2010/10/03,3.703
2010/10/04,20.535
2010/10/05,29.685
2010/10/06,28.723
2010/10/07,33.047
2010/10/08,35.938
2010/10/09,36.207
2010/10/10,33.809
2010/10/11,30.244
2010/10/12,29.221
2010/10/13,29.628
2010/10/14,505.06
2010/10/15,639.277
2010/10/16,1259
2010/10/17,1224
2010/10/18,1227
2010/10/19,1256
2010/10/20,1250
2010/10/21,1270
2010/10/22,1302
2010/10/23,1329
2010/10/24,1352
