Date,top100cap30std
2010/07/17,0.695
2010/07/18,0.63
2010/07/19,0.618
2010/07/20,0.607
2010/07/21,0.594
2010/07/22,0.586
2010/07/23,0.581
2010/07/24,0.58
2010/07/25,0.576
2010/07/26,0.591
2010/07/27,0.602
2010/07/28,0.603
2010/07/29,0.615
2010/07/30,0.631
2010/07/31,0.64
2010/08/01,0.65
2010/08/02,0.657
2010/08/03,0.664
2010/08/04,0.665
2010/08/05,0.668
2010/08/06,0.666
2010/08/07,0.665
2010/08/08,0.664
2010/08/09,0.669
2010/08/10,0.669
2010/08/11,0.688
2010/08/12,0.682
2010/08/13,0.665
2010/08/14,0.652
2010/08/15,0.638
2010/08/16,0.637
2010/08/17,0.644
2010/08/18,0.636
2010/08/19,0.611
2010/08/20,0.587
2010/08/21,0.548
2010/08/22,0.48
2010/08/23,0.392
2010/08/24,0.256
2010/08/25,0.258
2010/08/26,0.261
2010/08/27,0.268
2010/08/28,0.269
2010/08/29,0.269
2010/08/30,0.269
2010/08/31,0.267
2010/09/01,0.261
2010/09/02,0.258
2010/09/03,0.246
2010/09/04,0.238
2010/09/05,0.225
2010/09/06,0.206
2010/09/07,0.181
2010/09/08,0.184
2010/09/09,0.183
2010/09/10,0.194
2010/09/11,0.205
2010/09/12,0.212
2010/09/13,0.236
2010/09/14,0.269
2010/09/15,0.306
2010/09/16,0.316
2010/09/17,0.329
2010/09/18,0.348
2010/09/19,0.382
2010/09/20,0.423
2010/09/21,0.453
2010/09/22,0.473
2010/09/23,0.516
2010/09/24,0.564
2010/09/25,0.622
2010/09/26,0.684
2010/09/27,0.794
2010/09/28,1.123
2010/09/29,1.352
2010/09/30,1.521
2010/10/01,1.653
2010/10/02,1.842
2010/10/03,1.994
2010/10/04,2.086
2010/10/05,2.171
2010/10/06,2.233
2010/10/07,2.333
2010/10/08,2.428
2010/10/09,2.525
2010/10/10,2.619
2010/10/11,2.672
2010/10/12,2.704
2010/10/13,2.712
2010/10/14,2.702
2010/10/15,2.647
2010/10/16,2.589
