Date,sentinusd14rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,49.541
2010/08/01,73.591
2010/08/02,51.894
2010/08/03,50.047
2010/08/04,49.498
2010/08/05,50.089
2010/08/06,48.263
2010/08/07,48.828
2010/08/08,47.432
2010/08/09,54.387
2010/08/10,50.02
2010/08/11,51.769
2010/08/12,47.976
2010/08/13,49.975
2010/08/14,47.958
2010/08/15,48.059
2010/08/16,53.727
2010/08/17,51.907
2010/08/18,50.369
2010/08/19,48.076
2010/08/20,49.276
2010/08/21,50.535
2010/08/22,47.925
2010/08/23,47.546
2010/08/24,48.071
2010/08/25,47.266
2010/08/26,46.938
2010/08/27,49.714
2010/08/28,47.485
2010/08/29,46.001
2010/08/30,47.174
2010/08/31,52.35
2010/09/01,50.052
2010/09/02,51.265
2010/09/03,50.04
2010/09/04,50.179
2010/09/05,67.621
2010/09/06,55.611
2010/09/07,47.141
2010/09/08,47.07
2010/09/09,49.561
2010/09/10,46.687
2010/09/11,46.146
2010/09/12,47.594
2010/09/13,61.196
2010/09/14,49.106
2010/09/15,50.234
2010/09/16,49.591
2010/09/17,54.37
2010/09/18,50.269
2010/09/19,51.399
2010/09/20,50.09
2010/09/21,48.179
2010/09/22,50.691
2010/09/23,60.735
2010/09/24,47.177
2010/09/25,48.4
2010/09/26,47.561
2010/09/27,48.951
2010/09/28,54.642
2010/09/29,55.974
2010/09/30,49.267
2010/10/01,51.281
2010/10/02,72.567
2010/10/03,50.228
2010/10/04,67.85
2010/10/05,52.709
2010/10/06,50.338
2010/10/07,50.745
2010/10/08,52.711
2010/10/09,55.263
2010/10/10,51.872
2010/10/11,48.145
2010/10/12,49.598
2010/10/13,52.066
2010/10/14,56.294
2010/10/15,53.88
2010/10/16,56.796
2010/10/17,50.581
2010/10/18,57.031
2010/10/19,58.985
2010/10/20,54.58
2010/10/21,53.998
2010/10/22,50.303
2010/10/23,44.791
