Date,sentbyaddress90wma
2010/07/17,440.544
2010/07/18,443.015
2010/07/19,448.269
2010/07/20,455.169
2010/07/21,457.742
2010/07/22,459.628
2010/07/23,461.299
2010/07/24,468.182
2010/07/25,500.174
2010/07/26,501.33
2010/07/27,502.67
2010/07/28,502.278
2010/07/29,502.361
2010/07/30,500.759
2010/07/31,498.46
2010/08/01,497.621
2010/08/02,496.823
2010/08/03,501.713
2010/08/04,503.61
2010/08/05,507.165
2010/08/06,506.771
2010/08/07,503.6
2010/08/08,503.529
2010/08/09,504.604
2010/08/10,502.454
2010/08/11,501.646
2010/08/12,500.581
2010/08/13,503.331
2010/08/14,502.15
2010/08/15,498.073
2010/08/16,498.877
2010/08/17,496.783
2010/08/18,496.129
2010/08/19,493.538
2010/08/20,492.765
2010/08/21,490.781
2010/08/22,488.61
2010/08/23,487.025
2010/08/24,485.055
2010/08/25,483.104
2010/08/26,480.593
2010/08/27,476.726
2010/08/28,474.122
2010/08/29,469.947
2010/08/30,467.404
2010/08/31,466.385
2010/09/01,464.831
2010/09/02,460.904
2010/09/03,458.183
2010/09/04,453.821
2010/09/05,450.63
2010/09/06,446.618
2010/09/07,442.261
2010/09/08,439.234
2010/09/09,436.334
2010/09/10,433.392
2010/09/11,429.718
2010/09/12,428.072
2010/09/13,428.237
2010/09/14,426.831
2010/09/15,426.294
2010/09/16,424.225
2010/09/17,421.142
2010/09/18,418.447
2010/09/19,415.124
2010/09/20,415.014
2010/09/21,424.538
2010/09/22,431.326
2010/09/23,435.356
2010/09/24,436.341
2010/09/25,437.963
2010/09/26,435.625
2010/09/27,438.991
2010/09/28,437.416
2010/09/29,446.408
2010/09/30,443.545
2010/10/01,445.759
2010/10/02,446.737
2010/10/03,445.292
2010/10/04,443.807
2010/10/05,442.208
2010/10/06,440.126
2010/10/07,436.049
2010/10/08,432.93
2010/10/09,430.816
2010/10/10,427.716
2010/10/11,424.62
2010/10/12,422.308
2010/10/13,421.648
2010/10/14,420.745
2010/10/15,419.663
2010/10/16,420.411
2010/10/17,421.678
2010/10/18,426.589
2010/10/19,441.806
2010/10/20,450.902
2010/10/21,455.431
2010/10/22,461.464
2010/10/23,465.459
2010/10/24,469.916
2010/10/25,470.716
2010/10/26,474.978
2010/10/27,480.821
2010/10/28,484.342
2010/10/29,485.614
2010/10/30,485.137
2010/10/31,482.067
2010/11/01,480.193
2010/11/02,476.664
2010/11/03,474.895
2010/11/04,472.778
2010/11/05,473.041
2010/11/06,472.487
2010/11/07,472.565
2010/11/08,473.721
2010/11/09,472.765
2010/11/10,472.175
