Date,activeaddresses90trx
2010/07/17,0.541
2010/07/18,0.582
2010/07/19,0.621
2010/07/20,0.658
2010/07/21,0.692
2010/07/22,0.724
2010/07/23,0.753
2010/07/24,0.781
2010/07/25,0.811
2010/07/26,0.841
2010/07/27,0.868
2010/07/28,0.893
2010/07/29,0.914
2010/07/30,0.933
2010/07/31,0.948
2010/08/01,0.961
2010/08/02,0.972
2010/08/03,0.983
2010/08/04,0.991
2010/08/05,0.999
2010/08/06,1.004
2010/08/07,1.008
2010/08/08,1.01
2010/08/09,1.011
2010/08/10,1.011
2010/08/11,1.009
2010/08/12,1.007
2010/08/13,1.004
2010/08/14,1
2010/08/15,0.994
2010/08/16,0.988
2010/08/17,0.981
2010/08/18,0.973
2010/08/19,0.964
2010/08/20,0.955
2010/08/21,0.946
2010/08/22,0.935
2010/08/23,0.925
2010/08/24,0.914
2010/08/25,0.903
2010/08/26,0.891
2010/08/27,0.879
2010/08/28,0.867
2010/08/29,0.853
2010/08/30,0.84
2010/08/31,0.827
2010/09/01,0.814
2010/09/02,0.801
2010/09/03,0.787
2010/09/04,0.774
2010/09/05,0.76
2010/09/06,0.746
2010/09/07,0.732
2010/09/08,0.718
2010/09/09,0.704
2010/09/10,0.69
2010/09/11,0.676
2010/09/12,0.662
2010/09/13,0.649
2010/09/14,0.636
2010/09/15,0.624
2010/09/16,0.612
2010/09/17,0.601
2010/09/18,0.59
2010/09/19,0.58
2010/09/20,0.569
2010/09/21,0.561
2010/09/22,0.553
2010/09/23,0.546
2010/09/24,0.539
2010/09/25,0.533
2010/09/26,0.527
2010/09/27,0.522
2010/09/28,0.519
2010/09/29,0.517
2010/09/30,0.514
2010/10/01,0.512
2010/10/02,0.509
2010/10/03,0.506
2010/10/04,0.503
2010/10/05,0.5
2010/10/06,0.497
2010/10/07,0.493
2010/10/08,0.489
2010/10/09,0.486
2010/10/10,0.482
2010/10/11,0.477
2010/10/12,0.473
2010/10/13,0.468
2010/10/14,0.464
2010/10/15,0.459
2010/10/16,0.454
2010/10/17,0.45
2010/10/18,0.446
2010/10/19,0.443
2010/10/20,0.441
2010/10/21,0.439
2010/10/22,0.437
2010/10/23,0.436
2010/10/24,0.434
2010/10/25,0.432
2010/10/26,0.43
2010/10/27,0.429
2010/10/28,0.427
2010/10/29,0.426
2010/10/30,0.424
2010/10/31,0.422
2010/11/01,0.419
2010/11/02,0.415
2010/11/03,0.411
2010/11/04,0.407
2010/11/05,0.403
2010/11/06,0.398
2010/11/07,0.394
2010/11/08,0.39
2010/11/09,0.387
2010/11/10,0.383
2010/11/11,0.379
2010/11/12,0.374
2010/11/13,0.369
2010/11/14,0.364
2010/11/15,0.366
2010/11/16,0.372
2010/11/17,0.377
2010/11/18,0.381
2010/11/19,0.384
2010/11/20,0.386
2010/11/21,0.388
2010/11/22,0.389
2010/11/23,0.39
2010/11/24,0.39
2010/11/25,0.39
2010/11/26,0.391
2010/11/27,0.391
2010/11/28,0.39
2010/11/29,0.39
2010/11/30,0.389
2010/12/01,0.388
2010/12/02,0.387
2010/12/03,0.386
2010/12/04,0.384
2010/12/05,0.382
2010/12/06,0.379
2010/12/07,0.377
2010/12/08,0.375
2010/12/09,0.372
2010/12/10,0.37
2010/12/11,0.367
2010/12/12,0.365
2010/12/13,0.364
2010/12/14,0.363
2010/12/15,0.362
2010/12/16,0.361
2010/12/17,0.36
2010/12/18,0.359
2010/12/19,0.357
2010/12/20,0.357
2010/12/21,0.356
2010/12/22,0.356
2010/12/23,0.356
2010/12/24,0.355
2010/12/25,0.354
2010/12/26,0.354
2010/12/27,0.353
2010/12/28,0.352
2010/12/29,0.352
2010/12/30,0.351
2010/12/31,0.35
2011/01/01,0.349
2011/01/02,0.348
2011/01/03,0.348
2011/01/04,0.347
2011/01/05,0.347
2011/01/06,0.348
2011/01/07,0.348
2011/01/08,0.349
2011/01/09,0.35
2011/01/10,0.352
2011/01/11,0.353
2011/01/12,0.355
2011/01/13,0.358
2011/01/14,0.361
2011/01/15,0.364
2011/01/16,0.368
2011/01/17,0.371
2011/01/18,0.374
2011/01/19,0.378
2011/01/20,0.382
2011/01/21,0.386
2011/01/22,0.391
2011/01/23,0.397
2011/01/24,0.404
2011/01/25,0.41
2011/01/26,0.416
2011/01/27,0.422
2011/01/28,0.429
2011/01/29,0.435
2011/01/30,0.444
2011/01/31,0.453
2011/02/01,0.462
2011/02/02,0.471
2011/02/03,0.478
2011/02/04,0.485
2011/02/05,0.492
2011/02/06,0.498
2011/02/07,0.503
2011/02/08,0.508
2011/02/09,0.513
2011/02/10,0.52
2011/02/11,0.53
2011/02/12,0.542
2011/02/13,0.554
2011/02/14,0.569
2011/02/15,0.584
2011/02/16,0.6
2011/02/17,0.616
2011/02/18,0.634
2011/02/19,0.651
2011/02/20,0.668
2011/02/21,0.686
2011/02/22,0.704
2011/02/23,0.722
2011/02/24,0.741
2011/02/25,0.76
2011/02/26,0.778
2011/02/27,0.797
2011/02/28,0.815
2011/03/01,0.834
2011/03/02,0.853
2011/03/03,0.873
2011/03/04,0.891
2011/03/05,0.91
2011/03/06,0.927
2011/03/07,0.943
2011/03/08,0.959
2011/03/09,0.973
2011/03/10,0.987
2011/03/11,0.999
2011/03/12,1.01
2011/03/13,1.019
2011/03/14,1.028
2011/03/15,1.035
2011/03/16,1.042
2011/03/17,1.047
2011/03/18,1.052
2011/03/19,1.056
2011/03/20,1.06
2011/03/21,1.065
2011/03/22,1.07
2011/03/23,1.076
2011/03/24,1.083
2011/03/25,1.089
2011/03/26,1.096
2011/03/27,1.102
2011/03/28,1.109
2011/03/29,1.115
2011/03/30,1.121
2011/03/31,1.126
2011/04/01,1.129
2011/04/02,1.131
2011/04/03,1.132
2011/04/04,1.133
2011/04/05,1.134
2011/04/06,1.134
2011/04/07,1.133
2011/04/08,1.132
2011/04/09,1.129
2011/04/10,1.126
2011/04/11,1.122
2011/04/12,1.119
2011/04/13,1.115
2011/04/14,1.112
2011/04/15,1.109
2011/04/16,1.107
2011/04/17,1.104
2011/04/18,1.102
2011/04/19,1.1
2011/04/20,1.099
2011/04/21,1.097
2011/04/22,1.094
2011/04/23,1.092
2011/04/24,1.089
2011/04/25,1.086
2011/04/26,1.083
2011/04/27,1.082
2011/04/28,1.082
2011/04/29,1.082
2011/04/30,1.083
2011/05/01,1.085
2011/05/02,1.087
2011/05/03,1.089
2011/05/04,1.091
2011/05/05,1.093
2011/05/06,1.095
2011/05/07,1.098
2011/05/08,1.1
2011/05/09,1.102
2011/05/10,1.105
2011/05/11,1.108
