Date,price30rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,55.978
2010/08/17,57.193
2010/08/18,57.636
2010/08/19,56.809
2010/08/20,56.218
2010/08/21,56.143
2010/08/22,55.91
2010/08/23,55.886
2010/08/24,55.612
2010/08/25,55.901
2010/08/26,55.209
2010/08/27,55.257
2010/08/28,55.281
2010/08/29,55.156
2010/08/30,55.384
2010/08/31,53.613
2010/09/01,53.834
2010/09/02,53.666
2010/09/03,52.8
2010/09/04,53.344
2010/09/05,53.475
2010/09/06,53.555
2010/09/07,52.913
2010/09/08,53.05
2010/09/09,52.737
2010/09/10,52.952
2010/09/11,53.964
2010/09/12,53.124
2010/09/13,53.343
2010/09/14,53.262
2010/09/15,52.759
2010/09/16,53.137
2010/09/17,51.295
2010/09/18,51.344
2010/09/19,52.954
2010/09/20,53.215
2010/09/21,53.912
2010/09/22,53.25
2010/09/23,53.202
2010/09/24,53.135
2010/09/25,53.1
2010/09/26,52.988
2010/09/27,53.107
2010/09/28,52.855
2010/09/29,52.883
2010/09/30,52.703
2010/10/01,52.839
2010/10/02,52.428
2010/10/03,51.874
2010/10/04,51.859
2010/10/05,52.077
2010/10/06,53.147
2010/10/07,57.018
2010/10/08,67.997
2010/10/09,74.533
2010/10/10,77.198
2010/10/11,74.962
2010/10/12,75.569
2010/10/13,77.167
2010/10/14,78.846
2010/10/15,77.91
2010/10/16,75.44
2010/10/17,76.03
2010/10/18,76.304
2010/10/19,71.238
2010/10/20,71.701
2010/10/21,72.875
2010/10/22,74.217
2010/10/23,74.828
2010/10/24,76.648
2010/10/25,76.097
2010/10/26,84.006
2010/10/27,87.788
