Date,size90wma
2010/07/17,410.734
2010/07/18,419.529
2010/07/19,428.007
2010/07/20,441.394
2010/07/21,444.877
2010/07/22,447.164
2010/07/23,448.403
2010/07/24,471.542
2010/07/25,531.743
2010/07/26,542.305
2010/07/27,547.441
2010/07/28,611.031
2010/07/29,652.46
2010/07/30,653.092
2010/07/31,650.375
2010/08/01,646.756
2010/08/02,643.226
2010/08/03,648.209
2010/08/04,645.707
2010/08/05,652.84
2010/08/06,656.069
2010/08/07,656.667
2010/08/08,654.736
2010/08/09,675.513
2010/08/10,672.054
2010/08/11,669.031
2010/08/12,665.156
2010/08/13,669.846
2010/08/14,667.288
2010/08/15,662.736
2010/08/16,672.367
2010/08/17,673.597
2010/08/18,703.975
2010/08/19,703.559
2010/08/20,702.472
2010/08/21,700.104
2010/08/22,696.225
2010/08/23,692.649
2010/08/24,696.676
2010/08/25,691.335
2010/08/26,689.213
2010/08/27,685.103
2010/08/28,683.873
2010/08/29,678.312
2010/08/30,678.394
2010/08/31,685.107
2010/09/01,689.847
2010/09/02,688.18
2010/09/03,684.223
2010/09/04,678.07
2010/09/05,674.905
2010/09/06,670.835
2010/09/07,665.887
2010/09/08,662.959
2010/09/09,663.353
2010/09/10,660.288
2010/09/11,655.957
2010/09/12,655.868
2010/09/13,657.398
2010/09/14,654.902
2010/09/15,656.082
2010/09/16,652.404
2010/09/17,652.518
2010/09/18,646.552
2010/09/19,641.802
2010/09/20,641.039
2010/09/21,659.171
2010/09/22,670.159
2010/09/23,671.917
2010/09/24,668.704
2010/09/25,669.017
2010/09/26,665.006
2010/09/27,669.112
2010/09/28,678.903
2010/09/29,710.186
2010/09/30,709.214
2010/10/01,715.963
2010/10/02,738.169
2010/10/03,740.741
2010/10/04,742.605
2010/10/05,746.262
2010/10/06,743.396
2010/10/07,739.514
2010/10/08,739.85
2010/10/09,740.949
2010/10/10,735.92
2010/10/11,731.531
2010/10/12,728.036
2010/10/13,728.823
2010/10/14,722.997
2010/10/15,716.368
2010/10/16,710.605
2010/10/17,703.119
2010/10/18,701.151
2010/10/19,708.711
2010/10/20,709.636
2010/10/21,712.758
2010/10/22,722.159
2010/10/23,723.713
2010/10/24,723.32
2010/10/25,720.096
2010/10/26,716.432
2010/10/27,719.46
2010/10/28,718.884
2010/10/29,718.317
2010/10/30,712.103
2010/10/31,707.315
2010/11/01,703.384
2010/11/02,696.612
2010/11/03,691.435
2010/11/04,686.188
2010/11/05,685.218
2010/11/06,680.342
2010/11/07,675.457
2010/11/08,677.777
2010/11/09,673.457
2010/11/10,669.18
2010/11/11,664.032
2010/11/12,658.029
2010/11/13,651.545
2010/11/14,647.584
2010/11/15,824.527
2010/11/16,1047
2010/11/17,1038
