Date,hashrate3rsi
2010/07/17,99.711
2010/07/18,44.282
2010/07/19,44.186
2010/07/20,48.847
2010/07/21,54.193
2010/07/22,52.411
2010/07/23,53.759
2010/07/24,44.659
2010/07/25,74.911
2010/07/26,87.873
2010/07/27,91.904
2010/07/28,42.357
2010/07/29,53.734
2010/07/30,61.196
2010/07/31,67.539
2010/08/01,85.952
2010/08/02,91.495
2010/08/03,79.686
2010/08/04,56.713
2010/08/05,78.998
2010/08/06,81.084
2010/08/07,31.909
2010/08/08,62.183
2010/08/09,73.271
2010/08/10,62.401
2010/08/11,78.582
2010/08/12,81.902
2010/08/13,83.061
2010/08/14,90.258
2010/08/15,97.897
2010/08/16,38.747
2010/08/17,35.967
2010/08/18,31.703
2010/08/19,38.152
2010/08/20,64.287
2010/08/21,76.221
2010/08/22,81.73
2010/08/23,87.652
2010/08/24,87.879
2010/08/25,91.012
2010/08/26,67.813
2010/08/27,81.959
2010/08/28,54.089
2010/08/29,29.422
2010/08/30,20.175
2010/08/31,56.766
2010/09/01,58.897
2010/09/02,32.669
2010/09/03,40.142
2010/09/04,65.895
2010/09/05,64.314
2010/09/06,40.657
2010/09/07,24.239
2010/09/08,68.185
2010/09/09,62.934
2010/09/10,73.09
2010/09/11,82.875
2010/09/12,86.923
2010/09/13,88.954
2010/09/14,94.012
2010/09/15,75.79
2010/09/16,88.341
2010/09/17,95.514
2010/09/18,96.142
2010/09/19,98.959
2010/09/20,79.377
2010/09/21,51.074
2010/09/22,33.757
2010/09/23,63.481
2010/09/24,80.006
2010/09/25,63.238
2010/09/26,43.783
2010/09/27,61.687
2010/09/28,71.943
2010/09/29,86.325
2010/09/30,38.07
2010/10/01,48.638
2010/10/02,27.865
2010/10/03,21.413
2010/10/04,52.566
2010/10/05,49.691
2010/10/06,61.875
2010/10/07,77.682
2010/10/08,63.417
2010/10/09,54.133
2010/10/10,69.668
2010/10/11,72.301
2010/10/12,60.249
2010/10/13,75.187
2010/10/14,90.494
2010/10/15,92.449
2010/10/16,96.538
2010/10/17,98.958
2010/10/18,75.436
2010/10/19,53.081
2010/10/20,64.411
2010/10/21,88.14
2010/10/22,43.857
2010/10/23,48.958
2010/10/24,56.432
2010/10/25,74.15
2010/10/26,80.718
2010/10/27,82.323
2010/10/28,51.649
2010/10/29,68.056
2010/10/30,75.765
2010/10/31,92.697
2010/11/01,50.048
2010/11/02,50.563
2010/11/03,62.2
2010/11/04,67.72
2010/11/05,79.93
2010/11/06,78.552
2010/11/07,91.596
2010/11/08,94.129
2010/11/09,97.813
2010/11/10,69.443
2010/11/11,83.964
2010/11/12,47.057
2010/11/13,51.222
2010/11/14,78.12
2010/11/15,57.87
2010/11/16,36.727
2010/11/17,62.955
2010/11/18,79.667
2010/11/19,84.39
2010/11/20,30.274
2010/11/21,38.327
2010/11/22,52.899
2010/11/23,50.281
2010/11/24,64.268
2010/11/25,55.288
2010/11/26,81.522
2010/11/27,73.65
2010/11/28,41.826
2010/11/29,64.982
2010/11/30,80.23
2010/12/01,64.64
2010/12/02,74.713
2010/12/03,65.193
2010/12/04,82.022
2010/12/05,88.667
2010/12/06,91.105
2010/12/07,66.013
2010/12/08,75.293
2010/12/09,84.088
2010/12/10,87.124
2010/12/11,53.755
2010/12/12,76.34
2010/12/13,41.858
2010/12/14,33.66
2010/12/15,71.192
2010/12/16,76.166
2010/12/17,52.241
2010/12/18,32.246
2010/12/19,49.24
2010/12/20,63.464
2010/12/21,71.56
2010/12/22,88.844
2010/12/23,37.968
2010/12/24,43.425
2010/12/25,56.375
2010/12/26,44.82
2010/12/27,55.282
2010/12/28,78.565
2010/12/29,64.149
2010/12/30,48.923
2010/12/31,58.086
2011/01/01,72.179
2011/01/02,80.234
2011/01/03,88.754
2011/01/04,33.491
2011/01/05,38.103
2011/01/06,59.228
2011/01/07,37.554
2011/01/08,76.509
2011/01/09,47.236
2011/01/10,62.916
2011/01/11,50.069
2011/01/12,58.402
2011/01/13,70.53
2011/01/14,72.587
2011/01/15,81.539
2011/01/16,86.948
2011/01/17,89.948
2011/01/18,40.91
2011/01/19,38.454
2011/01/20,70.814
2011/01/21,86.032
2011/01/22,36.382
2011/01/23,55.221
2011/01/24,55.836
2011/01/25,38.583
