Date,activeaddresses30ema
2010/07/17,1133
2010/07/18,1119
2010/07/19,1110
2010/07/20,1097
2010/07/21,1078
2010/07/22,1047
2010/07/23,1022
2010/07/24,1018
2010/07/25,1090
2010/07/26,1099
2010/07/27,1078
2010/07/28,1052
2010/07/29,1018
2010/07/30,990.204
2010/07/31,956.965
2010/08/01,935.226
2010/08/02,915.34
2010/08/03,919.125
2010/08/04,906.987
2010/08/05,901.311
2010/08/06,884.323
2010/08/07,860.431
2010/08/08,842.597
2010/08/09,838.429
2010/08/10,822.402
2010/08/11,814.569
2010/08/12,799.371
2010/08/13,802.444
2010/08/14,786.996
2010/08/15,763.642
2010/08/16,764.181
2010/08/17,746.75
2010/08/18,745.411
2010/08/19,727.643
2010/08/20,723.021
2010/08/21,710.439
2010/08/22,702.41
2010/08/23,699.223
2010/08/24,694.886
2010/08/25,682.248
2010/08/26,680.296
2010/08/27,668.471
2010/08/28,659.344
2010/08/29,641.967
2010/08/30,634.227
2010/08/31,640.664
2010/09/01,638.234
2010/09/02,632.09
2010/09/03,623.568
2010/09/04,612.434
2010/09/05,608.277
2010/09/06,602.001
2010/09/07,589.163
2010/09/08,586.313
2010/09/09,581.648
2010/09/10,579.026
2010/09/11,569.605
2010/09/12,578.727
2010/09/13,587.712
2010/09/14,592.634
2010/09/15,597.109
2010/09/16,602.78
2010/09/17,628.6
2010/09/18,624.303
2010/09/19,626.219
2010/09/20,631.302
2010/09/21,669.024
2010/09/22,692.894
2010/09/23,715.868
2010/09/24,721.748
2010/09/25,728.409
2010/09/26,721.609
2010/09/27,756.924
2010/09/28,817.703
2010/09/29,842.239
2010/09/30,829.062
2010/10/01,830.219
2010/10/02,826.979
2010/10/03,816.981
2010/10/04,817.692
2010/10/05,810.357
2010/10/06,802.721
2010/10/07,792.674
2010/10/08,793.986
2010/10/09,791.148
2010/10/10,780.3
2010/10/11,770.667
2010/10/12,762.624
2010/10/13,773.165
2010/10/14,764.186
2010/10/15,752.368
2010/10/16,764.021
2010/10/17,763.246
2010/10/18,775.101
2010/10/19,815.933
2010/10/20,839.615
2010/10/21,849.575
2010/10/22,857.474
2010/10/23,856.024
2010/10/24,855.7
2010/10/25,849.009
2010/10/26,850.105
2010/10/27,867.324
2010/10/28,875.755
2010/10/29,873.965
2010/10/30,860.096
2010/10/31,841.509
2010/11/01,825.734
2010/11/02,802.009
2010/11/03,787.299
2010/11/04,775.667
2010/11/05,779.495
2010/11/06,767.657
2010/11/07,762.646
2010/11/08,814.798
2010/11/09,804.037
2010/11/10,794.164
2010/11/11,781.702
2010/11/12,760.689
2010/11/13,748.967
2010/11/14,758.775
2010/11/15,993.435
2010/11/16,1146
2010/11/17,1116
2010/11/18,1085
2010/11/19,1056
2010/11/20,1039
2010/11/21,1021
2010/11/22,994.921
2010/11/23,973.313
2010/11/24,972.648
2010/11/25,968.735
2010/11/26,983.462
2010/11/27,973.045
2010/11/28,955.816
2010/11/29,952.215
2010/11/30,942.201
2010/12/01,952.963
2010/12/02,943.868
2010/12/03,939.812
2010/12/04,926.211
2010/12/05,911.295
2010/12/06,899.856
2010/12/07,915.478
2010/12/08,914.673
2010/12/09,909.533
2010/12/10,891.886
2010/12/11,903.377
2010/12/12,922.127
2010/12/13,970.764
2010/12/14,981.489
2010/12/15,988.167
2010/12/16,985.64
2010/12/17,973.405
2010/12/18,965.96
2010/12/19,973.833
2010/12/20,1005
2010/12/21,1011
2010/12/22,1024
2010/12/23,1023
2010/12/24,1012
2010/12/25,1016
2010/12/26,1017
2010/12/27,1025
2010/12/28,1025
2010/12/29,1023
2010/12/30,1027
2010/12/31,1019
2011/01/01,1023
2011/01/02,1025
2011/01/03,1049
2011/01/04,1051
2011/01/05,1082
2011/01/06,1087
2011/01/07,1098
2011/01/08,1122
2011/01/09,1139
2011/01/10,1158
2011/01/11,1184
2011/01/12,1189
2011/01/13,1221
2011/01/14,1246
2011/01/15,1258
2011/01/16,1276
2011/01/17,1280
2011/01/18,1289
2011/01/19,1306
2011/01/20,1315
2011/01/21,1357
2011/01/22,1411
2011/01/23,1445
2011/01/24,1485
2011/01/25,1482
2011/01/26,1489
2011/01/27,1499
2011/01/28,1512
2011/01/29,1548
2011/01/30,1655
2011/01/31,1692
2011/02/01,1706
2011/02/02,1692
2011/02/03,1665
2011/02/04,1655
2011/02/05,1646
2011/02/06,1630
2011/02/07,1615
2011/02/08,1603
2011/02/09,1634
2011/02/10,1758
2011/02/11,1922
2011/02/12,2011
2011/02/13,2092
2011/02/14,2223
2011/02/15,2299
2011/02/16,2343
2011/02/17,2418
2011/02/18,2494
2011/02/19,2520
2011/02/20,2562
2011/02/21,2609
2011/02/22,2685
2011/02/23,2757
2011/02/24,2816
2011/02/25,2855
2011/02/26,2902
2011/02/27,2949
2011/02/28,2954
2011/03/01,3098
2011/03/02,3139
2011/03/03,3252
2011/03/04,3254
2011/03/05,3277
2011/03/06,3280
2011/03/07,3288
2011/03/08,3325
2011/03/09,3329
2011/03/10,3302
2011/03/11,3286
2011/03/12,3282
2011/03/13,3257
2011/03/14,3234
2011/03/15,3238
2011/03/16,3234
2011/03/17,3233
2011/03/18,3224
2011/03/19,3221
2011/03/20,3300
2011/03/21,3387
2011/03/22,3418
2011/03/23,3640
2011/03/24,3689
2011/03/25,3720
2011/03/26,3791
2011/03/27,3854
2011/03/28,3950
2011/03/29,3995
2011/03/30,3974
2011/03/31,3986
2011/04/01,3940
2011/04/02,3899
2011/04/03,3882
2011/04/04,3929
2011/04/05,3954
2011/04/06,3948
2011/04/07,3914
2011/04/08,3897
2011/04/09,3879
2011/04/10,3855
2011/04/11,3868
2011/04/12,3898
2011/04/13,3948
2011/04/14,4078
2011/04/15,4083
2011/04/16,4166
2011/04/17,4178
2011/04/18,4265
2011/04/19,4400
2011/04/20,4464
2011/04/21,4437
2011/04/22,4424
2011/04/23,4457
2011/04/24,4470
2011/04/25,4509
2011/04/26,4615
2011/04/27,4800
2011/04/28,4892
2011/04/29,5012
2011/04/30,5215
2011/05/01,5361
2011/05/02,5402
2011/05/03,5444
2011/05/04,5503
2011/05/05,5606
2011/05/06,5687
2011/05/07,5789
2011/05/08,5829
2011/05/09,5941
2011/05/10,6020
2011/05/11,6088
2011/05/12,6162
2011/05/13,6374
2011/05/14,6542
2011/05/15,6657
2011/05/16,6986
2011/05/17,7213
2011/05/18,7582
2011/05/19,7867
2011/05/20,8108
2011/05/21,8280
2011/05/22,8445
2011/05/23,8680
2011/05/24,8971
2011/05/25,9331
2011/05/26,9663
2011/05/27,9737
2011/05/28,9860
2011/05/29,9946
2011/05/30,10127
2011/05/31,10380
2011/06/01,10612
2011/06/02,10929
2011/06/03,11373
2011/06/04,11892
2011/06/05,12277
2011/06/06,12838
2011/06/07,13233
2011/06/08,14141
2011/06/09,14924
2011/06/10,15519
2011/06/11,16051
2011/06/12,16758
2011/06/13,17342
2011/06/14,18145
2011/06/15,18751
2011/06/16,19403
2011/06/17,19833
2011/06/18,20238
2011/06/19,20724
2011/06/20,21061
2011/06/21,21315
2011/06/22,21667
2011/06/23,21841
2011/06/24,22059
2011/06/25,22095
2011/06/26,22188
2011/06/27,22701
2011/06/28,22926
2011/06/29,23017
2011/06/30,23045
2011/07/01,23508
2011/07/02,24070
2011/07/03,23953
2011/07/04,23927
2011/07/05,23887
2011/07/06,24082
2011/07/07,24009
2011/07/08,24048
2011/07/09,23965
2011/07/10,24271
2011/07/11,24373
2011/07/12,24287
2011/07/13,24474
2011/07/14,24756
2011/07/15,24735
2011/07/16,24691
2011/07/17,24690
2011/07/18,24896
2011/07/19,24896
2011/07/20,24960
2011/07/21,24991
2011/07/22,24956
2011/07/23,24759
2011/07/24,24660
2011/07/25,24809
2011/07/26,24745
2011/07/27,24663
2011/07/28,24743
2011/07/29,24580
2011/07/30,24269
2011/07/31,24261
2011/08/01,24228
2011/08/02,24065
2011/08/03,23701
2011/08/04,23395
2011/08/05,23273
2011/08/06,23077
2011/08/07,22883
2011/08/08,22995
2011/08/09,23039
2011/08/10,22824
2011/08/11,22531
2011/08/12,22183
2011/08/13,21989
2011/08/14,21958
2011/08/15,21781
2011/08/16,21730
2011/08/17,21642
2011/08/18,21580
2011/08/19,21622
2011/08/20,21589
2011/08/21,21666
2011/08/22,21894
2011/08/23,21946
2011/08/24,21958
2011/08/25,22032
2011/08/26,22000
2011/08/27,21926
2011/08/28,21704
2011/08/29,21522
2011/08/30,21265
2011/08/31,20992
2011/09/01,20733
2011/09/02,20434
2011/09/03,20049
2011/09/04,19887
2011/09/05,19781
2011/09/06,19716
2011/09/07,19529
2011/09/08,19289
2011/09/09,19245
2011/09/10,19032
2011/09/11,18799
2011/09/12,18659
2011/09/13,18415
2011/09/14,18181
2011/09/15,18005
2011/09/16,17783
2011/09/17,17482
2011/09/18,17281
2011/09/19,17202
2011/09/20,17506
2011/09/21,17534
2011/09/22,17534
2011/09/23,17693
2011/09/24,17805
2011/09/25,17898
2011/09/26,17889
2011/09/27,17941
2011/09/28,17670
2011/09/29,17356
2011/09/30,17105
2011/10/01,16840
2011/10/02,16517
2011/10/03,16345
2011/10/04,16181
2011/10/05,16018
2011/10/06,15916
2011/10/07,15776
2011/10/08,15565
2011/10/09,15353
2011/10/10,15223
2011/10/11,15126
2011/10/12,15026
2011/10/13,14809
2011/10/14,14793
