Date,transactionvalue14rocUSD
2011/04/25,78.701
2011/04/26,59.432
2011/04/27,48.692
2011/04/28,104.342
2011/04/29,1022
2011/04/30,79.013
2011/05/01,-78.419
2011/05/02,149.959
2011/05/03,-75.635
2011/05/04,-81.639
2011/05/05,-41.746
2011/05/06,193.974
2011/05/07,82.246
2011/05/08,794.799
2011/05/09,176.304
2011/05/10,895.957
2011/05/11,223.927
2011/05/12,263.618
2011/05/13,44.576
2011/05/14,967.514
2011/05/15,330.566
2011/05/16,294.978
2011/05/17,72.472
2011/05/18,-33.643
2011/05/19,70.321
2011/05/20,54.161
2011/05/21,287.704
2011/05/22,55.48
2011/05/23,231.499
2011/05/24,-49.202
2011/05/25,50.392
2011/05/26,38.546
2011/05/27,17.512
2011/05/28,-87.809
2011/05/29,-19.189
2011/05/30,-9.459
2011/05/31,10.997
2011/06/01,66.625
2011/06/02,90.368
2011/06/03,102.155
2011/06/04,13.585
2011/06/05,7.667
2011/06/06,172.297
2011/06/07,179.886
2011/06/08,268.635
2011/06/09,268.895
2011/06/10,127.486
2011/06/11,591.164
2011/06/12,423.673
2011/06/13,397.359
2011/06/14,423.417
2011/06/15,1611
2011/06/16,2405
2011/06/17,151.186
2011/06/18,100.52
2011/06/19,494.707
2011/06/20,34.222
2011/06/21,370.821
2011/06/22,9.214
2011/06/23,42.1
2011/06/24,243.761
2011/06/25,619.36
2011/06/26,181.051
2011/06/27,22.07
2011/06/28,408.765
2011/06/29,-27.859
2011/06/30,-79.602
2011/07/01,-27.388
2011/07/02,-7.02
2011/07/03,-84.613
2011/07/04,2.45
2011/07/05,-89.502
2011/07/06,-61.605
2011/07/07,-71.77
2011/07/08,-93.006
2011/07/09,-79.821
2011/07/10,-38.488
2011/07/11,-47.286
2011/07/12,-82.867
2011/07/13,-53.735
2011/07/14,20.653
2011/07/15,-36.961
2011/07/16,16.402
2011/07/17,-14.175
2011/07/18,137.055
2011/07/19,567.884
2011/07/20,12.793
2011/07/21,198.421
2011/07/22,353.243
2011/07/23,-70.601
2011/07/24,-78.45
2011/07/25,52.161
2011/07/26,6.405
2011/07/27,1.645
2011/07/28,85.289
2011/07/29,22.585
2011/07/30,-63.49
2011/07/31,9.318
2011/08/01,-82.19
2011/08/02,-86.061
2011/08/03,-33.508
2011/08/04,-82.766
2011/08/05,-70.789
2011/08/06,-59.455
2011/08/07,-56.997
2011/08/08,-47.077
2011/08/09,21.685
2011/08/10,-38.135
2011/08/11,-89.105
2011/08/12,-64.848
2011/08/13,-42.993
2011/08/14,-36.327
2011/08/15,-49.954
2011/08/16,-26.948
2011/08/17,-18.583
2011/08/18,53.097
2011/08/19,19.291
2011/08/20,-20.176
2011/08/21,-8.019
2011/08/22,-65.372
2011/08/23,-72.42
2011/08/24,-39.355
2011/08/25,-15.111
2011/08/26,-25.376
2011/08/27,785.304
2011/08/28,-53.856
2011/08/29,-39.476
2011/08/30,-34.909
2011/08/31,-32.729
2011/09/01,-36.369
2011/09/02,-62.913
2011/09/03,-10.408
2011/09/04,452.731
2011/09/05,551.828
2011/09/06,340.758
2011/09/07,-24.667
2011/09/08,-22.44
2011/09/09,-5.952
2011/09/10,-93.925
2011/09/11,188.724
2011/09/12,114.668
2011/09/13,18.5
2011/09/14,-11.47
2011/09/15,-37.148
2011/09/16,70.841
2011/09/17,-5.52
2011/09/18,-87.854
2011/09/19,-89.601
2011/09/20,-91.538
2011/09/21,-52.348
2011/09/22,-33.271
2011/09/23,-6.471
2011/09/24,0.118
2011/09/25,-67.521
2011/09/26,-55.611
2011/09/27,6.319
2011/09/28,3.541
2011/09/29,18.983
2011/09/30,-53.555
2011/10/01,27.969
2011/10/02,30.473
2011/10/03,17.56
2011/10/04,44.423
2011/10/05,14.736
2011/10/06,56.907
2011/10/07,1.842
2011/10/08,-1.596
2011/10/09,-18.595
2011/10/10,-13.915
2011/10/11,-34.838
2011/10/12,-23.972
2011/10/13,-11.848
2011/10/14,-26.331
2011/10/15,-32.454
2011/10/16,-39.949
2011/10/17,-17.884
2011/10/18,-51.549
2011/10/19,-59.537
2011/10/20,-66.308
2011/10/21,-11.21
2011/10/22,47.887
2011/10/23,42.372
2011/10/24,-19.856
2011/10/25,-14.158
2011/10/26,3.628
2011/10/27,26.69
2011/10/28,53.217
2011/10/29,-0.883
2011/10/30,-24.9
2011/10/31,-5.135
2011/11/01,71.323
2011/11/02,55.491
2011/11/03,23.584
2011/11/04,-28.897
2011/11/05,-53.761
2011/11/06,-58.404
2011/11/07,-17.951
2011/11/08,195.379
2011/11/09,104.076
2011/11/10,-49.579
2011/11/11,-36.174
2011/11/12,-40.942
2011/11/13,-4.396
2011/11/14,-35.914
2011/11/15,-55.555
2011/11/16,281.785
2011/11/17,789.048
2011/11/18,1021
2011/11/19,1159
2011/11/20,402.347
2011/11/21,458.063
2011/11/22,168.809
2011/11/23,43.478
2011/11/24,354.384
2011/11/25,180.081
2011/11/26,436.661
2011/11/27,544.534
2011/11/28,1000
2011/11/29,1141
2011/11/30,234.946
2011/12/01,-36.606
2011/12/02,26.661
2011/12/03,-0.18
2011/12/04,133.392
2011/12/05,70.253
2011/12/06,69.325
2011/12/07,322.317
2011/12/08,228.133
2011/12/09,119.229
2011/12/10,-28.305
2011/12/11,-41.104
2011/12/12,-71.593
2011/12/13,-87.305
2011/12/14,-91.267
2011/12/15,-70.959
2011/12/16,-88.946
2011/12/17,-87.532
2011/12/18,-85.412
2011/12/19,-79.757
2011/12/20,-87.79
2011/12/21,-85.419
2011/12/22,-87.852
2011/12/23,-82.924
2011/12/24,-56.311
2011/12/25,-55.491
2011/12/26,5.308
2011/12/27,150.662
2011/12/28,-5
2011/12/29,37.625
2011/12/30,-21.746
2011/12/31,0.369
2012/01/01,51.139
2012/01/02,-9.916
2012/01/03,-26.307
2012/01/04,-10.514
2012/01/05,114.071
2012/01/06,240.068
2012/01/07,36.483
2012/01/08,65.123
2012/01/09,-4.888
2012/01/10,-29.167
2012/01/11,58.078
2012/01/12,-9.652
2012/01/13,67.619
2012/01/14,42.376
2012/01/15,-13.547
2012/01/16,69.96
2012/01/17,71.708
2012/01/18,-10.672
2012/01/19,-42.431
2012/01/20,-45.482
2012/01/21,-16.014
2012/01/22,-16.653
2012/01/23,-39.765
2012/01/24,-10.438
2012/01/25,-12.681
2012/01/26,-3.899
2012/01/27,-23.6
2012/01/28,-30.074
2012/01/29,0.274
2012/01/30,-31.619
2012/01/31,-32.178
2012/02/01,19.391
2012/02/02,-11.06
2012/02/03,-4.456
2012/02/04,-1.675
2012/02/05,-8.639
2012/02/06,-1.287
2012/02/07,-23.784
2012/02/08,-22.628
2012/02/09,-41.252
2012/02/10,-25.984
2012/02/11,47.693
2012/02/12,-14.061
2012/02/13,-0.898
2012/02/14,157.667
2012/02/15,64.659
2012/02/16,129.734
2012/02/17,91.999
2012/02/18,57.128
2012/02/19,-3.068
2012/02/20,2.761
2012/02/21,4.307
2012/02/22,93.873
2012/02/23,96.525
2012/02/24,89.723
2012/02/25,-4.721
2012/02/26,12.087
2012/02/27,-4.788
2012/02/28,-60.745
2012/02/29,-62.124
2012/03/01,-34.33
2012/03/02,-43.173
2012/03/03,-25.43
2012/03/04,73.212
2012/03/05,-11.124
2012/03/06,6.537
2012/03/07,-40.608
2012/03/08,-4.207
2012/03/09,6.53
2012/03/10,7.921
2012/03/11,40.049
2012/03/12,76.109
2012/03/13,33.619
2012/03/14,96.042
2012/03/15,-12.105
2012/03/16,9.453
2012/03/17,2.861
2012/03/18,-33.551
2012/03/19,28.672
2012/03/20,23.742
2012/03/21,25.015
2012/03/22,40.48
2012/03/23,53.895
2012/03/24,71.794
2012/03/25,-21.991
2012/03/26,-23.384
2012/03/27,10.995
2012/03/28,-2.937
2012/03/29,83.755
2012/03/30,79.88
2012/03/31,95.347
2012/04/01,66.452
2012/04/02,55.523
2012/04/03,52.214
2012/04/04,50.093
2012/04/05,20.775
2012/04/06,-36.919
2012/04/07,-54.684
2012/04/08,225.636
2012/04/09,226.564
2012/04/10,17.473
2012/04/11,106.933
2012/04/12,-0.407
2012/04/13,-16.415
2012/04/14,-11.419
2012/04/15,59.542
2012/04/16,77.08
2012/04/17,37.532
2012/04/18,15.757
2012/04/19,-32.161
2012/04/20,319.483
2012/04/21,234.134
2012/04/22,-22.454
2012/04/23,-53.382
2012/04/24,3.404
2012/04/25,-27.041
2012/04/26,23.308
2012/04/27,78.58
2012/04/28,-2.052
2012/04/29,-26.895
2012/04/30,-38.312
2012/05/01,-26.839
2012/05/02,-10.602
2012/05/03,-1.053
2012/05/04,-77.671
2012/05/05,-48.308
2012/05/06,-62.126
2012/05/07,8.768
2012/05/08,128.183
2012/05/09,0.292
2012/05/10,-46.4
2012/05/11,-61.952
2012/05/12,44.249
2012/05/13,-19.621
2012/05/14,-29.64
2012/05/15,60.196
2012/05/16,76.889
2012/05/17,135.502
2012/05/18,-3.392
2012/05/19,-62.103
2012/05/20,10.466
2012/05/21,1.649
2012/05/22,-20.831
2012/05/23,-51.12
2012/05/24,-56.887
2012/05/25,9.144
2012/05/26,22.713
2012/05/27,-22.564
2012/05/28,-9.434
2012/05/29,-35.411
2012/05/30,-50.129
2012/05/31,13.143
2012/06/01,46.937
2012/06/02,360.853
2012/06/03,-17.862
2012/06/04,-13.963
2012/06/05,-37.993
2012/06/06,154.711
2012/06/07,271.816
2012/06/08,197.662
2012/06/09,-77.842
2012/06/10,14.023
2012/06/11,40.918
2012/06/12,46.453
2012/06/13,-48.089
2012/06/14,-60.543
2012/06/15,-31.613
2012/06/16,-28.848
2012/06/17,-24.628
2012/06/18,-24.108
2012/06/19,-31.147
2012/06/20,-59.226
2012/06/21,-67.816
2012/06/22,-50.298
2012/06/23,273.872
2012/06/24,21.425
2012/06/25,-22.569
2012/06/26,-54.686
2012/06/27,68.895
2012/06/28,87.005
2012/06/29,86.124
2012/06/30,-29.388
2012/07/01,128.988
2012/07/02,-21.719
2012/07/03,10.964
2012/07/04,82.193
2012/07/05,136.167
2012/07/06,-39.934
2012/07/07,23.386
2012/07/08,-50.552
2012/07/09,46.295
2012/07/10,21.077
2012/07/11,-37.266
2012/07/12,-50.862
2012/07/13,5.897
2012/07/14,100.028
2012/07/15,-15.666
2012/07/16,72.458
2012/07/17,48.616
2012/07/18,-31.175
2012/07/19,-42.182
2012/07/20,1.32
2012/07/21,-44.835
2012/07/22,58.461
2012/07/23,-4.398
2012/07/24,19.357
2012/07/25,22.426
2012/07/26,56.371
2012/07/27,-7.854
2012/07/28,-46.554
2012/07/29,-27.982
2012/07/30,-53.665
2012/07/31,6.22
2012/08/01,60.308
2012/08/02,52.489
2012/08/03,42.731
2012/08/04,-10.893
2012/08/05,52.758
2012/08/06,9.294
2012/08/07,38.837
2012/08/08,41.453
2012/08/09,-19.702
2012/08/10,-6.449
2012/08/11,24.25
2012/08/12,91.172
2012/08/13,80.519
2012/08/14,-19.483
2012/08/15,-38.999
2012/08/16,10.31
2012/08/17,54.725
2012/08/18,27.152
2012/08/19,142.739
2012/08/20,296.78
2012/08/21,77.346
2012/08/22,341.837
2012/08/23,344.553
2012/08/24,432.451
2012/08/25,155.064
2012/08/26,122.14
2012/08/27,352.687
2012/08/28,369.646
2012/08/29,996.847
2012/08/30,518.481
2012/08/31,170.263
2012/09/01,218.609
2012/09/02,14.248
2012/09/03,-58.481
2012/09/04,31.575
2012/09/05,19.425
2012/09/06,138.496
2012/09/07,72.043
2012/09/08,93.844
2012/09/09,14.339
2012/09/10,203.306
2012/09/11,138.681
2012/09/12,-6.69
2012/09/13,138.787
2012/09/14,149.601
2012/09/15,38.363
2012/09/16,224.619
2012/09/17,531.098
2012/09/18,181.924
2012/09/19,400.191
2012/09/20,11.524
2012/09/21,73.223
2012/09/22,207.655
2012/09/23,149.619
2012/09/24,-45.91
2012/09/25,-85.04
2012/09/26,-85.08
2012/09/27,-93.21
2012/09/28,-83.117
2012/09/29,-77.561
2012/09/30,-85.256
2012/10/01,-87.23
2012/10/02,-83.926
2012/10/03,-94.984
2012/10/04,-92.578
2012/10/05,-91.279
2012/10/06,-90.786
2012/10/07,-81.707
2012/10/08,-83.743
2012/10/09,-49.151
2012/10/10,-48.684
2012/10/11,-9.383
2012/10/12,12.336
2012/10/13,45.676
2012/10/14,-30.747
2012/10/15,-60.078
2012/10/16,22.359
2012/10/17,104.505
2012/10/18,203.67
2012/10/19,36.098
2012/10/20,35.924
2012/10/21,7.758
2012/10/22,11.594
2012/10/23,109.973
2012/10/24,104.738
2012/10/25,12.22
2012/10/26,-54.913
2012/10/27,7.773
2012/10/28,-8.333
2012/10/29,54.342
2012/10/30,54.648
2012/10/31,21.642
2012/11/01,-15.76
2012/11/02,-74.791
2012/11/03,-18.811
2012/11/04,47.17
2012/11/05,25.699
2012/11/06,-32.757
2012/11/07,-19.538
2012/11/08,-26.589
2012/11/09,-24.337
2012/11/10,-83.563
2012/11/11,-64.709
2012/11/12,-56.142
2012/11/13,-76.415
2012/11/14,-68.444
2012/11/15,-34.759
2012/11/16,240.206
2012/11/17,13.534
2012/11/18,-28.553
2012/11/19,-42.743
2012/11/20,-22.113
2012/11/21,-50.002
2012/11/22,25.997
2012/11/23,15.76
2012/11/24,182.985
2012/11/25,41.581
2012/11/26,77.308
2012/11/27,83.646
2012/11/28,30.823
2012/11/29,-48.939
2012/11/30,-69.156
2012/12/01,-75.488
2012/12/02,-13.114
2012/12/03,128.447
2012/12/04,101.275
2012/12/05,305.11
2012/12/06,107.563
2012/12/07,100.508
2012/12/08,-16.583
2012/12/09,115.65
2012/12/10,-1.375
2012/12/11,-5.938
2012/12/12,113.699
2012/12/13,209.157
