Date,sentinusd14stdUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,2147
2010/07/31,2176
2010/08/01,7571
2010/08/02,7567
2010/08/03,7564
2010/08/04,7570
2010/08/05,7574
2010/08/06,7575
2010/08/07,7627
2010/08/08,7745
2010/08/09,7772
2010/08/10,7752
2010/08/11,7742
2010/08/12,7753
2010/08/13,7702
2010/08/14,7699
2010/08/15,2427
2010/08/16,2529
2010/08/17,2600
2010/08/18,2600
2010/08/19,2644
2010/08/20,2581
2010/08/21,2545
2010/08/22,2427
2010/08/23,2014
2010/08/24,2050
2010/08/25,1956
2010/08/26,1978
2010/08/27,1965
2010/08/28,1964
2010/08/29,2045
2010/08/30,1535
2010/08/31,1280
2010/09/01,1151
2010/09/02,1205
2010/09/03,1192
2010/09/04,1065
2010/09/05,3783
2010/09/06,4002
2010/09/07,4019
2010/09/08,4015
2010/09/09,3953
2010/09/10,4016
2010/09/11,4057
2010/09/12,4000
2010/09/13,4684
2010/09/14,4702
2010/09/15,4681
2010/09/16,4681
2010/09/17,4744
2010/09/18,4714
2010/09/19,3571
2010/09/20,3368
2010/09/21,3315
2010/09/22,3231
2010/09/23,4213
2010/09/24,4169
2010/09/25,4016
2010/09/26,3984
2010/09/27,3265
2010/09/28,3433
2010/09/29,3715
2010/09/30,3686
2010/10/01,3625
2010/10/02,10539
2010/10/03,10509
2010/10/04,18312
2010/10/05,18236
2010/10/06,18036
2010/10/07,18036
2010/10/08,17712
2010/10/09,17672
2010/10/10,17046
2010/10/11,16684
2010/10/12,16500
2010/10/13,16256
2010/10/14,15865
2010/10/15,15124
2010/10/16,14739
2010/10/17,14045
2010/10/18,9811
2010/10/19,11993
2010/10/20,11865
2010/10/21,11522
2010/10/22,11397
2010/10/23,12673
2010/10/24,12638
2010/10/25,11487
2010/10/26,11658
2010/10/27,14234
2010/10/28,16220
2010/10/29,16155
2010/10/30,16705
2010/10/31,16521
2010/11/01,17311
