Date,price14rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,59.869
2010/08/01,56.081
2010/08/02,56.192
2010/08/03,55.252
2010/08/04,54.974
2010/08/05,54.889
2010/08/06,56.757
2010/08/07,54.648
2010/08/08,54.689
2010/08/09,59.359
2010/08/10,61.524
2010/08/11,55.746
2010/08/12,59.811
2010/08/13,56.269
2010/08/14,56.859
2010/08/15,56.743
2010/08/16,54.695
2010/08/17,57.798
2010/08/18,58.907
2010/08/19,56.723
2010/08/20,55.163
2010/08/21,54.96
2010/08/22,54.313
2010/08/23,54.244
2010/08/24,53.434
2010/08/25,54.38
2010/08/26,52.254
2010/08/27,52.421
2010/08/28,52.51
2010/08/29,52.088
2010/08/30,52.973
2010/08/31,47.095
2010/09/01,47.994
2010/09/02,47.445
2010/09/03,44.637
2010/09/04,46.995
2010/09/05,47.563
2010/09/06,47.92
2010/09/07,45.642
2010/09/08,46.289
2010/09/09,45.146
2010/09/10,46.214
2010/09/11,51.019
2010/09/12,47.756
2010/09/13,48.782
2010/09/14,48.459
2010/09/15,46.449
2010/09/16,48.353
2010/09/17,41.456
2010/09/18,41.708
2010/09/19,49.403
2010/09/20,50.552
2010/09/21,53.537
2010/09/22,50.87
2010/09/23,50.674
2010/09/24,50.396
2010/09/25,50.247
2010/09/26,49.747
2010/09/27,50.363
2010/09/28,49.182
2010/09/29,49.342
2010/09/30,48.455
2010/10/01,49.255
2010/10/02,47.175
2010/10/03,44.49
2010/10/04,44.419
2010/10/05,45.856
2010/10/06,52.322
2010/10/07,68.25
2010/10/08,87.009
2010/10/09,91.971
2010/10/10,93.459
2010/10/11,88.586
2010/10/12,89.093
2010/10/13,90.38
2010/10/14,91.627
2010/10/15,89.651
2010/10/16,84.421
2010/10/17,85.122
2010/10/18,85.451
2010/10/19,74.767
2010/10/20,75.551
2010/10/21,77.507
2010/10/22,79.636
2010/10/23,80.575
2010/10/24,83.223
