Date,mediantransactionvalue14momUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,1.093
2010/08/01,2.689
2010/08/02,2.633
2010/08/03,-4.226
2010/08/04,-0.853
2010/08/05,1.924
2010/08/06,-0.558
2010/08/07,0.992
2010/08/08,-0.307
2010/08/09,0.92
2010/08/10,3.255
2010/08/11,3.172
2010/08/12,3.447
2010/08/13,2.391
2010/08/14,1.972
2010/08/15,0.255
2010/08/16,1.54
2010/08/17,2.508
2010/08/18,0.466
2010/08/19,0.387
2010/08/20,3.049
2010/08/21,1.86
2010/08/22,3.124
2010/08/23,-0.297
2010/08/24,-0.202
2010/08/25,0.105
2010/08/26,-3.133
2010/08/27,-0.05
2010/08/28,-2.667
2010/08/29,-2.958
2010/08/30,-4.354
2010/08/31,-0.285
2010/09/01,-2.763
2010/09/02,-0.246
2010/09/03,2.858
2010/09/04,2.869
2010/09/05,-0.172
2010/09/06,-0.165
2010/09/07,-0.183
2010/09/08,-3.171
2010/09/09,2.738
2010/09/10,-2.918
2010/09/11,-0.401
2010/09/12,-0.27
2010/09/13,0.497
2010/09/14,-0.003
2010/09/15,1.458
2010/09/16,-0.024
2010/09/17,-3.165
2010/09/18,-3.166
2010/09/19,1.911
2010/09/20,-2.362
2010/09/21,-2.909
2010/09/22,-0.073
2010/09/23,-1.998
2010/09/24,0.892
2010/09/25,-0.192
2010/09/26,0.159
2010/09/27,-0.606
2010/09/28,-0.659
2010/09/29,4.301
2010/09/30,-1.892
2010/10/01,-2.228
2010/10/02,-2.877
2010/10/03,0.193
2010/10/04,16.668
2010/10/05,14.677
2010/10/06,3.071
2010/10/07,11.658
2010/10/08,11.382
2010/10/09,12.108
2010/10/10,9.386
2010/10/11,6.145
2010/10/12,1.675
2010/10/13,-1.52
2010/10/14,91.722
2010/10/15,61.514
2010/10/16,118.416
2010/10/17,20.293
2010/10/18,-2.008
2010/10/19,-10.892
2010/10/20,1.868
