Date,activeaddresses3roc
2010/07/17,-88.112
2010/07/18,-54.581
2010/07/19,-43.158
2010/07/20,12.687
2010/07/21,-11.778
2010/07/22,-38.374
2010/07/23,-28.035
2010/07/24,19.159
2010/07/25,255.927
2010/07/26,89.877
2010/07/27,-20.021
2010/07/28,-68.386
2010/07/29,-57.351
2010/07/30,-24.384
2010/07/31,-29.525
2010/08/01,17.424
2010/08/02,7.547
2010/08/03,105.053
2010/08/04,17.903
2010/08/05,30.622
2010/08/06,-34.497
2010/08/07,-29.685
2010/08/08,-28.694
2010/08/09,21.944
2010/08/10,14.786
2010/08/11,20.034
2010/08/12,-25.578
2010/08/13,43.559
2010/08/14,-19.686
2010/08/15,-26.598
2010/08/16,-8.855
2010/08/17,-12.256
2010/08/18,70.824
2010/08/19,-39.119
2010/08/20,32.794
2010/08/21,-27.273
2010/08/22,24.681
2010/08/23,-0.457
2010/08/24,19.697
2010/08/25,-14.846
2010/08/26,-0.153
2010/08/27,-21.361
2010/08/28,5.611
2010/08/29,-40.184
2010/08/30,5.03
2010/08/31,39.279
2010/09/01,54.615
2010/09/02,4.023
2010/09/03,-31.88
2010/09/04,-25.207
2010/09/05,0.921
2010/09/06,2.2
2010/09/07,-10.643
2010/09/08,-0.547
2010/09/09,0.587
2010/09/10,34.243
2010/09/11,-20.55
2010/09/12,38.327
2010/09/13,32.717
2010/09/14,53.349
2010/09/15,-6.892
2010/09/16,-4.596
2010/09/17,51.054
2010/09/18,-15.106
2010/09/19,-4.526
2010/09/20,-29.711
2010/09/21,116.37
2010/09/22,58.869
2010/09/23,48.794
2010/09/24,-33.635
2010/09/25,-20.597
2010/09/26,-40.61
2010/09/27,57.249
2010/09/28,105.939
2010/09/29,92.295
2010/09/30,-49.724
2010/10/01,-50.147
2010/10/02,-34.891
2010/10/03,5.329
2010/10/04,-2.243
2010/10/05,-9.744
2010/10/06,2.976
2010/10/07,-21.86
2010/10/08,15.483
2010/10/09,8.382
2010/10/10,-3.709
2010/10/11,-22.386
2010/10/12,-13.867
2010/10/13,48.636
2010/10/14,0.475
2010/10/15,-10.062
2010/10/16,0.756
2010/10/17,18.612
2010/10/18,62.995
2010/10/19,50.911
2010/10/20,57.314
2010/10/21,4.963
2010/10/22,-30.966
2010/10/23,-29.417
2010/10/24,-14.386
2010/10/25,-22.634
2010/10/26,3.713
2010/10/27,31.257
2010/10/28,32.713
2010/10/29,-2.079
2010/10/30,-41.003
2010/10/31,-42.685
2010/11/01,-29.599
2010/11/02,-30.501
2010/11/03,0.35
2010/11/04,1.675
2010/11/05,82.314
2010/11/06,3.833
2010/11/07,13.674
2010/11/08,88.144
2010/11/09,8.725
2010/11/10,-5.652
2010/11/11,-61.744
2010/11/12,-29.63
2010/11/13,-11.06
2010/11/14,49.917
2010/11/15,864.035
2010/11/16,481.174
2010/11/17,-25.083
2010/11/18,-85.623
2010/11/19,-80.951
2010/11/20,16.148
2010/11/21,19.937
2010/11/22,-2.652
2010/11/23,-15.816
2010/11/24,27.045
2010/11/25,46.154
2010/11/26,81.364
2010/11/27,-14.642
2010/11/28,-22.588
2010/11/29,-24.812
2010/11/30,-3.041
2010/12/01,57.082
2010/12/02,-9.778
2010/12/03,10.54
2010/12/04,-34.265
2010/12/05,-14.409
2010/12/06,-16.686
2010/12/07,56.653
2010/12/08,29.928
2010/12/09,13.76
2010/12/10,-44.308
2010/12/11,18.494
2010/12/12,42.994
2010/12/13,163.522
2010/12/14,6.262
2010/12/15,-9.129
2010/12/16,-43.377
2010/12/17,-29.991
2010/12/18,-20.922
2010/12/19,14.647
2010/12/20,83.543
2010/12/21,26.923
2010/12/22,11.213
2010/12/23,-30.322
2010/12/24,-21.855
2010/12/25,-11.074
2010/12/26,0.982
2010/12/27,33.96
2010/12/28,-4.275
2010/12/29,-3.696
2010/12/30,-4.298
2010/12/31,-12.816
2011/01/01,8.788
2011/01/02,-3.666
2011/01/03,55.679
2011/01/04,0.093
2011/01/05,46.527
2011/01/06,-16.953
2011/01/07,16.327
2011/01/08,-4.351
2011/01/09,19.121
2011/01/10,14.593
2011/01/11,5.363
2011/01/12,-8.677
2011/01/13,18.024
2011/01/14,3.544
2011/01/15,12.589
2011/01/16,-9.434
2011/01/17,-16.117
2011/01/18,-0.422
2011/01/19,0.586
2011/01/20,7.789
2011/01/21,39.054
