Date,activeaddresses3trx
2010/07/17,-9.028
2010/07/18,-14.47
2010/07/19,-15.817
2010/07/20,-15.303
2010/07/21,-14.242
2010/07/22,-14.395
2010/07/23,-13.145
2010/07/24,-6.874
2010/07/25,14.996
2010/07/26,11.64
2010/07/27,1.029
2010/07/28,-5.822
2010/07/29,-10.401
2010/07/30,-11.378
2010/07/31,-11.978
2010/08/01,-8.937
2010/08/02,-5.388
2010/08/03,3.918
2010/08/04,4.033
2010/08/05,4
2010/08/06,0.321
2010/08/07,-4.039
2010/08/08,-4.824
2010/08/09,-0.63
2010/08/10,-1.205
2010/08/11,0.112
2010/08/12,-1.31
2010/08/13,2.914
2010/08/14,-0.069
2010/08/15,-4.965
2010/08/16,-0.595
2010/08/17,-2.457
2010/08/18,0.707
2010/08/19,-2.296
2010/08/20,-0.555
2010/08/21,-1.624
2010/08/22,-1.131
2010/08/23,0.891
2010/08/24,1.525
2010/08/25,-1.302
2010/08/26,0.211
2010/08/27,-1.764
2010/08/28,-2.379
2010/08/29,-5.25
2010/08/30,-3.574
2010/08/31,3.5
2010/09/01,4.03
2010/09/02,1.606
2010/09/03,-1.031
2010/09/04,-3.364
2010/09/05,-1.983
2010/09/06,-1.374
2010/09/07,-3.562
2010/09/08,-1.232
2010/09/09,-0.02
2010/09/10,1.109
2010/09/11,-1.152
2010/09/12,4.34
2010/09/13,7.378
2010/09/14,6.07
2010/09/15,4.141
2010/09/16,3.083
2010/09/17,8.468
2010/09/18,2.149
2010/09/19,-0.617
2010/09/20,-0.654
2010/09/21,8.867
2010/09/22,9.697
2010/09/23,7.772
2010/09/24,2.171
2010/09/25,-0.858
2010/09/26,-4.781
2010/09/27,2.718
2010/09/28,13.542
2010/09/29,9.43
2010/09/30,-1.29
2010/10/01,-4.743
2010/10/02,-6.097
2010/10/03,-7.322
2010/10/04,-5.165
2010/10/05,-4.644
2010/10/06,-4.297
2010/10/07,-4.379
2010/10/08,-1.253
2010/10/09,-0.08
2010/10/10,-1.889
2010/10/11,-2.851
2010/10/12,-2.661
2010/10/13,2.994
2010/10/14,0.834
2010/10/15,-2.178
2010/10/16,2.69
2010/10/17,2.506
2010/10/18,4.799
2010/10/19,12.899
2010/10/20,11.123
2010/10/21,5.317
2010/10/22,1.395
2010/10/23,-2.157
2010/10/24,-3.528
2010/10/25,-4.858
2010/10/26,-3.541
2010/10/27,1.473
2010/10/28,2.6
2010/10/29,0.286
2010/10/30,-3.82
2010/10/31,-7.061
2010/11/01,-7.778
2010/11/02,-9.307
2010/11/03,-7.478
2010/11/04,-4.423
2010/11/05,2.564
2010/11/06,1.388
2010/11/07,1.477
2010/11/08,18.373
2010/11/09,7.547
2010/11/10,-0.11
2010/11/11,-4.382
2010/11/12,-8.157
2010/11/13,-7.483
2010/11/14,0.371
2010/11/15,70.045
2010/11/16,49.818
2010/11/17,9.746
2010/11/18,-6.556
2010/11/19,-13.535
2010/11/20,-14.85
2010/11/21,-13.814
2010/11/22,-13.026
2010/11/23,-11.091
2010/11/24,-4.297
2010/11/25,0.072
2010/11/26,6.138
2010/11/27,2.773
2010/11/28,-1.767
2010/11/29,-1.314
2010/11/30,-1.751
2010/12/01,2.636
2010/12/02,0.794
2010/12/03,0.022
2010/12/04,-2.369
2010/12/05,-4.044
2010/12/06,-3.839
2010/12/07,3.317
2010/12/08,3.585
2010/12/09,1.412
2010/12/10,-2.941
2010/12/11,1.227
2010/12/12,6.049
2010/12/13,13.977
2010/12/14,8.261
2010/12/15,2.948
2010/12/16,-1.36
2010/12/17,-4.986
2010/12/18,-5.685
2010/12/19,-2.243
2010/12/20,5.145
2010/12/21,3.81
2010/12/22,3.097
