Date,activeaddresses30var
2010/07/17,1720448
2010/07/18,1709159
2010/07/19,1701096
2010/07/20,1689443
2010/07/21,1678964
2010/07/22,1671960
2010/07/23,1663170
2010/07/24,1651785
2010/07/25,1676471
2010/07/26,1656809
2010/07/27,1640966
2010/07/28,1625610
2010/07/29,1620329
2010/07/30,1615220
2010/07/31,1612159
2010/08/01,1602199
2010/08/02,1591127
2010/08/03,1576168
2010/08/04,1562686
2010/08/05,1540175
2010/08/06,1529022
2010/08/07,1518886
2010/08/08,1507630
2010/08/09,1492549
2010/08/10,1492427
2010/08/11,1307082
2010/08/12,1287296
2010/08/13,164085
2010/08/14,119748
2010/08/15,95851
2010/08/16,95806
2010/08/17,97315
2010/08/18,95656
2010/08/19,97066
2010/08/20,97007
2010/08/21,97761
2010/08/22,98209
2010/08/23,96257
2010/08/24,26477
2010/08/25,15559
2010/08/26,14933
2010/08/27,15430
2010/08/28,15437
2010/08/29,17173
2010/08/30,16795
2010/08/31,17216
2010/09/01,17229
2010/09/02,13123
2010/09/03,12955
2010/09/04,11964
2010/09/05,11928
2010/09/06,11942
2010/09/07,13015
2010/09/08,11678
2010/09/09,11771
2010/09/10,11188
2010/09/11,11726
2010/09/12,9709
2010/09/13,10573
2010/09/14,10271
2010/09/15,9161
2010/09/16,9448
2010/09/17,14799
2010/09/18,14401
2010/09/19,14391
2010/09/20,14759
2010/09/21,27453
2010/09/22,33379
2010/09/23,39257
2010/09/24,39500
2010/09/25,40530
2010/09/26,39739
2010/09/27,51085
2010/09/28,80902
2010/09/29,86495
2010/09/30,86876
2010/10/01,86502
2010/10/02,85008
2010/10/03,82980
2010/10/04,79649
2010/10/05,78038
2010/10/06,75806
2010/10/07,71436
2010/10/08,69236
2010/10/09,66427
2010/10/10,65149
2010/10/11,61341
2010/10/12,61966
2010/10/13,61923
2010/10/14,62281
2010/10/15,63386
2010/10/16,63056
2010/10/17,62243
2010/10/18,60275
2010/10/19,69365
2010/10/20,71701
2010/10/21,68296
2010/10/22,67692
2010/10/23,66600
2010/10/24,66501
2010/10/25,66860
2010/10/26,64908
2010/10/27,61599
2010/10/28,38410
2010/10/29,34017
2010/10/30,33764
2010/10/31,35883
2010/11/01,37455
2010/11/02,40962
2010/11/03,42689
2010/11/04,43605
2010/11/05,43277
2010/11/06,43882
2010/11/07,44252
2010/11/08,63535
2010/11/09,63224
2010/11/10,62981
2010/11/11,63579
2010/11/12,67434
2010/11/13,68162
2010/11/14,66697
2010/11/15,480352
2010/11/16,669269
2010/11/17,672933
2010/11/18,671669
2010/11/19,673895
2010/11/20,674904
2010/11/21,676173
2010/11/22,679232
2010/11/23,681584
2010/11/24,680415
2010/11/25,680244
2010/11/26,681365
2010/11/27,681779
