Date,mining_profitability30rsi
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,48.913
2010/08/17,48.76
2010/08/18,49.395
2010/08/19,49.117
2010/08/20,50.151
2010/08/21,48.736
2010/08/22,49.52
2010/08/23,49.028
2010/08/24,49.019
2010/08/25,48.872
2010/08/26,48.794
2010/08/27,47.329
2010/08/28,47.585
2010/08/29,47.829
2010/08/30,47.783
2010/08/31,48.086
2010/09/01,47.193
2010/09/02,47.707
2010/09/03,47.776
2010/09/04,47.997
2010/09/05,47.462
2010/09/06,47.513
2010/09/07,47.96
2010/09/08,47.271
2010/09/09,46.18
2010/09/10,47.721
2010/09/11,46.899
2010/09/12,47.282
2010/09/13,47
2010/09/14,47.879
2010/09/15,46.729
2010/09/16,48.239
2010/09/17,46.846
2010/09/18,47.658
2010/09/19,45.769
2010/09/20,45.901
2010/09/21,45.6
2010/09/22,46.225
2010/09/23,47.225
2010/09/24,46.075
2010/09/25,45.871
2010/09/26,46.411
2010/09/27,46.556
2010/09/28,45.682
2010/09/29,43.857
2010/09/30,44.582
2010/10/01,44.509
2010/10/02,43.7
2010/10/03,45.37
2010/10/04,45.352
2010/10/05,44.543
2010/10/06,45.997
2010/10/07,45.18
2010/10/08,46.311
2010/10/09,47.804
2010/10/10,48.862
2010/10/11,47.676
2010/10/12,47.753
2010/10/13,48.892
2010/10/14,49.711
2010/10/15,47.978
2010/10/16,50.44
2010/10/17,48.466
2010/10/18,48.437
2010/10/19,49.195
2010/10/20,48.947
2010/10/21,44.647
2010/10/22,45.543
2010/10/23,46.209
2010/10/24,47.36
2010/10/25,46.195
2010/10/26,49.03
2010/10/27,49.398
