Date,transactionvalue14smaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,4.279
2010/07/31,4.319
2010/08/01,7.109
2010/08/02,7.26
2010/08/03,7.247
2010/08/04,7.246
2010/08/05,7.12
2010/08/06,7.147
2010/08/07,7.34
2010/08/08,7.356
2010/08/09,7.511
2010/08/10,7.691
2010/08/11,8.149
2010/08/12,8.299
2010/08/13,8.323
2010/08/14,8.252
2010/08/15,5.27
2010/08/16,5.273
2010/08/17,5.766
2010/08/18,5.928
2010/08/19,5.893
2010/08/20,5.993
2010/08/21,6.13
2010/08/22,6.278
2010/08/23,5.643
2010/08/24,5.411
2010/08/25,5.011
2010/08/26,4.991
2010/08/27,5.123
2010/08/28,5.173
2010/08/29,5.071
2010/08/30,4.564
2010/08/31,4.206
2010/09/01,4.055
2010/09/02,4.234
2010/09/03,4.311
2010/09/04,4.263
2010/09/05,5.956
2010/09/06,6.938
2010/09/07,6.963
2010/09/08,6.988
2010/09/09,7.27
2010/09/10,6.993
2010/09/11,6.917
2010/09/12,6.981
2010/09/13,7.978
2010/09/14,7.891
2010/09/15,7.961
2010/09/16,7.829
2010/09/17,8.315
2010/09/18,8.3
2010/09/19,6.981
2010/09/20,6.17
2010/09/21,6.04
2010/09/22,6.107
2010/09/23,6.505
2010/09/24,6.504
2010/09/25,6.604
2010/09/26,6.636
2010/09/27,5.69
2010/09/28,6.11
2010/09/29,6.129
2010/09/30,6.283
2010/10/01,5.832
2010/10/02,8.561
2010/10/03,8.804
2010/10/04,14.384
2010/10/05,16.521
2010/10/06,17.551
2010/10/07,18.434
2010/10/08,20.581
2010/10/09,23.255
2010/10/10,25.214
2010/10/11,26.034
2010/10/12,26.794
2010/10/13,28.576
2010/10/14,31.648
2010/10/15,34.476
2010/10/16,34.504
2010/10/17,35.354
2010/10/18,32.134
2010/10/19,31.867
2010/10/20,32.532
2010/10/21,33.251
2010/10/22,32.549
2010/10/23,30.262
