Date,mediantransactionvalue14stdUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,3.012
2010/07/31,2.968
2010/08/01,3.059
2010/08/02,3.109
2010/08/03,2.455
2010/08/04,2.236
2010/08/05,2.396
2010/08/06,2.452
2010/08/07,2.398
2010/08/08,2.439
2010/08/09,2.611
2010/08/10,2.689
2010/08/11,2.606
2010/08/12,2.473
2010/08/13,2.419
2010/08/14,2.394
2010/08/15,2.414
2010/08/16,2.633
2010/08/17,2.468
2010/08/18,2.489
2010/08/19,2.503
2010/08/20,2.044
2010/08/21,1.828
2010/08/22,0.67
2010/08/23,0.672
2010/08/24,0.678
2010/08/25,0.67
2010/08/26,1.73
2010/08/27,1.729
2010/08/28,2.165
2010/08/29,2.547
2010/08/30,2.646
2010/08/31,2.622
2010/09/01,2.708
2010/09/02,2.682
2010/09/03,3.331
2010/09/04,3.831
2010/09/05,3.824
2010/09/06,3.817
2010/09/07,3.81
2010/09/08,3.997
2010/09/09,3.837
2010/09/10,3.989
2010/09/11,4.043
2010/09/12,4.084
2010/09/13,4.019
2010/09/14,4.019
2010/09/15,3.914
2010/09/16,3.913
2010/09/17,3.358
2010/09/18,2.613
2010/09/19,2.998
2010/09/20,3.029
2010/09/21,3.101
2010/09/22,3.112
2010/09/23,3.045
2010/09/24,2.968
2010/09/25,2.997
2010/09/26,2.973
2010/09/27,3.044
2010/09/28,2.971
2010/09/29,3.885
2010/09/30,3.84
2010/10/01,3.808
2010/10/02,3.795
2010/10/03,3.849
2010/10/04,9.063
2010/10/05,10.897
2010/10/06,10.719
2010/10/07,11.497
2010/10/08,11.99
2010/10/09,12.034
2010/10/10,11.629
2010/10/11,10.999
2010/10/12,10.811
2010/10/13,10.886
2010/10/14,44.947
2010/10/15,50.568
2010/10/16,70.974
2010/10/17,69.963
2010/10/18,70.061
2010/10/19,70.875
2010/10/20,70.698
2010/10/21,71.261
2010/10/22,72.164
2010/10/23,72.9
