Date,fee_to_reward30rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,51.515
2010/08/17,49.828
2010/08/18,54.011
2010/08/19,49.722
2010/08/20,49.722
2010/08/21,49.722
2010/08/22,49.722
2010/08/23,49.722
2010/08/24,51.871
2010/08/25,49.675
2010/08/26,49.675
2010/08/27,49.675
2010/08/28,49.675
2010/08/29,50.722
2010/08/30,50.904
2010/08/31,50.151
2010/09/01,49.852
2010/09/02,49.587
2010/09/03,49.587
2010/09/04,49.587
2010/09/05,49.631
2010/09/06,49.586
2010/09/07,49.586
2010/09/08,49.586
2010/09/09,50.127
2010/09/10,49.577
2010/09/11,49.577
2010/09/12,50.242
2010/09/13,49.565
2010/09/14,49.605
2010/09/15,49.565
2010/09/16,49.565
2010/09/17,49.565
2010/09/18,50.493
2010/09/19,49.549
2010/09/20,49.549
2010/09/21,49.549
2010/09/22,49.549
2010/09/23,49.549
2010/09/24,49.549
2010/09/25,49.549
2010/09/26,49.549
2010/09/27,49.642
2010/09/28,56.578
2010/09/29,49.449
2010/09/30,49.449
2010/10/01,52.117
2010/10/02,49.469
2010/10/03,49.467
2010/10/04,49.415
2010/10/05,49.415
2010/10/06,49.415
2010/10/07,49.415
2010/10/08,49.415
2010/10/09,49.415
2010/10/10,49.415
2010/10/11,49.415
2010/10/12,49.415
2010/10/13,52.216
2010/10/14,49.387
2010/10/15,49.387
2010/10/16,49.387
2010/10/17,49.387
2010/10/18,49.502
2010/10/19,49.386
2010/10/20,49.386
2010/10/21,49.443
2010/10/22,49.385
2010/10/23,49.797
2010/10/24,49.382
2010/10/25,49.382
2010/10/26,49.382
