Date,mediantransactionvalueUSD
2016/03/17,152.866
2016/03/18,127.145
2016/03/19,103.256
2016/03/20,102.527
2016/03/21,119.573
2016/03/22,105.838
2016/03/23,111.536
2016/03/24,125.047
2016/03/25,114.183
2016/03/26,98.45
2016/03/27,99.331
2016/03/28,121.983
2016/03/29,125.342
2016/03/30,123.555
2016/03/31,124.453
2016/04/01,123.434
2016/04/02,110.222
2016/04/03,104.453
2016/04/04,123.973
2016/04/05,121.912
2016/04/06,129.969
2016/04/07,126.065
2016/04/08,132.915
2016/04/09,99.467
2016/04/10,101.692
2016/04/11,128.625
2016/04/12,129.996
2016/04/13,136.326
2016/04/14,131.661
2016/04/15,146.428
2016/04/16,107.392
2016/04/17,113.723
2016/04/18,128.269
2016/04/19,133.018
2016/04/20,134.059
2016/04/21,133.213
2016/04/22,137.192
2016/04/23,103.667
2016/04/24,97.899
2016/04/25,127.01
2016/04/26,126.838
2016/04/27,119.287
2016/04/28,111.561
2016/04/29,100.948
2016/04/30,94.884
2016/05/01,83.691
2016/05/02,126.299
2016/05/03,133.861
2016/05/04,140.974
2016/05/05,129.022
2016/05/06,126.861
2016/05/07,120.602
2016/05/08,114.291
2016/05/09,130.831
2016/05/10,137.421
2016/05/11,139.332
2016/05/12,148.858
2016/05/13,153.7
2016/05/14,116.051
2016/05/15,133.195
2016/05/16,167.541
2016/05/17,155.718
2016/05/18,135.844
2016/05/19,140.816
2016/05/20,132.37
2016/05/21,113.54
2016/05/22,107.369
2016/05/23,130.167
2016/05/24,118.229
2016/05/25,118.198
2016/05/26,139.342
2016/05/27,150.604
2016/05/28,138.155
2016/05/29,139.838
2016/05/30,126.556
2016/05/31,151.827
2016/06/01,121.691
2016/06/02,116.842
2016/06/03,130.044
2016/06/04,126.434
2016/06/05,129.065
2016/06/06,148.047
2016/06/07,147.721
2016/06/08,148.887
2016/06/09,160.8
2016/06/10,171.654
2016/06/11,157.753
2016/06/12,157.646
2016/06/13,184.923
2016/06/14,171.5
2016/06/15,169.974
2016/06/16,209.84
2016/06/17,193.031
2016/06/18,159.051
2016/06/19,150.866
2016/06/20,192.185
2016/06/21,208.464
2016/06/22,233.783
2016/06/23,184.295
2016/06/24,216.648
