Date,transactionvalue14stdUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,4.901
2010/07/31,4.866
2010/08/01,21.711
2010/08/02,21.753
2010/08/03,21.762
2010/08/04,21.763
2010/08/05,21.799
2010/08/06,21.779
2010/08/07,21.67
2010/08/08,21.653
2010/08/09,21.754
2010/08/10,21.687
2010/08/11,21.462
2010/08/12,21.279
2010/08/13,21.26
2010/08/14,21.332
2010/08/15,5.796
2010/08/16,5.805
2010/08/17,6.351
2010/08/18,6.337
2010/08/19,6.368
2010/08/20,6.24
2010/08/21,6.278
2010/08/22,5.931
2010/08/23,5.185
2010/08/24,5.236
2010/08/25,5.097
2010/08/26,5.132
2010/08/27,5.165
2010/08/28,5.075
2010/08/29,5.254
2010/08/30,4.657
2010/08/31,3.306
2010/09/01,2.988
2010/09/02,3.292
2010/09/03,3.374
2010/09/04,3.206
2010/09/05,12.296
2010/09/06,13.391
2010/09/07,13.367
2010/09/08,13.338
2010/09/09,13.111
2010/09/10,13.344
2010/09/11,13.442
2010/09/12,13.358
2010/09/13,14.007
2010/09/14,14.079
2010/09/15,14.025
2010/09/16,14.103
2010/09/17,14.244
2010/09/18,14.252
2010/09/19,9.613
2010/09/20,7.889
2010/09/21,8.087
2010/09/22,8.007
2010/09/23,8.57
2010/09/24,8.573
2010/09/25,8.396
2010/09/26,8.344
2010/09/27,6.333
2010/09/28,6.71
2010/09/29,6.707
2010/09/30,6.685
2010/10/01,5.729
2010/10/02,20.882
2010/10/03,20.972
2010/10/04,43.744
2010/10/05,44.066
2010/10/06,43.531
2010/10/07,43.548
2010/10/08,43.136
2010/10/09,43.209
2010/10/10,41.914
2010/10/11,40.607
2010/10/12,39.79
2010/10/13,38.099
2010/10/14,37.592
2010/10/15,35.396
2010/10/16,35.43
2010/10/17,33.791
2010/10/18,20.891
2010/10/19,20.984
2010/10/20,19.812
2010/10/21,19.301
2010/10/22,20.065
2010/10/23,22.832
