Date,size3sma
2010/07/17,657.256
2010/07/18,648.585
2010/07/19,723.659
2010/07/20,835.344
2010/07/21,761.077
2010/07/22,673.031
2010/07/23,493.849
2010/07/24,794.871
2010/07/25,1679
2010/07/26,1836
2010/07/27,1581
2010/07/28,1647
2010/07/29,2131
2010/07/30,2084
2010/07/31,1099
2010/08/01,426.336
2010/08/02,365.709
2010/08/03,483.774
2010/08/04,502.777
2010/08/05,666.284
2010/08/06,643.692
2010/08/07,694.335
2010/08/08,561.431
2010/08/09,830.444
2010/08/10,775.392
2010/08/11,764.611
2010/08/12,396.492
2010/08/13,517.002
2010/08/14,515.454
2010/08/15,496.835
2010/08/16,567.68
2010/08/17,628.785
2010/08/18,1163
2010/08/19,1021
2010/08/20,993.997
2010/08/21,505.303
2010/08/22,454.938
2010/08/23,419.029
2010/08/24,517.93
2010/08/25,498.897
2010/08/26,523.711
2010/08/27,403.333
2010/08/28,467.335
2010/08/29,417.717
2010/08/30,483.213
2010/08/31,606.346
2010/09/01,766.647
2010/09/02,745.477
2010/09/03,588.912
2010/09/04,427.186
2010/09/05,406.575
2010/09/06,406.145
2010/09/07,425.6
2010/09/08,430.489
2010/09/09,500.104
2010/09/10,531.245
2010/09/11,512.876
2010/09/12,508.109
2010/09/13,579.987
2010/09/14,610.86
2010/09/15,633.275
2010/09/16,558.188
2010/09/17,600.927
2010/09/18,495.907
2010/09/19,481.943
2010/09/20,470.56
2010/09/21,838.181
2010/09/22,1083
2010/09/23,1130
2010/09/24,815.87
2010/09/25,660.362
2010/09/26,577.701
2010/09/27,692.526
2010/09/28,840.775
2010/09/29,1379
2010/09/30,1311
2010/10/01,1272
2010/10/02,1144
2010/10/03,1206
2010/10/04,1142
2010/10/05,869.711
2010/10/06,793.782
2010/10/07,712.419
2010/10/08,666.865
2010/10/09,731.615
2010/10/10,718.976
2010/10/11,649.701
2010/10/12,580.974
2010/10/13,660.677
2010/10/14,631.42
2010/10/15,575.755
2010/10/16,475.514
2010/10/17,448.409
2010/10/18,516.054
2010/10/19,714.573
2010/10/20,841.626
2010/10/21,920.699
2010/10/22,953.354
2010/10/23,964.647
2010/10/24,903.403
2010/10/25,701.566
2010/10/26,612.662
2010/10/27,653.05
2010/10/28,676.778
2010/10/29,708.112
2010/10/30,563.595
2010/10/31,501.247
2010/11/01,451.727
2010/11/02,442.914
2010/11/03,436.353
2010/11/04,413.835
2010/11/05,499.268
2010/11/06,501.666
2010/11/07,506.492
2010/11/08,552.798
2010/11/09,558.757
2010/11/10,565.701
2010/11/11,454.301
2010/11/12,428.074
2010/11/13,393.633
2010/11/14,410.503
2010/11/15,3183
2010/11/16,6686
2010/11/17,6667
2010/11/18,4197
2010/11/19,5406
2010/11/20,11588
2010/11/21,16608
2010/11/22,11957
2010/11/23,5858
2010/11/24,2213
2010/11/25,5176
2010/11/26,5563
2010/11/27,3978
2010/11/28,1044
2010/11/29,636.511
2010/11/30,603.301
2010/12/01,654.714
2010/12/02,656.239
2010/12/03,669.554
2010/12/04,572.911
2010/12/05,503.767
2010/12/06,442.891
2010/12/07,500.725
2010/12/08,545.496
2010/12/09,594.809
2010/12/10,578.569
2010/12/11,691.707
2010/12/12,826.089
2010/12/13,1176
2010/12/14,1200
2010/12/15,1155
2010/12/16,865.226
2010/12/17,849.127
2010/12/18,833.414
2010/12/19,882.823
2010/12/20,1117
2010/12/21,1137
2010/12/22,1202
2010/12/23,1012
2010/12/24,1035
2010/12/25,957.595
2010/12/26,966.742
2010/12/27,1002
2010/12/28,1041
2010/12/29,985.774
2010/12/30,968.156
2010/12/31,913.884
2011/01/01,957.006
2011/01/02,947.296
2011/01/03,1458
2011/01/04,1680
2011/01/05,2158
2011/01/06,1845
2011/01/07,1811
2011/01/08,1751
2011/01/09,1952
2011/01/10,2156
2011/01/11,2165
2011/01/12,2091
2011/01/13,2001
2011/01/14,1915
2011/01/15,1914
2011/01/16,1804
2011/01/17,1566
2011/01/18,1543
2011/01/19,1545
2011/01/20,1573
2011/01/21,1686
2011/01/22,2172
2011/01/23,2437
2011/01/24,2479
2011/01/25,1980
2011/01/26,1804
2011/01/27,1656
2011/01/28,1802
2011/01/29,2244
2011/01/30,3764
2011/01/31,4078
2011/02/01,3934
2011/02/02,2423
2011/02/03,1918
2011/02/04,1566
2011/02/05,1457
2011/02/06,1534
2011/02/07,1466
2011/02/08,1466
2011/02/09,1528
2011/02/10,2314
2011/02/11,3074
2011/02/12,3446
2011/02/13,3134
2011/02/14,3110
2011/02/15,3078
2011/02/16,3027
2011/02/17,2744
2011/02/18,2859
2011/02/19,3025
2011/02/20,3010
2011/02/21,2868
2011/02/22,2909
2011/02/23,2904
2011/02/24,3010
2011/02/25,2873
2011/02/26,2665
2011/02/27,2580
2011/02/28,2895
2011/03/01,4409
2011/03/02,4703
2011/03/03,5137
2011/03/04,3924
2011/03/05,3661
2011/03/06,2762
2011/03/07,2722
2011/03/08,3198
2011/03/09,3731
2011/03/10,4370
2011/03/11,4489
2011/03/12,5210
2011/03/13,5831
2011/03/14,6758
2011/03/15,7466
2011/03/16,7525
2011/03/17,7223
2011/03/18,6544
2011/03/19,6915
2011/03/20,8092
2011/03/21,9604
2011/03/22,8918
2011/03/23,8578
2011/03/24,6724
2011/03/25,6154
2011/03/26,5802
2011/03/27,6295
2011/03/28,6982
2011/03/29,6152
2011/03/30,5306
2011/03/31,4492
2011/04/01,3777
2011/04/02,3584
2011/04/03,3450
2011/04/04,3825
2011/04/05,3951
2011/04/06,4274
2011/04/07,4096
2011/04/08,4170
2011/04/09,4008
2011/04/10,3930
2011/04/11,4134
2011/04/12,4667
2011/04/13,4990
2011/04/14,5507
2011/04/15,6002
2011/04/16,6445
2011/04/17,5878
2011/04/18,5984
2011/04/19,6675
2011/04/20,8172
2011/04/21,7254
2011/04/22,5982
2011/04/23,4780
2011/04/24,5159
2011/04/25,5684
2011/04/26,6026
2011/04/27,7643
2011/04/28,8156
2011/04/29,8234
2011/04/30,7881
2011/05/01,8499
2011/05/02,8181
2011/05/03,7022
2011/05/04,5881
2011/05/05,6167
2011/05/06,6177
2011/05/07,6319
2011/05/08,5891
2011/05/09,5898
2011/05/10,6429
2011/05/11,7013
2011/05/12,7765
2011/05/13,8241
2011/05/14,8428
2011/05/15,8205
2011/05/16,7741
2011/05/17,7650
2011/05/18,7794
2011/05/19,8975
2011/05/20,9659
2011/05/21,9932
2011/05/22,8798
2011/05/23,8369
2011/05/24,7924
2011/05/25,8054
2011/05/26,8539
2011/05/27,9752
2011/05/28,11156
2011/05/29,11512
2011/05/30,12525
2011/05/31,13988
2011/06/01,15280
2011/06/02,15869
2011/06/03,16836
2011/06/04,17563
2011/06/05,17449
2011/06/06,16865
2011/06/07,18314
2011/06/08,23279
2011/06/09,25026
2011/06/10,25038
2011/06/11,20652
2011/06/12,20376
2011/06/13,20569
2011/06/14,22269
2011/06/15,21173
2011/06/16,23992
2011/06/17,25268
2011/06/18,26889
2011/06/19,24204
2011/06/20,21557
2011/06/21,18743
2011/06/22,16958
2011/06/23,16412
2011/06/24,17770
2011/06/25,21523
2011/06/26,25519
2011/06/27,29686
2011/06/28,29683
2011/06/29,28103
2011/06/30,24347
2011/07/01,23836
2011/07/02,23105
2011/07/03,22958
2011/07/04,22077
2011/07/05,24404
2011/07/06,27557
2011/07/07,29328
2011/07/08,27015
2011/07/09,24566
2011/07/10,24401
2011/07/11,26158
2011/07/12,26794
2011/07/13,23847
2011/07/14,23550
2011/07/15,22099
2011/07/16,23357
2011/07/17,21760
2011/07/18,23969
2011/07/19,25869
2011/07/20,27326
2011/07/21,26424
2011/07/22,25101
2011/07/23,23947
2011/07/24,23071
2011/07/25,23386
2011/07/26,23078
2011/07/27,22822
2011/07/28,22077
2011/07/29,21146
2011/07/30,19886
2011/07/31,18447
2011/08/01,19724
2011/08/02,22389
2011/08/03,23205
2011/08/04,24715
2011/08/05,23771
2011/08/06,25068
2011/08/07,23510
2011/08/08,25149
2011/08/09,25854
2011/08/10,26062
2011/08/11,24539
2011/08/12,22585
2011/08/13,22944
2011/08/14,24072
2011/08/15,26549
2011/08/16,27718
2011/08/17,27578
2011/08/18,24990
2011/08/19,24793
2011/08/20,23099
2011/08/21,22537
2011/08/22,20473
2011/08/23,20519
2011/08/24,21627
2011/08/25,22510
2011/08/26,23283
2011/08/27,23725
2011/08/28,22969
2011/08/29,23594
2011/08/30,22540
2011/08/31,21824
2011/09/01,21478
2011/09/02,20343
2011/09/03,19689
2011/09/04,25140
2011/09/05,25626
2011/09/06,27641
2011/09/07,21694
2011/09/08,22391
2011/09/09,23154
2011/09/10,22991
2011/09/11,23501
2011/09/12,22758
2011/09/13,21817
2011/09/14,20001
2011/09/15,18337
2011/09/16,19380
2011/09/17,19083
2011/09/18,18246
2011/09/19,18960
2011/09/20,22628
2011/09/21,25932
2011/09/22,23838
2011/09/23,21171
2011/09/24,19570
2011/09/25,19924
2011/09/26,19228
2011/09/27,18915
2011/09/28,18174
2011/09/29,18185
2011/09/30,18152
2011/10/01,17936
2011/10/02,17686
2011/10/03,17101
2011/10/04,19254
2011/10/05,19131
2011/10/06,19888
2011/10/07,18304
2011/10/08,19051
2011/10/09,18349
2011/10/10,18950
2011/10/11,22228
2011/10/12,23342
2011/10/13,24091
2011/10/14,20730
2011/10/15,19349
2011/10/16,18058
2011/10/17,19339
2011/10/18,19452
2011/10/19,18939
2011/10/20,16775
2011/10/21,16266
2011/10/22,18104
2011/10/23,19682
2011/10/24,20702
2011/10/25,19009
2011/10/26,18331
2011/10/27,18318
2011/10/28,19790
2011/10/29,20694
2011/10/30,20453
2011/10/31,18622
2011/11/01,16528
2011/11/02,15447
2011/11/03,16614
2011/11/04,17785
2011/11/05,18405
2011/11/06,16375
2011/11/07,16078
2011/11/08,16374
2011/11/09,17593
2011/11/10,18184
2011/11/11,18489
2011/11/12,17952
2011/11/13,16271
2011/11/14,16094
2011/11/15,16440
2011/11/16,17985
2011/11/17,17246
2011/11/18,17326
2011/11/19,16440
2011/11/20,16675
2011/11/21,16653
2011/11/22,16687
2011/11/23,16707
2011/11/24,17894
2011/11/25,17908
2011/11/26,18034
2011/11/27,17350
2011/11/28,18429
2011/11/29,19917
2011/11/30,20694
2011/12/01,19413
2011/12/02,18330
2011/12/03,16982
2011/12/04,17179
2011/12/05,16501
2011/12/06,17652
2011/12/07,18516
2011/12/08,18633
2011/12/09,17390
2011/12/10,16395
2011/12/11,16631
2011/12/12,17598
2011/12/13,18318
2011/12/14,17689
2011/12/15,17109
2011/12/16,17516
2011/12/17,17134
2011/12/18,15877
2011/12/19,15024
2011/12/20,18504
2011/12/21,19456
2011/12/22,19458
2011/12/23,16681
2011/12/24,15693
2011/12/25,14217
2011/12/26,13250
2011/12/27,14174
2011/12/28,14663
2011/12/29,15684
2011/12/30,15292
2011/12/31,15920
2012/01/01,16010
2012/01/02,17398
2012/01/03,18054
2012/01/04,18813
2012/01/05,20666
2012/01/06,21846
2012/01/07,20963
2012/01/08,19544
2012/01/09,19090
