Date,top100cap3ema
2010/07/17,25.695
2010/07/18,25.738
2010/07/19,25.712
2010/07/20,25.657
2010/07/21,25.647
2010/07/22,25.626
2010/07/23,25.567
2010/07/24,25.547
2010/07/25,25.526
2010/07/26,25.917
2010/07/27,26.14
2010/07/28,26.247
2010/07/29,26.308
2010/07/30,26.336
2010/07/31,26.318
2010/08/01,26.309
2010/08/02,26.271
2010/08/03,26.275
2010/08/04,26.227
2010/08/05,26.228
2010/08/06,26.211
2010/08/07,26.191
2010/08/08,26.17
2010/08/09,26.248
2010/08/10,26.254
2010/08/11,26.349
2010/08/12,26.331
2010/08/13,26.368
2010/08/14,26.352
2010/08/15,26.326
2010/08/16,26.382
2010/08/17,26.476
2010/08/18,26.506
2010/08/19,26.511
2010/08/20,26.536
2010/08/21,26.53
2010/08/22,26.536
2010/08/23,26.53
2010/08/24,26.547
2010/08/25,26.515
2010/08/26,26.499
2010/08/27,26.52
2010/08/28,26.488
2010/08/29,26.428
2010/08/30,26.37
2010/08/31,26.385
2010/09/01,26.376
2010/09/02,26.365
2010/09/03,26.355
2010/09/04,26.358
2010/09/05,26.396
2010/09/06,26.399
2010/09/07,26.382
2010/09/08,26.339
2010/09/09,26.302
2010/09/10,26.276
2010/09/11,26.241
2010/09/12,26.256
2010/09/13,26.185
2010/09/14,26.11
2010/09/15,26.046
2010/09/16,26.065
2010/09/17,26.366
2010/09/18,26.54
2010/09/19,26.696
2010/09/20,26.8
2010/09/21,26.835
2010/09/22,26.818
2010/09/23,26.913
2010/09/24,26.989
2010/09/25,27.088
2010/09/26,27.176
2010/09/27,27.402
2010/09/28,28.082
2010/09/29,28.418
2010/09/30,28.548
2010/10/01,28.595
2010/10/02,28.891
2010/10/03,29.039
2010/10/04,28.973
2010/10/05,28.974
2010/10/06,28.943
2010/10/07,29.191
2010/10/08,29.411
2010/10/09,29.641
2010/10/10,29.862
2010/10/11,29.922
2010/10/12,29.947
2010/10/13,30.028
2010/10/14,30.155
2010/10/15,30.174
2010/10/16,30.274
2010/10/17,30.337
2010/10/18,30.457
2010/10/19,30.417
2010/10/20,30.426
2010/10/21,30.42
2010/10/22,30.431
2010/10/23,30.44
2010/10/24,30.434
2010/10/25,30.433
2010/10/26,30.509
2010/10/27,30.596
2010/10/28,30.604
2010/10/29,30.549
2010/10/30,30.5
2010/10/31,30.516
2010/11/01,30.52
2010/11/02,30.537
2010/11/03,30.514
2010/11/04,30.5
2010/11/05,30.516
2010/11/06,30.562
2010/11/07,30.54
2010/11/08,30.873
2010/11/09,31.012
2010/11/10,30.998
2010/11/11,30.956
2010/11/12,30.922
2010/11/13,30.844
2010/11/14,30.849
2010/11/15,30.824
2010/11/16,30.792
2010/11/17,30.814
2010/11/18,30.792
2010/11/19,30.763
2010/11/20,30.81
2010/11/21,30.825
2010/11/22,30.825
2010/11/23,30.864
2010/11/24,30.94
2010/11/25,31.009
2010/11/26,31.047
2010/11/27,31.05
2010/11/28,31.049
2010/11/29,31.025
2010/11/30,31.083
2010/12/01,31.206
2010/12/02,31.391
2010/12/03,31.603
2010/12/04,31.734
2010/12/05,31.815
2010/12/06,31.74
2010/12/07,31.67
2010/12/08,31.637
2010/12/09,31.581
2010/12/10,31.577
2010/12/11,31.582
2010/12/12,31.557
2010/12/13,31.688
2010/12/14,31.728
2010/12/15,31.715
2010/12/16,31.682
2010/12/17,31.659
2010/12/18,31.626
2010/12/19,31.527
2010/12/20,31.502
2010/12/21,31.359
2010/12/22,31.313
2010/12/23,31.271
2010/12/24,31.232
2010/12/25,31.224
2010/12/26,31.197
2010/12/27,31.249
2010/12/28,31.243
2010/12/29,31.132
2010/12/30,31.04
2010/12/31,30.93
2011/01/01,30.852
2011/01/02,30.788
2011/01/03,30.756
2011/01/04,30.723
2011/01/05,30.731
2011/01/06,30.701
2011/01/07,30.666
