Date,hashrate30trx
2010/07/17,4.564
2010/07/18,5.502
2010/07/19,6.291
2010/07/20,6.933
2010/07/21,7.432
2010/07/22,7.787
2010/07/23,8.01
2010/07/24,8.11
2010/07/25,8.137
2010/07/26,8.134
2010/07/27,8.113
2010/07/28,8.019
2010/07/29,7.881
2010/07/30,7.715
2010/07/31,7.531
2010/08/01,7.359
2010/08/02,7.212
2010/08/03,7.067
2010/08/04,6.911
2010/08/05,6.764
2010/08/06,6.621
2010/08/07,6.449
2010/08/08,6.28
2010/08/09,6.124
2010/08/10,5.969
2010/08/11,5.83
2010/08/12,5.702
2010/08/13,5.581
2010/08/14,5.47
2010/08/15,5.411
2010/08/16,5.322
2010/08/17,5.207
2010/08/18,5.067
2010/08/19,4.912
2010/08/20,4.763
2010/08/21,4.629
2010/08/22,4.513
2010/08/23,4.417
2010/08/24,4.333
2010/08/25,4.261
2010/08/26,4.191
2010/08/27,4.127
2010/08/28,4.061
2010/08/29,3.984
2010/08/30,3.893
2010/08/31,3.801
2010/09/01,3.707
2010/09/02,3.605
2010/09/03,3.5
2010/09/04,3.396
2010/09/05,3.295
2010/09/06,3.192
2010/09/07,3.086
2010/09/08,2.984
2010/09/09,2.887
2010/09/10,2.796
2010/09/11,2.712
2010/09/12,2.636
2010/09/13,2.566
2010/09/14,2.505
2010/09/15,2.448
2010/09/16,2.399
2010/09/17,2.362
2010/09/18,2.336
2010/09/19,2.333
2010/09/20,2.343
2010/09/21,2.353
2010/09/22,2.356
2010/09/23,2.362
2010/09/24,2.379
2010/09/25,2.4
2010/09/26,2.413
2010/09/27,2.427
2010/09/28,2.442
2010/09/29,2.469
2010/09/30,2.483
2010/10/01,2.49
2010/10/02,2.478
2010/10/03,2.443
2010/10/04,2.402
2010/10/05,2.356
2010/10/06,2.308
2010/10/07,2.267
2010/10/08,2.227
2010/10/09,2.187
2010/10/10,2.15
2010/10/11,2.115
2010/10/12,2.08
2010/10/13,2.048
2010/10/14,2.024
2010/10/15,2.007
2010/10/16,2.001
2010/10/17,2.022
2010/10/18,2.057
2010/10/19,2.093
2010/10/20,2.132
2010/10/21,2.197
2010/10/22,2.253
2010/10/23,2.302
2010/10/24,2.349
2010/10/25,2.401
2010/10/26,2.463
2010/10/27,2.528
2010/10/28,2.586
2010/10/29,2.642
2010/10/30,2.696
2010/10/31,2.77
2010/11/01,2.834
2010/11/02,2.888
2010/11/03,2.936
2010/11/04,2.978
2010/11/05,3.019
2010/11/06,3.056
2010/11/07,3.098
2010/11/08,3.145
2010/11/09,3.212
2010/11/10,3.279
2010/11/11,3.358
2010/11/12,3.423
2010/11/13,3.475
2010/11/14,3.534
2010/11/15,3.585
2010/11/16,3.612
2010/11/17,3.633
2010/11/18,3.666
2010/11/19,3.714
2010/11/20,3.721
2010/11/21,3.702
2010/11/22,3.672
2010/11/23,3.63
2010/11/24,3.585
2010/11/25,3.533
2010/11/26,3.492
2010/11/27,3.456
2010/11/28,3.41
2010/11/29,3.367
2010/11/30,3.337
2010/12/01,3.309
2010/12/02,3.287
2010/12/03,3.266
2010/12/04,3.253
2010/12/05,3.25
2010/12/06,3.256
2010/12/07,3.261
2010/12/08,3.266
2010/12/09,3.274
2010/12/10,3.281
2010/12/11,3.282
2010/12/12,3.282
2010/12/13,3.271
2010/12/14,3.247
2010/12/15,3.223
2010/12/16,3.2
2010/12/17,3.171
2010/12/18,3.13
2010/12/19,3.083
2010/12/20,3.033
2010/12/21,2.983
2010/12/22,2.941
2010/12/23,2.891
2010/12/24,2.835
2010/12/25,2.778
2010/12/26,2.717
2010/12/27,2.655
2010/12/28,2.598
2010/12/29,2.543
2010/12/30,2.488
2010/12/31,2.432
2011/01/01,2.379
2011/01/02,2.33
2011/01/03,2.285
2011/01/04,2.237
2011/01/05,2.186
2011/01/06,2.135
2011/01/07,2.083
2011/01/08,2.037
2011/01/09,1.991
2011/01/10,1.949
2011/01/11,1.907
2011/01/12,1.867
2011/01/13,1.83
2011/01/14,1.796
2011/01/15,1.767
2011/01/16,1.742
2011/01/17,1.721
2011/01/18,1.699
2011/01/19,1.676
2011/01/20,1.655
2011/01/21,1.639
2011/01/22,1.619
2011/01/23,1.6
2011/01/24,1.581
2011/01/25,1.558
2011/01/26,1.538
2011/01/27,1.521
2011/01/28,1.506
2011/01/29,1.49
2011/01/30,1.476
2011/01/31,1.46
2011/02/01,1.449
2011/02/02,1.437
2011/02/03,1.423
2011/02/04,1.412
2011/02/05,1.407
2011/02/06,1.402
2011/02/07,1.4
2011/02/08,1.406
2011/02/09,1.417
2011/02/10,1.432
2011/02/11,1.451
2011/02/12,1.472
2011/02/13,1.496
2011/02/14,1.52
2011/02/15,1.546
2011/02/16,1.577
2011/02/17,1.615
2011/02/18,1.668
2011/02/19,1.723
2011/02/20,1.778
2011/02/21,1.833
2011/02/22,1.891
2011/02/23,1.955
2011/02/24,2.02
2011/02/25,2.083
2011/02/26,2.149
2011/02/27,2.246
2011/02/28,2.338
2011/03/01,2.407
2011/03/02,2.462
2011/03/03,2.508
2011/03/04,2.559
2011/03/05,2.627
2011/03/06,2.718
2011/03/07,2.811
2011/03/08,2.88
2011/03/09,2.924
2011/03/10,2.944
2011/03/11,2.939
2011/03/12,2.917
2011/03/13,2.88
2011/03/14,2.825
2011/03/15,2.753
2011/03/16,2.679
2011/03/17,2.603
2011/03/18,2.528
2011/03/19,2.446
2011/03/20,2.363
2011/03/21,2.287
2011/03/22,2.212
2011/03/23,2.14
2011/03/24,2.079
2011/03/25,2.018
2011/03/26,1.958
2011/03/27,1.897
2011/03/28,1.837
2011/03/29,1.782
2011/03/30,1.727
2011/03/31,1.682
2011/04/01,1.643
2011/04/02,1.608
2011/04/03,1.575
2011/04/04,1.544
2011/04/05,1.518
2011/04/06,1.496
2011/04/07,1.474
2011/04/08,1.452
2011/04/09,1.431
2011/04/10,1.413
2011/04/11,1.395
2011/04/12,1.379
2011/04/13,1.369
2011/04/14,1.359
2011/04/15,1.343
2011/04/16,1.324
2011/04/17,1.306
2011/04/18,1.29
2011/04/19,1.271
2011/04/20,1.251
2011/04/21,1.233
2011/04/22,1.216
2011/04/23,1.204
2011/04/24,1.194
2011/04/25,1.186
2011/04/26,1.186
2011/04/27,1.19
2011/04/28,1.19
2011/04/29,1.192
2011/04/30,1.204
2011/05/01,1.221
2011/05/02,1.244
2011/05/03,1.271
2011/05/04,1.3
2011/05/05,1.333
2011/05/06,1.37
2011/05/07,1.409
2011/05/08,1.446
2011/05/09,1.49
2011/05/10,1.552
2011/05/11,1.616
2011/05/12,1.676
2011/05/13,1.736
2011/05/14,1.806
2011/05/15,1.883
2011/05/16,1.961
2011/05/17,2.044
2011/05/18,2.137
2011/05/19,2.247
2011/05/20,2.365
2011/05/21,2.485
2011/05/22,2.617
2011/05/23,2.757
2011/05/24,2.91
2011/05/25,3.07
2011/05/26,3.248
2011/05/27,3.449
2011/05/28,3.615
2011/05/29,3.746
2011/05/30,3.843
2011/05/31,3.903
2011/06/01,3.938
2011/06/02,3.965
2011/06/03,3.984
2011/06/04,3.998
2011/06/05,4.005
2011/06/06,4.027
2011/06/07,4.044
2011/06/08,4.05
2011/06/09,4.059
2011/06/10,4.074
2011/06/11,4.089
2011/06/12,4.109
2011/06/13,4.12
2011/06/14,4.123
2011/06/15,4.157
2011/06/16,4.213
2011/06/17,4.253
2011/06/18,4.279
2011/06/19,4.302
2011/06/20,4.326
2011/06/21,4.35
2011/06/22,4.379
2011/06/23,4.397
2011/06/24,4.428
2011/06/25,4.441
2011/06/26,4.43
2011/06/27,4.401
2011/06/28,4.355
2011/06/29,4.303
2011/06/30,4.249
2011/07/01,4.194
2011/07/02,4.13
2011/07/03,4.055
2011/07/04,3.968
2011/07/05,3.871
2011/07/06,3.764
2011/07/07,3.654
2011/07/08,3.541
2011/07/09,3.434
2011/07/10,3.326
2011/07/11,3.22
2011/07/12,3.113
2011/07/13,3.016
2011/07/14,2.924
2011/07/15,2.834
2011/07/16,2.749
2011/07/17,2.665
2011/07/18,2.584
2011/07/19,2.508
2011/07/20,2.429
2011/07/21,2.353
2011/07/22,2.279
2011/07/23,2.206
2011/07/24,2.138
2011/07/25,2.075
2011/07/26,2.017
2011/07/27,1.968
2011/07/28,1.92
2011/07/29,1.872
2011/07/30,1.822
2011/07/31,1.773
2011/08/01,1.733
2011/08/02,1.693
2011/08/03,1.655
2011/08/04,1.615
2011/08/05,1.569
2011/08/06,1.52
2011/08/07,1.467
2011/08/08,1.411
2011/08/09,1.357
2011/08/10,1.309
2011/08/11,1.262
2011/08/12,1.213
2011/08/13,1.165
2011/08/14,1.114
2011/08/15,1.066
2011/08/16,1.016
2011/08/17,0.968
2011/08/18,0.924
2011/08/19,0.88
2011/08/20,0.837
2011/08/21,0.798
2011/08/22,0.768
2011/08/23,0.743
2011/08/24,0.717
2011/08/25,0.689
2011/08/26,0.661
2011/08/27,0.631
2011/08/28,0.597
2011/08/29,0.561
2011/08/30,0.528
2011/08/31,0.499
2011/09/01,0.47
2011/09/02,0.444
2011/09/03,0.42
2011/09/04,0.395
2011/09/05,0.372
2011/09/06,0.352
2011/09/07,0.334
2011/09/08,0.314
2011/09/09,0.295
2011/09/10,0.277
2011/09/11,0.259
2011/09/12,0.239
2011/09/13,0.219
2011/09/14,0.202
2011/09/15,0.186
2011/09/16,0.17
2011/09/17,0.152
2011/09/18,0.138
2011/09/19,0.125
2011/09/20,0.11
2011/09/21,0.098
2011/09/22,0.088
2011/09/23,0.079
2011/09/24,0.067
2011/09/25,0.056
2011/09/26,0.045
2011/09/27,0.034
2011/09/28,0.023
2011/09/29,0.011
2011/09/30,-0.002
2011/10/01,-0.017
2011/10/02,-0.031
2011/10/03,-0.045
2011/10/04,-0.058
2011/10/05,-0.072
2011/10/06,-0.084
2011/10/07,-0.097
2011/10/08,-0.108
2011/10/09,-0.122
2011/10/10,-0.136
2011/10/11,-0.152
2011/10/12,-0.17
2011/10/13,-0.192
2011/10/14,-0.215
2011/10/15,-0.235
2011/10/16,-0.256
2011/10/17,-0.278
2011/10/18,-0.3
2011/10/19,-0.321
2011/10/20,-0.343
2011/10/21,-0.362
2011/10/22,-0.384
2011/10/23,-0.408
2011/10/24,-0.431
2011/10/25,-0.451
2011/10/26,-0.469
2011/10/27,-0.487
2011/10/28,-0.506
2011/10/29,-0.524
2011/10/30,-0.542
2011/10/31,-0.56
2011/11/01,-0.576
2011/11/02,-0.589
2011/11/03,-0.6
2011/11/04,-0.61
2011/11/05,-0.617
2011/11/06,-0.621
2011/11/07,-0.626
2011/11/08,-0.629
2011/11/09,-0.629
2011/11/10,-0.625
2011/11/11,-0.623
2011/11/12,-0.622
2011/11/13,-0.619
2011/11/14,-0.615
2011/11/15,-0.608
2011/11/16,-0.6
2011/11/17,-0.592
2011/11/18,-0.585
2011/11/19,-0.579
2011/11/20,-0.575
2011/11/21,-0.57
2011/11/22,-0.566
2011/11/23,-0.561
