Date,mining_profitability30wma
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,223752
2010/08/16,215078
2010/08/17,206216
2010/08/18,198906
2010/08/19,191915
2010/08/20,187067
2010/08/21,180808
2010/08/22,176106
2010/08/23,171093
2010/08/24,166500
2010/08/25,162122
2010/08/26,157995
2010/08/27,152119
2010/08/28,146862
2010/08/29,142271
2010/08/30,137992
2010/08/31,134461
2010/09/01,130254
2010/09/02,126912
2010/09/03,123929
2010/09/04,121513
2010/09/05,118762
2010/09/06,116159
2010/09/07,114132
2010/09/08,111633
2010/09/09,108273
2010/09/10,106475
2010/09/11,104125
2010/09/12,102322
2010/09/13,100462
2010/09/14,99585
2010/09/15,97767
2010/09/16,97210
2010/09/17,95529
2010/09/18,94583
2010/09/19,92131
2010/09/20,89966
2010/09/21,87674
2010/09/22,85974
2010/09/23,85082
2010/09/24,83413
2010/09/25,81716
2010/09/26,80491
2010/09/27,79411
2010/09/28,77778
2010/09/29,74917
2010/09/30,72607
2010/10/01,70376
2010/10/02,67683
2010/10/03,66035
2010/10/04,64482
2010/10/05,62521
2010/10/06,61434
2010/10/07,59928
2010/10/08,59123
2010/10/09,59175
2010/10/10,59805
2010/10/11,59810
2010/10/12,59893
2010/10/13,60594
2010/10/14,61727
2010/10/15,61990
2010/10/16,63517
2010/10/17,64037
2010/10/18,64559
2010/10/19,65488
2010/10/20,66268
2010/10/21,64769
2010/10/22,63727
2010/10/23,63036
2010/10/24,62929
2010/10/25,62241
2010/10/26,62883
2010/10/27,63697
2010/10/28,65369
2010/10/29,66835
2010/10/30,68895
2010/10/31,68098
2010/11/01,68014
2010/11/02,67815
2010/11/03,67650
