Date,top100cap3roc
2010/07/17,1.076
2010/07/18,0.659
2010/07/19,0.137
2010/07/20,-0.571
2010/07/21,-0.558
2010/07/22,-0.315
2010/07/23,-0.363
2010/07/24,-0.434
2010/07/25,-0.385
2010/07/26,3.135
2010/07/27,3.278
2010/07/28,3.328
2010/07/29,0.23
2010/07/30,0.001
2010/07/31,-0.206
2010/08/01,-0.259
2010/08/02,-0.494
2010/08/03,-0.078
2010/08/04,-0.464
2010/08/05,-0.018
2010/08/06,-0.326
2010/08/07,-0.03
2010/08/08,-0.302
2010/08/09,0.507
2010/08/10,0.342
2010/08/11,1.128
2010/08/12,-0.048
2010/08/13,0.545
2010/08/14,-0.403
2010/08/15,-0.051
2010/08/16,0.13
2010/08/17,0.885
2010/08/18,0.893
2010/08/19,0.296
2010/08/20,-0.036
2010/08/21,-0.038
2010/08/22,0.094
2010/08/23,-0.142
2010/08/24,0.148
2010/08/25,-0.216
2010/08/26,-0.152
2010/08/27,-0.091
2010/08/28,-0.103
2010/08/29,-0.432
2010/08/30,-0.858
2010/08/31,-0.212
2010/09/01,-0.008
2010/09/02,0.161
2010/09/03,-0.214
2010/09/04,-0.02
2010/09/05,0.299
2010/09/06,0.22
2010/09/07,0.017
2010/09/08,-0.522
2010/09/09,-0.517
2010/09/10,-0.439
2010/09/11,-0.338
2010/09/12,0.019
2010/09/13,-0.513
2010/09/14,-0.656
2010/09/15,-1.097
2010/09/16,-0.118
2010/09/17,2.43
2010/09/18,2.817
2010/09/19,2.943
2010/09/20,0.888
2010/09/21,0.585
2010/09/22,-0.192
2010/09/23,0.39
2010/09/24,0.723
2010/09/25,1.441
2010/09/26,0.946
2010/09/27,2.086
2010/09/28,5.797
2010/09/29,5.461
2010/09/30,3.795
2010/10/01,-0.419
2010/10/02,1.511
2010/10/03,1.779
2010/10/04,0.924
2010/10/05,-0.731
2010/10/06,-0.943
2010/10/07,1.845
2010/10/08,2.268
2010/10/09,3.316
2010/10/10,2.187
2010/10/11,1.18
2010/10/12,0.336
2010/10/13,0.085
2010/10/14,1.003
2010/10/15,0.743
