Date,confirmationtime7sma
2010/07/17,4.041
2010/07/18,4.087
2010/07/19,4.958
2010/07/20,5.797
2010/07/21,6.435
2010/07/22,7.274
2010/07/23,7.927
2010/07/24,7.826
2010/07/25,7.521
2010/07/26,7.185
2010/07/27,7.288
2010/07/28,7.588
2010/07/29,7.562
2010/07/30,7.632
2010/07/31,7.557
2010/08/01,7.527
2010/08/02,7.53
2010/08/03,7.197
2010/08/04,6.75
2010/08/05,6.551
2010/08/06,6.82
2010/08/07,7.134
2010/08/08,7.307
2010/08/09,7.539
2010/08/10,7.71
2010/08/11,7.747
2010/08/12,7.751
2010/08/13,7.308
2010/08/14,6.713
2010/08/15,6.673
2010/08/16,6.99
2010/08/17,7.508
2010/08/18,8.171
2010/08/19,8.747
2010/08/20,8.856
2010/08/21,9.313
2010/08/22,9.29
2010/08/23,8.856
2010/08/24,8.218
2010/08/25,7.624
2010/08/26,7.08
2010/08/27,7.217
2010/08/28,7.238
2010/08/29,7.538
2010/08/30,7.952
2010/08/31,8.114
2010/09/01,8.471
2010/09/02,8.811
2010/09/03,8.862
2010/09/04,8.788
2010/09/05,8.765
2010/09/06,8.687
2010/09/07,8.854
2010/09/08,8.791
2010/09/09,8.996
2010/09/10,8.904
2010/09/11,9.053
2010/09/12,8.968
2010/09/13,8.869
2010/09/14,8.597
2010/09/15,8.568
2010/09/16,7.983
2010/09/17,7.81
2010/09/18,7.392
2010/09/19,7.214
2010/09/20,7.025
2010/09/21,7.207
2010/09/22,7.172
2010/09/23,7.112
2010/09/24,7.025
2010/09/25,7.151
2010/09/26,7.17
2010/09/27,7.055
2010/09/28,6.83
2010/09/29,6.902
2010/09/30,7.432
2010/10/01,7.865
2010/10/02,8.928
2010/10/03,9.611
2010/10/04,10.057
2010/10/05,10.72
2010/10/06,10.668
2010/10/07,10.545
2010/10/08,10.545
2010/10/09,9.79
2010/10/10,9.259
2010/10/11,9.209
2010/10/12,8.903
2010/10/13,8.869
2010/10/14,8.587
2010/10/15,8.413
2010/10/16,7.909
2010/10/17,7.515
2010/10/18,7.047
2010/10/19,6.524
2010/10/20,6.134
2010/10/21,6.236
2010/10/22,6.41
2010/10/23,6.788
2010/10/24,7.03
2010/10/25,7.217
2010/10/26,7.267
2010/10/27,7.454
2010/10/28,7.287
2010/10/29,6.874
2010/10/30,6.514
2010/10/31,6.66
2010/11/01,6.809
2010/11/02,7.124
2010/11/03,7.241
2010/11/04,7.325
2010/11/05,7.342
2010/11/06,7.469
2010/11/07,7.174
2010/11/08,6.76
2010/11/09,6.539
2010/11/10,6.469
2010/11/11,6.385
2010/11/12,6.663
2010/11/13,6.642
2010/11/14,6.592
2010/11/15,6.873
2010/11/16,6.969
2010/11/17,6.788
2010/11/18,6.649
2010/11/19,6.804
2010/11/20,7.655
2010/11/21,8.32
2010/11/22,8.554
2010/11/23,8.979
2010/11/24,9.308
2010/11/25,9.644
2010/11/26,9.333
2010/11/27,8.703
2010/11/28,8.429
2010/11/29,8.152
2010/11/30,7.701
2010/12/01,7.633
2010/12/02,7.59
2010/12/03,7.618
2010/12/04,7.374
2010/12/05,7.039
2010/12/06,6.908
2010/12/07,6.75
2010/12/08,6.52
2010/12/09,6.349
2010/12/10,6.66
2010/12/11,6.937
2010/12/12,7.279
2010/12/13,7.884
2010/12/14,8.227
2010/12/15,8.412
2010/12/16,8.679
2010/12/17,8.518
2010/12/18,8.621
2010/12/19,8.536
2010/12/20,8.37
2010/12/21,8.222
2010/12/22,8.475
2010/12/23,8.704
2010/12/24,8.855
2010/12/25,8.802
2010/12/26,9.103
2010/12/27,9.048
2010/12/28,9.21
2010/12/29,9.155
2010/12/30,8.954
2010/12/31,8.834
2011/01/01,8.746
2011/01/02,8.502
2011/01/03,8.582
2011/01/04,8.824
2011/01/05,8.913
2011/01/06,9.154
2011/01/07,9.139
2011/01/08,9.212
2011/01/09,9.299
2011/01/10,9.25
2011/01/11,8.987
2011/01/12,8.883
2011/01/13,8.518
2011/01/14,8.401
2011/01/15,8.501
2011/01/16,8.421
2011/01/17,8.288
2011/01/18,8.551
2011/01/19,8.536
2011/01/20,8.548
2011/01/21,8.594
2011/01/22,8.53
2011/01/23,8.558
2011/01/24,8.516
2011/01/25,8.375
2011/01/26,8.301
2011/01/27,8.481
2011/01/28,8.6
2011/01/29,8.631
2011/01/30,8.74
2011/01/31,8.856
2011/02/01,8.791
2011/02/02,8.951
2011/02/03,8.951
2011/02/04,8.709
2011/02/05,8.58
2011/02/06,8.424
2011/02/07,8.227
2011/02/08,8.197
2011/02/09,7.967
2011/02/10,7.787
2011/02/11,7.833
2011/02/12,7.733
2011/02/13,7.61
2011/02/14,7.646
2011/02/15,7.336
2011/02/16,7.151
2011/02/17,6.936
2011/02/18,6.8
2011/02/19,7.028
2011/02/20,7.028
2011/02/21,7.039
2011/02/22,7.1
2011/02/23,7.059
2011/02/24,7.163
2011/02/25,7.107
2011/02/26,6.574
2011/02/27,6.378
2011/02/28,6.689
2011/03/01,7.297
2011/03/02,7.675
2011/03/03,7.787
2011/03/04,7.804
2011/03/05,7.801
2011/03/06,7.709
2011/03/07,7.312
2011/03/08,6.83
2011/03/09,6.891
2011/03/10,7.655
2011/03/11,8.307
2011/03/12,9.033
2011/03/13,10.041
2011/03/14,10.903
2011/03/15,11.639
2011/03/16,11.866
2011/03/17,11.455
2011/03/18,11.587
2011/03/19,11.906
2011/03/20,11.65
2011/03/21,11.203
2011/03/22,11.095
2011/03/23,10.893
2011/03/24,10.787
2011/03/25,10.262
2011/03/26,9.964
2011/03/27,9.901
2011/03/28,9.735
2011/03/29,9.269
2011/03/30,9.277
2011/03/31,8.947
2011/04/01,8.927
2011/04/02,8.579
2011/04/03,8.316
2011/04/04,8.247
2011/04/05,8.045
2011/04/06,8.117
2011/04/07,8.493
2011/04/08,8.563
2011/04/09,8.739
2011/04/10,8.752
2011/04/11,8.859
2011/04/12,9.061
2011/04/13,8.731
2011/04/14,8.617
2011/04/15,8.891
2011/04/16,8.761
2011/04/17,8.715
2011/04/18,8.843
2011/04/19,8.916
2011/04/20,9.285
2011/04/21,9.398
2011/04/22,9.055
2011/04/23,9.061
2011/04/24,9.188
2011/04/25,8.87
2011/04/26,8.589
2011/04/27,8.285
2011/04/28,8.14
2011/04/29,7.999
2011/04/30,7.892
2011/05/01,7.771
2011/05/02,7.744
2011/05/03,7.739
2011/05/04,7.659
2011/05/05,7.344
2011/05/06,7.259
2011/05/07,7.132
2011/05/08,6.922
2011/05/09,6.738
2011/05/10,6.813
2011/05/11,6.845
2011/05/12,7.123
2011/05/13,7.174
2011/05/14,7.062
2011/05/15,7.058
2011/05/16,7.03
2011/05/17,6.706
2011/05/18,6.344
2011/05/19,6.33
2011/05/20,6.271
2011/05/21,6.356
2011/05/22,6.237
2011/05/23,6.123
2011/05/24,6.011
2011/05/25,5.967
2011/05/26,5.459
2011/05/27,5.756
2011/05/28,6.148
2011/05/29,6.474
2011/05/30,7.091
2011/05/31,7.774
2011/06/01,8.198
2011/06/02,8.586
2011/06/03,8.373
2011/06/04,7.964
2011/06/05,7.81
2011/06/06,7.357
2011/06/07,7.196
2011/06/08,7.213
2011/06/09,7.057
2011/06/10,6.961
2011/06/11,6.859
2011/06/12,6.753
2011/06/13,6.777
2011/06/14,6.399
2011/06/15,6.025
2011/06/16,6.241
2011/06/17,6.424
2011/06/18,6.652
2011/06/19,6.692
2011/06/20,6.665
2011/06/21,6.645
2011/06/22,6.699
2011/06/23,6.413
2011/06/24,6.26
2011/06/25,6.654
2011/06/26,7.112
2011/06/27,7.45
2011/06/28,7.923
2011/06/29,8.328
2011/06/30,8.548
2011/07/01,8.784
2011/07/02,8.563
2011/07/03,8.429
2011/07/04,8.422
2011/07/05,8.616
2011/07/06,8.73
2011/07/07,9.224
2011/07/08,9.281
2011/07/09,9.445
2011/07/10,9.7
2011/07/11,9.8
2011/07/12,9.779
2011/07/13,9.546
2011/07/14,9.404
2011/07/15,9.427
2011/07/16,9.357
2011/07/17,9.065
2011/07/18,8.965
2011/07/19,8.955
2011/07/20,9.258
2011/07/21,9.183
2011/07/22,9.276
2011/07/23,9.374
2011/07/24,9.403
2011/07/25,9.44
2011/07/26,9.16
2011/07/27,8.962
2011/07/28,8.936
2011/07/29,8.828
2011/07/30,8.772
2011/07/31,8.708
2011/08/01,8.708
2011/08/02,8.875
2011/08/03,9.003
2011/08/04,9.271
2011/08/05,9.486
2011/08/06,9.819
2011/08/07,10.276
2011/08/08,10.542
2011/08/09,10.615
2011/08/10,10.658
2011/08/11,10.565
2011/08/12,10.666
2011/08/13,10.562
2011/08/14,10.488
2011/08/15,10.57
2011/08/16,10.56
2011/08/17,10.719
2011/08/18,10.646
2011/08/19,10.646
2011/08/20,10.417
2011/08/21,10.145
2011/08/22,9.767
2011/08/23,9.695
2011/08/24,9.718
2011/08/25,9.813
2011/08/26,9.642
2011/08/27,9.975
2011/08/28,10.462
2011/08/29,10.736
2011/08/30,10.818
2011/08/31,10.61
2011/09/01,10.681
2011/09/02,10.6
2011/09/03,10.332
2011/09/04,10.094
2011/09/05,9.922
2011/09/06,9.875
2011/09/07,10.061
2011/09/08,10.061
2011/09/09,10.078
2011/09/10,10.206
2011/09/11,10.317
2011/09/12,10.545
2011/09/13,10.631
2011/09/14,10.527
2011/09/15,10.251
2011/09/16,10.644
2011/09/17,10.633
2011/09/18,10.289
2011/09/19,10.362
2011/09/20,10.383
2011/09/21,10.383
2011/09/22,10.454
2011/09/23,10.272
2011/09/24,10.332
2011/09/25,10.531
2011/09/26,10.447
2011/09/27,10.524
2011/09/28,10.514
2011/09/29,10.77
2011/09/30,10.909
2011/10/01,10.753
2011/10/02,10.952
2011/10/03,10.835
2011/10/04,11.125
2011/10/05,11.145
2011/10/06,11.106
2011/10/07,10.911
2011/10/08,11.201
2011/10/09,11.12
2011/10/10,11.374
2011/10/11,11.749
2011/10/12,12.045
2011/10/13,12.559
2011/10/14,12.548
2011/10/15,12.354
2011/10/16,12.463
2011/10/17,12.534
2011/10/18,12.037
2011/10/19,11.869
2011/10/20,11.537
2011/10/21,11.757
2011/10/22,12.321
2011/10/23,12.497
2011/10/24,12.374
2011/10/25,12.254
2011/10/26,12.466
2011/10/27,12.734
2011/10/28,12.993
2011/10/29,12.714
2011/10/30,12.663
2011/10/31,12.613
2011/11/01,12.39
2011/11/02,11.968
2011/11/03,11.556
2011/11/04,10.996
2011/11/05,10.585
2011/11/06,10.16
2011/11/07,10.148
2011/11/08,10.158
2011/11/09,10.1
2011/11/10,9.913
2011/11/11,10.242
2011/11/12,10.272
2011/11/13,10.272
2011/11/14,10.152
2011/11/15,10.018
2011/11/16,10.264
2011/11/17,10.285
2011/11/18,10.103
2011/11/19,10.337
2011/11/20,10.347
2011/11/21,10.652
2011/11/22,10.874
2011/11/23,10.886
2011/11/24,11.226
2011/11/25,11.203
2011/11/26,11.245
2011/11/27,11.611
2011/11/28,11.487
2011/11/29,11.509
2011/11/30,11.243
2011/12/01,10.553
2011/12/02,10.438
2011/12/03,10.078
2011/12/04,9.786
2011/12/05,9.468
2011/12/06,9.18
2011/12/07,9.401
2011/12/08,9.525
2011/12/09,9.515
2011/12/10,9.591
2011/12/11,9.431
2011/12/12,9.749
2011/12/13,10.105
2011/12/14,9.959
2011/12/15,10.541
2011/12/16,10.885
2011/12/17,10.828
2011/12/18,10.903
2011/12/19,10.577
2011/12/20,10.554
2011/12/21,10.59
2011/12/22,10.143
2011/12/23,9.848
2011/12/24,9.896
2011/12/25,9.649
2011/12/26,9.518
2011/12/27,9.401
2011/12/28,9.348
2011/12/29,9.448
2011/12/30,9.448
2011/12/31,9.392
2012/01/01,9.554
2012/01/02,9.755
2012/01/03,9.63
2012/01/04,9.683
2012/01/05,9.592
2012/01/06,9.346
2012/01/07,9.102
2012/01/08,9.019
2012/01/09,8.911
2012/01/10,9.076
2012/01/11,9.04
2012/01/12,8.968
2012/01/13,9.234
2012/01/14,9.488
2012/01/15,9.706
2012/01/16,9.627
2012/01/17,9.478
2012/01/18,9.741
2012/01/19,9.785
2012/01/20,9.734
2012/01/21,9.617
2012/01/22,9.65
2012/01/23,9.685
2012/01/24,9.854
2012/01/25,9.637
2012/01/26,9.756
2012/01/27,9.797
2012/01/28,9.961
2012/01/29,9.68
2012/01/30,9.666
2012/01/31,9.558
2012/02/01,9.627
2012/02/02,9.43
