Date,mining_profitability7rsi
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,65.743
2010/07/25,64.558
2010/07/26,60.058
2010/07/27,48.523
2010/07/28,53.541
2010/07/29,57.499
2010/07/30,57.027
2010/07/31,59.878
2010/08/01,55.166
2010/08/02,50.517
2010/08/03,47.835
2010/08/04,53.915
2010/08/05,42.702
2010/08/06,33.673
2010/08/07,41.63
2010/08/08,44.419
2010/08/09,42.709
2010/08/10,47.071
2010/08/11,46.712
2010/08/12,45.591
2010/08/13,41.733
2010/08/14,55.706
2010/08/15,32.975
2010/08/16,35.597
2010/08/17,34.909
2010/08/18,40.123
2010/08/19,38.535
2010/08/20,47.224
2010/08/21,38.461
2010/08/22,44.815
2010/08/23,41.633
2010/08/24,41.577
2010/08/25,40.466
2010/08/26,39.832
2010/08/27,29.638
2010/08/28,32.795
2010/08/29,35.92
2010/08/30,35.531
2010/08/31,39.931
2010/09/01,31.92
2010/09/02,39.207
2010/09/03,40.182
2010/09/04,43.492
2010/09/05,37.296
2010/09/06,38.169
2010/09/07,45.655
2010/09/08,37.004
2010/09/09,27.383
2010/09/10,47.17
2010/09/11,39.701
2010/09/12,43.918
2010/09/13,41.218
2010/09/14,50.872
2010/09/15,39.897
2010/09/16,53.609
2010/09/17,42.217
2010/09/18,48.804
2010/09/19,36.218
2010/09/20,37.339
2010/09/21,35.435
2010/09/22,41.411
2010/09/23,50.021
2010/09/24,40.918
2010/09/25,39.443
2010/09/26,44.579
2010/09/27,45.983
2010/09/28,38.254
2010/09/29,26.927
2010/09/30,34.129
2010/10/01,33.65
2010/10/02,28.58
2010/10/03,44.462
2010/10/04,44.313
2010/10/05,37.789
2010/10/06,50.251
2010/10/07,43.474
2010/10/08,52.116
2010/10/09,61.349
2010/10/10,66.732
2010/10/11,55.946
2010/10/12,56.428
2010/10/13,63.295
2010/10/14,67.591
2010/10/15,52.083
2010/10/16,64.993
2010/10/17,51.521
2010/10/18,51.335
2010/10/19,55.77
2010/10/20,53.862
2010/10/21,31.012
2010/10/22,36.686
