Date,size90trx
2010/07/17,0.436
2010/07/18,0.447
2010/07/19,0.458
2010/07/20,0.471
2010/07/21,0.484
2010/07/22,0.495
2010/07/23,0.506
2010/07/24,0.52
2010/07/25,0.544
2010/07/26,0.568
2010/07/27,0.59
2010/07/28,0.623
2010/07/29,0.66
2010/07/30,0.694
2010/07/31,0.724
2010/08/01,0.751
2010/08/02,0.774
2010/08/03,0.796
2010/08/04,0.815
2010/08/05,0.832
2010/08/06,0.848
2010/08/07,0.862
2010/08/08,0.874
2010/08/09,0.887
2010/08/10,0.898
2010/08/11,0.906
2010/08/12,0.912
2010/08/13,0.918
2010/08/14,0.921
2010/08/15,0.922
2010/08/16,0.923
2010/08/17,0.924
2010/08/18,0.928
2010/08/19,0.93
2010/08/20,0.931
2010/08/21,0.931
2010/08/22,0.929
2010/08/23,0.925
2010/08/24,0.921
2010/08/25,0.916
2010/08/26,0.909
2010/08/27,0.902
2010/08/28,0.894
2010/08/29,0.885
2010/08/30,0.875
2010/08/31,0.866
2010/09/01,0.858
2010/09/02,0.849
2010/09/03,0.84
2010/09/04,0.829
2010/09/05,0.818
2010/09/06,0.807
2010/09/07,0.795
2010/09/08,0.783
2010/09/09,0.771
2010/09/10,0.759
2010/09/11,0.746
2010/09/12,0.734
2010/09/13,0.722
2010/09/14,0.71
2010/09/15,0.699
2010/09/16,0.687
2010/09/17,0.676
2010/09/18,0.665
2010/09/19,0.653
2010/09/20,0.641
2010/09/21,0.632
2010/09/22,0.625
2010/09/23,0.618
2010/09/24,0.61
2010/09/25,0.603
2010/09/26,0.596
2010/09/27,0.589
2010/09/28,0.583
2010/09/29,0.581
2010/09/30,0.579
2010/10/01,0.577
2010/10/02,0.578
2010/10/03,0.578
2010/10/04,0.579
2010/10/05,0.579
2010/10/06,0.579
2010/10/07,0.578
2010/10/08,0.577
2010/10/09,0.576
2010/10/10,0.574
2010/10/11,0.571
2010/10/12,0.568
2010/10/13,0.565
2010/10/14,0.561
2010/10/15,0.557
2010/10/16,0.552
2010/10/17,0.546
2010/10/18,0.54
2010/10/19,0.535
2010/10/20,0.53
2010/10/21,0.525
2010/10/22,0.521
2010/10/23,0.518
2010/10/24,0.514
2010/10/25,0.51
2010/10/26,0.505
2010/10/27,0.501
2010/10/28,0.496
2010/10/29,0.491
2010/10/30,0.485
2010/10/31,0.479
2010/11/01,0.473
2010/11/02,0.466
2010/11/03,0.458
2010/11/04,0.45
2010/11/05,0.442
2010/11/06,0.434
2010/11/07,0.426
2010/11/08,0.418
2010/11/09,0.409
2010/11/10,0.401
2010/11/11,0.392
2010/11/12,0.383
2010/11/13,0.374
2010/11/14,0.364
2010/11/15,0.371
2010/11/16,0.397
2010/11/17,0.42
2010/11/18,0.442
2010/11/19,0.488
2010/11/20,0.565
2010/11/21,0.666
2010/11/22,0.756
2010/11/23,0.838
2010/11/24,0.92
2010/11/25,1.01
2010/11/26,1.091
2010/11/27,1.162
2010/11/28,1.224
2010/11/29,1.277
2010/11/30,1.322
2010/12/01,1.359
2010/12/02,1.389
2010/12/03,1.413
2010/12/04,1.43
2010/12/05,1.442
2010/12/06,1.449
2010/12/07,1.451
2010/12/08,1.449
2010/12/09,1.443
2010/12/10,1.434
2010/12/11,1.423
2010/12/12,1.41
2010/12/13,1.396
2010/12/14,1.38
2010/12/15,1.363
2010/12/16,1.344
2010/12/17,1.324
2010/12/18,1.303
2010/12/19,1.281
2010/12/20,1.259
2010/12/21,1.237
2010/12/22,1.214
2010/12/23,1.191
2010/12/24,1.168
2010/12/25,1.144
2010/12/26,1.12
2010/12/27,1.096
2010/12/28,1.072
2010/12/29,1.048
2010/12/30,1.024
2010/12/31,1
2011/01/01,0.977
2011/01/02,0.953
2011/01/03,0.931
2011/01/04,0.91
2011/01/05,0.891
2011/01/06,0.872
2011/01/07,0.853
2011/01/08,0.836
2011/01/09,0.82
2011/01/10,0.805
2011/01/11,0.791
2011/01/12,0.777
2011/01/13,0.764
2011/01/14,0.752
2011/01/15,0.74
2011/01/16,0.728
2011/01/17,0.716
2011/01/18,0.705
2011/01/19,0.693
2011/01/20,0.682
2011/01/21,0.671
2011/01/22,0.662
2011/01/23,0.653
2011/01/24,0.645
2011/01/25,0.636
2011/01/26,0.628
2011/01/27,0.62
2011/01/28,0.612
2011/01/29,0.606
2011/01/30,0.603
2011/01/31,0.602
2011/02/01,0.6
2011/02/02,0.599
2011/02/03,0.596
2011/02/04,0.593
2011/02/05,0.589
2011/02/06,0.585
2011/02/07,0.581
2011/02/08,0.576
2011/02/09,0.57
2011/02/10,0.567
2011/02/11,0.564
2011/02/12,0.563
2011/02/13,0.561
2011/02/14,0.561
2011/02/15,0.562
2011/02/16,0.562
2011/02/17,0.563
2011/02/18,0.564
2011/02/19,0.565
2011/02/20,0.567
2011/02/21,0.568
2011/02/22,0.57
2011/02/23,0.572
2011/02/24,0.574
2011/02/25,0.577
2011/02/26,0.578
2011/02/27,0.58
2011/02/28,0.582
2011/03/01,0.587
2011/03/02,0.593
2011/03/03,0.599
2011/03/04,0.606
2011/03/05,0.612
2011/03/06,0.617
2011/03/07,0.622
2011/03/08,0.627
2011/03/09,0.632
2011/03/10,0.639
2011/03/11,0.646
2011/03/12,0.655
2011/03/13,0.665
2011/03/14,0.678
2011/03/15,0.694
2011/03/16,0.71
2011/03/17,0.728
2011/03/18,0.745
2011/03/19,0.765
2011/03/20,0.787
2011/03/21,0.812
2011/03/22,0.836
2011/03/23,0.861
2011/03/24,0.885
2011/03/25,0.907
2011/03/26,0.929
2011/03/27,0.95
2011/03/28,0.971
2011/03/29,0.99
2011/03/30,1.006
2011/03/31,1.021
2011/04/01,1.033
2011/04/02,1.042
2011/04/03,1.05
2011/04/04,1.056
2011/04/05,1.06
2011/04/06,1.064
2011/04/07,1.066
2011/04/08,1.066
2011/04/09,1.066
2011/04/10,1.064
2011/04/11,1.062
2011/04/12,1.059
2011/04/13,1.056
2011/04/14,1.053
2011/04/15,1.051
2011/04/16,1.049
2011/04/17,1.046
2011/04/18,1.044
2011/04/19,1.043
2011/04/20,1.044
2011/04/21,1.043
2011/04/22,1.041
2011/04/23,1.039
2011/04/24,1.036
2011/04/25,1.033
2011/04/26,1.03
2011/04/27,1.029
2011/04/28,1.029
2011/04/29,1.028
2011/04/30,1.029
2011/05/01,1.03
2011/05/02,1.03
2011/05/03,1.03
2011/05/04,1.029
2011/05/05,1.028
2011/05/06,1.026
2011/05/07,1.024
2011/05/08,1.021
2011/05/09,1.018
2011/05/10,1.014
2011/05/11,1.011
2011/05/12,1.008
2011/05/13,1.007
2011/05/14,1.004
2011/05/15,1.002
2011/05/16,1.001
2011/05/17,0.998
2011/05/18,0.996
2011/05/19,0.996
2011/05/20,0.995
2011/05/21,0.995
2011/05/22,0.995
2011/05/23,0.994
2011/05/24,0.993
2011/05/25,0.992
2011/05/26,0.991
2011/05/27,0.991
2011/05/28,0.993
2011/05/29,0.994
2011/05/30,0.997
2011/05/31,1.003
2011/06/01,1.009
2011/06/02,1.017
2011/06/03,1.028
2011/06/04,1.039
2011/06/05,1.051
2011/06/06,1.065
2011/06/07,1.08
2011/06/08,1.1
2011/06/09,1.122
2011/06/10,1.144
2011/06/11,1.166
2011/06/12,1.189
2011/06/13,1.212
2011/06/14,1.236
2011/06/15,1.258
2011/06/16,1.283
2011/06/17,1.309
2011/06/18,1.335
2011/06/19,1.359
2011/06/20,1.382
2011/06/21,1.402
2011/06/22,1.42
2011/06/23,1.436
2011/06/24,1.45
2011/06/25,1.465
2011/06/26,1.481
2011/06/27,1.498
2011/06/28,1.516
2011/06/29,1.532
2011/06/30,1.546
2011/07/01,1.559
2011/07/02,1.571
2011/07/03,1.581
2011/07/04,1.59
2011/07/05,1.599
2011/07/06,1.608
2011/07/07,1.616
2011/07/08,1.623
2011/07/09,1.628
2011/07/10,1.633
2011/07/11,1.637
2011/07/12,1.64
2011/07/13,1.641
2011/07/14,1.641
2011/07/15,1.64
2011/07/16,1.637
2011/07/17,1.633
2011/07/18,1.629
2011/07/19,1.624
2011/07/20,1.619
2011/07/21,1.613
2011/07/22,1.607
2011/07/23,1.6
2011/07/24,1.591
2011/07/25,1.582
2011/07/26,1.572
2011/07/27,1.561
2011/07/28,1.55
2011/07/29,1.538
2011/07/30,1.524
2011/07/31,1.509
2011/08/01,1.494
2011/08/02,1.48
2011/08/03,1.465
2011/08/04,1.45
2011/08/05,1.435
2011/08/06,1.421
2011/08/07,1.406
2011/08/08,1.391
2011/08/09,1.377
2011/08/10,1.363
2011/08/11,1.349
2011/08/12,1.334
2011/08/13,1.319
2011/08/14,1.305
2011/08/15,1.291
2011/08/16,1.278
2011/08/17,1.265
2011/08/18,1.251
2011/08/19,1.238
2011/08/20,1.224
2011/08/21,1.21
2011/08/22,1.195
2011/08/23,1.181
2011/08/24,1.166
2011/08/25,1.151
2011/08/26,1.137
2011/08/27,1.123
2011/08/28,1.108
2011/08/29,1.094
2011/08/30,1.08
2011/08/31,1.065
2011/09/01,1.051
2011/09/02,1.036
2011/09/03,1.021
2011/09/04,1.008
2011/09/05,0.994
2011/09/06,0.981
2011/09/07,0.967
2011/09/08,0.954
2011/09/09,0.941
2011/09/10,0.928
2011/09/11,0.915
2011/09/12,0.903
2011/09/13,0.89
2011/09/14,0.877
2011/09/15,0.863
2011/09/16,0.85
2011/09/17,0.837
2011/09/18,0.823
2011/09/19,0.81
2011/09/20,0.797
2011/09/21,0.785
2011/09/22,0.772
2011/09/23,0.76
2011/09/24,0.748
2011/09/25,0.736
2011/09/26,0.723
2011/09/27,0.711
2011/09/28,0.698
2011/09/29,0.686
2011/09/30,0.674
2011/10/01,0.661
2011/10/02,0.649
2011/10/03,0.636
2011/10/04,0.624
2011/10/05,0.612
2011/10/06,0.6
2011/10/07,0.588
2011/10/08,0.577
2011/10/09,0.565
2011/10/10,0.553
2011/10/11,0.543
2011/10/12,0.533
2011/10/13,0.523
2011/10/14,0.513
2011/10/15,0.503
2011/10/16,0.493
2011/10/17,0.483
2011/10/18,0.474
2011/10/19,0.464
2011/10/20,0.454
2011/10/21,0.444
2011/10/22,0.435
2011/10/23,0.426
2011/10/24,0.417
2011/10/25,0.408
2011/10/26,0.399
2011/10/27,0.39
2011/10/28,0.382
2011/10/29,0.374
2011/10/30,0.366
2011/10/31,0.357
2011/11/01,0.349
2011/11/02,0.341
2011/11/03,0.333
2011/11/04,0.325
2011/11/05,0.317
2011/11/06,0.309
2011/11/07,0.301
2011/11/08,0.293
2011/11/09,0.285
2011/11/10,0.277
2011/11/11,0.27
2011/11/12,0.263
2011/11/13,0.255
2011/11/14,0.248
2011/11/15,0.241
2011/11/16,0.233
2011/11/17,0.226
2011/11/18,0.219
2011/11/19,0.213
2011/11/20,0.206
2011/11/21,0.199
2011/11/22,0.192
2011/11/23,0.186
2011/11/24,0.18
2011/11/25,0.173
2011/11/26,0.167
2011/11/27,0.161
2011/11/28,0.156
2011/11/29,0.15
2011/11/30,0.145
2011/12/01,0.14
2011/12/02,0.135
2011/12/03,0.13
2011/12/04,0.126
2011/12/05,0.121
2011/12/06,0.116
2011/12/07,0.112
2011/12/08,0.107
2011/12/09,0.103
2011/12/10,0.099
2011/12/11,0.094
2011/12/12,0.09
2011/12/13,0.086
2011/12/14,0.082
2011/12/15,0.078
2011/12/16,0.075
2011/12/17,0.071
2011/12/18,0.067
2011/12/19,0.063
2011/12/20,0.06
2011/12/21,0.056
2011/12/22,0.053
2011/12/23,0.05
2011/12/24,0.046
2011/12/25,0.043
2011/12/26,0.039
2011/12/27,0.035
2011/12/28,0.031
2011/12/29,0.028
2011/12/30,0.024
2011/12/31,0.02
2012/01/01,0.017
2012/01/02,0.014
2012/01/03,0.01
2012/01/04,0.007
2012/01/05,0.005
2012/01/06,0.003
2012/01/07,0.001
2012/01/08,-0.001
2012/01/09,-0.003
2012/01/10,-0.004
2012/01/11,-0.004
2012/01/12,-0.004
2012/01/13,-0.004
2012/01/14,-0.004
2012/01/15,-0.004
2012/01/16,-0.004
2012/01/17,-0.004
2012/01/18,-0.003
2012/01/19,-0.003
2012/01/20,-0.002
2012/01/21,-0.001
2012/01/22,-0.001
2012/01/23,-0.001
2012/01/24,0
2012/01/25,0.001
2012/01/26,0.002
2012/01/27,0.003
2012/01/28,0.004
2012/01/29,0.005
2012/01/30,0.005
2012/01/31,0.006
2012/02/01,0.007
2012/02/02,0.008
2012/02/03,0.009
2012/02/04,0.01
2012/02/05,0.011
2012/02/06,0.012
2012/02/07,0.013
2012/02/08,0.014
2012/02/09,0.015
2012/02/10,0.017
2012/02/11,0.019
2012/02/12,0.021
2012/02/13,0.023
2012/02/14,0.025
2012/02/15,0.028
2012/02/16,0.032
2012/02/17,0.035
2012/02/18,0.038
2012/02/19,0.04
2012/02/20,0.042
2012/02/21,0.045
2012/02/22,0.047
2012/02/23,0.049
2012/02/24,0.051
2012/02/25,0.053
2012/02/26,0.054
2012/02/27,0.056
2012/02/28,0.057
2012/02/29,0.058
2012/03/01,0.059
2012/03/02,0.06
2012/03/03,0.062
2012/03/04,0.063
2012/03/05,0.064
2012/03/06,0.066
2012/03/07,0.067
2012/03/08,0.068
2012/03/09,0.069
2012/03/10,0.07
2012/03/11,0.07
2012/03/12,0.071
2012/03/13,0.071
2012/03/14,0.072
2012/03/15,0.073
2012/03/16,0.074
2012/03/17,0.074
2012/03/18,0.075
2012/03/19,0.075
2012/03/20,0.075
2012/03/21,0.075
2012/03/22,0.075
2012/03/23,0.075
2012/03/24,0.075
2012/03/25,0.074
2012/03/26,0.073
2012/03/27,0.073
2012/03/28,0.072
2012/03/29,0.072
2012/03/30,0.072
2012/03/31,0.071
2012/04/01,0.07
2012/04/02,0.07
2012/04/03,0.07
2012/04/04,0.07
2012/04/05,0.07
2012/04/06,0.071
2012/04/07,0.072
2012/04/08,0.072
2012/04/09,0.073
2012/04/10,0.073
2012/04/11,0.074
2012/04/12,0.075
2012/04/13,0.076
2012/04/14,0.078
2012/04/15,0.079
2012/04/16,0.081
2012/04/17,0.084
2012/04/18,0.086
2012/04/19,0.089
2012/04/20,0.092
2012/04/21,0.094
2012/04/22,0.096
2012/04/23,0.099
2012/04/24,0.101
2012/04/25,0.103
2012/04/26,0.106
2012/04/27,0.108
2012/04/28,0.11
2012/04/29,0.112
2012/04/30,0.114
2012/05/01,0.116
2012/05/02,0.118
2012/05/03,0.121
2012/05/04,0.124
2012/05/05,0.128
2012/05/06,0.132
2012/05/07,0.138
2012/05/08,0.144
2012/05/09,0.15
2012/05/10,0.157
2012/05/11,0.166
2012/05/12,0.176
2012/05/13,0.186
2012/05/14,0.199
2012/05/15,0.214
2012/05/16,0.23
2012/05/17,0.247
2012/05/18,0.265
2012/05/19,0.286
2012/05/20,0.309
2012/05/21,0.334
2012/05/22,0.361
2012/05/23,0.388
2012/05/24,0.417
2012/05/25,0.447
2012/05/26,0.477
2012/05/27,0.506
2012/05/28,0.535
2012/05/29,0.566
2012/05/30,0.596
