Date,difficulty30ema
2011/04/13,73221
2011/04/14,73809
2011/04/15,74360
2011/04/16,74875
2011/04/17,75357
2011/04/18,76266
2011/04/19,77304
2011/04/20,78274
2011/04/21,79182
2011/04/22,80031
2011/04/23,80826
2011/04/24,81569
2011/04/25,82265
2011/04/26,82915
2011/04/27,83524
2011/04/28,84093
2011/04/29,84626
2011/04/30,86111
2011/05/01,87631
2011/05/02,89053
2011/05/03,90383
2011/05/04,91628
2011/05/05,92792
2011/05/06,93881
2011/05/07,94899
2011/05/08,95852
2011/05/09,97117
2011/05/10,101008
2011/05/11,104647
2011/05/12,108051
2011/05/13,111236
2011/05/14,114216
2011/05/15,117003
2011/05/16,119610
2011/05/17,122049
2011/05/18,124661
2011/05/19,132368
2011/05/20,139577
2011/05/21,146321
2011/05/22,152630
2011/05/23,158532
2011/05/24,164054
2011/05/25,169219
2011/05/26,176213
2011/05/27,192901
2011/05/28,208512
2011/05/29,223116
2011/05/30,236778
2011/05/31,249559
2011/06/01,261515
2011/06/02,272700
2011/06/03,283163
2011/06/04,292951
2011/06/05,302107
2011/06/06,313862
2011/06/07,330211
2011/06/08,345505
2011/06/09,359813
2011/06/10,373197
2011/06/11,385718
2011/06/12,397431
2011/06/13,408388
2011/06/14,418639
2011/06/15,436033
2011/06/16,464480
2011/06/17,491091
2011/06/18,515985
2011/06/19,539274
2011/06/20,561060
2011/06/21,581440
2011/06/22,600505
2011/06/23,618341
2011/06/24,647327
2011/06/25,694544
2011/06/26,738715
2011/06/27,780036
2011/06/28,818691
2011/06/29,854852
2011/06/30,888681
2011/07/01,920327
2011/07/02,949931
2011/07/03,977625
2011/07/04,1003533
2011/07/05,1027769
2011/07/06,1052179
2011/07/07,1085137
2011/07/08,1115969
2011/07/09,1144811
2011/07/10,1171793
2011/07/11,1197034
2011/07/12,1220646
2011/07/13,1242735
2011/07/14,1263399
2011/07/15,1282730
2011/07/16,1300814
2011/07/17,1317731
2011/07/18,1333557
2011/07/19,1349697
2011/07/20,1371710
2011/07/21,1392303
2011/07/22,1411567
2011/07/23,1429588
2011/07/24,1446447
2011/07/25,1462218
2011/07/26,1476971
2011/07/27,1490773
2011/07/28,1503684
2011/07/29,1515762
2011/07/30,1527061
2011/07/31,1537631
2011/08/01,1555025
2011/08/02,1576558
2011/08/03,1596701
2011/08/04,1615546
2011/08/05,1633174
2011/08/06,1649665
2011/08/07,1665092
2011/08/08,1679524
2011/08/09,1693025
2011/08/10,1705655
2011/08/11,1717470
2011/08/12,1728523
2011/08/13,1738862
2011/08/14,1748535
2011/08/15,1757500
2011/08/16,1760610
2011/08/17,1763519
2011/08/18,1766240
2011/08/19,1768786
2011/08/20,1771168
2011/08/21,1773396
2011/08/22,1775480
2011/08/23,1777430
2011/08/24,1779254
2011/08/25,1780960
2011/08/26,1782556
2011/08/27,1784049
2011/08/28,1785446
2011/08/29,1786753
2011/08/30,1786519
2011/08/31,1785955
2011/09/01,1785427
2011/09/02,1784934
2011/09/03,1784472
2011/09/04,1784040
2011/09/05,1783635
2011/09/06,1783257
2011/09/07,1782904
