Date,confirmationtime30wma
2010/07/17,6.57
2010/07/18,6.63
2010/07/19,6.686
2010/07/20,6.724
2010/07/21,6.697
2010/07/22,6.755
2010/07/23,6.766
2010/07/24,6.79
2010/07/25,6.726
2010/07/26,6.65
2010/07/27,6.759
2010/07/28,6.89
2010/07/29,6.954
2010/07/30,7.014
2010/07/31,7.021
2010/08/01,6.958
2010/08/02,6.896
2010/08/03,6.861
2010/08/04,6.805
2010/08/05,6.796
2010/08/06,6.998
2010/08/07,7.166
2010/08/08,7.202
2010/08/09,7.26
2010/08/10,7.315
2010/08/11,7.283
2010/08/12,7.272
2010/08/13,7.255
2010/08/14,7.127
2010/08/15,7.112
2010/08/16,7.271
2010/08/17,7.515
2010/08/18,7.732
2010/08/19,7.933
2010/08/20,7.921
2010/08/21,7.963
2010/08/22,7.907
2010/08/23,7.849
2010/08/24,7.79
2010/08/25,7.727
2010/08/26,7.676
2010/08/27,7.729
2010/08/28,7.786
2010/08/29,7.87
2010/08/30,8.002
2010/08/31,8.009
2010/09/01,8.099
2010/09/02,8.187
2010/09/03,8.238
2010/09/04,8.231
2010/09/05,8.271
2010/09/06,8.337
2010/09/07,8.397
2010/09/08,8.435
2010/09/09,8.596
2010/09/10,8.587
2010/09/11,8.63
2010/09/12,8.612
2010/09/13,8.609
2010/09/14,8.513
2010/09/15,8.509
2010/09/16,8.382
2010/09/17,8.288
2010/09/18,8.147
2010/09/19,8.069
2010/09/20,8.005
2010/09/21,8.027
2010/09/22,8.038
2010/09/23,7.91
2010/09/24,7.793
2010/09/25,7.718
2010/09/26,7.647
2010/09/27,7.532
2010/09/28,7.454
2010/09/29,7.509
2010/09/30,7.636
2010/10/01,7.725
2010/10/02,8.139
2010/10/03,8.375
2010/10/04,8.45
2010/10/05,8.652
2010/10/06,8.655
2010/10/07,8.696
2010/10/08,8.76
2010/10/09,8.807
2010/10/10,8.791
2010/10/11,8.838
2010/10/12,8.9
2010/10/13,8.887
2010/10/14,8.801
2010/10/15,8.786
2010/10/16,8.608
2010/10/17,8.416
2010/10/18,8.256
2010/10/19,8.086
2010/10/20,7.908
2010/10/21,7.882
2010/10/22,7.96
2010/10/23,7.964
2010/10/24,7.886
2010/10/25,7.81
2010/10/26,7.662
2010/10/27,7.567
2010/10/28,7.459
2010/10/29,7.344
2010/10/30,7.186
2010/10/31,7.188
2010/11/01,7.198
2010/11/02,7.224
2010/11/03,7.219
2010/11/04,7.192
2010/11/05,7.135
2010/11/06,7.085
2010/11/07,6.999
2010/11/08,6.872
2010/11/09,6.845
2010/11/10,6.85
2010/11/11,6.825
2010/11/12,6.932
2010/11/13,6.906
2010/11/14,6.826
2010/11/15,6.854
2010/11/16,6.885
2010/11/17,6.817
2010/11/18,6.734
2010/11/19,6.909
2010/11/20,7.256
2010/11/21,7.456
2010/11/22,7.561
2010/11/23,7.757
2010/11/24,7.808
2010/11/25,7.846
2010/11/26,7.844
2010/11/27,7.878
2010/11/28,7.934
2010/11/29,7.889
2010/11/30,7.858
2010/12/01,7.862
2010/12/02,7.868
2010/12/03,7.872
2010/12/04,7.79
2010/12/05,7.693
2010/12/06,7.595
2010/12/07,7.5
2010/12/08,7.407
2010/12/09,7.339
2010/12/10,7.487
2010/12/11,7.527
2010/12/12,7.577
2010/12/13,7.742
2010/12/14,7.783
2010/12/15,7.75
2010/12/16,7.779
2010/12/17,7.828
2010/12/18,7.889
2010/12/19,7.87
2010/12/20,7.935
2010/12/21,7.898
2010/12/22,7.98
2010/12/23,8.114
2010/12/24,8.236
2010/12/25,8.279
2010/12/26,8.409
2010/12/27,8.452
2010/12/28,8.484
2010/12/29,8.529
2010/12/30,8.557
2010/12/31,8.606
2011/01/01,8.591
2011/01/02,8.594
2011/01/03,8.66
2011/01/04,8.783
2011/01/05,8.841
2011/01/06,8.948
2011/01/07,8.953
2011/01/08,8.933
2011/01/09,8.931
2011/01/10,8.935
2011/01/11,8.905
2011/01/12,8.89
2011/01/13,8.817
2011/01/14,8.765
2011/01/15,8.79
2011/01/16,8.755
2011/01/17,8.701
2011/01/18,8.794
2011/01/19,8.773
2011/01/20,8.703
2011/01/21,8.666
2011/01/22,8.66
2011/01/23,8.641
2011/01/24,8.572
2011/01/25,8.606
2011/01/26,8.562
2011/01/27,8.584
2011/01/28,8.613
2011/01/29,8.629
2011/01/30,8.664
2011/01/31,8.648
2011/02/01,8.652
2011/02/02,8.675
2011/02/03,8.692
2011/02/04,8.61
2011/02/05,8.571
2011/02/06,8.544
2011/02/07,8.45
2011/02/08,8.455
2011/02/09,8.391
2011/02/10,8.346
2011/02/11,8.302
2011/02/12,8.235
2011/02/13,8.163
2011/02/14,8.098
2011/02/15,7.975
2011/02/16,7.844
2011/02/17,7.719
2011/02/18,7.638
2011/02/19,7.7
2011/02/20,7.651
2011/02/21,7.615
2011/02/22,7.542
2011/02/23,7.415
2011/02/24,7.358
2011/02/25,7.27
2011/02/26,7.109
2011/02/27,7.001
2011/02/28,7.138
2011/03/01,7.369
2011/03/02,7.434
2011/03/03,7.446
2011/03/04,7.381
2011/03/05,7.236
2011/03/06,7.103
2011/03/07,7.076
2011/03/08,7.109
2011/03/09,7.226
2011/03/10,7.602
2011/03/11,7.84
2011/03/12,8.018
2011/03/13,8.321
2011/03/14,8.65
2011/03/15,8.968
2011/03/16,9.126
2011/03/17,9.254
2011/03/18,9.489
2011/03/19,9.745
2011/03/20,9.857
2011/03/21,9.912
2011/03/22,10.117
2011/03/23,10.123
2011/03/24,10.145
2011/03/25,10.087
2011/03/26,10.16
2011/03/27,10.202
2011/03/28,10.14
2011/03/29,10.087
2011/03/30,10.054
2011/03/31,9.887
2011/04/01,9.795
2011/04/02,9.693
2011/04/03,9.604
2011/04/04,9.503
2011/04/05,9.352
2011/04/06,9.346
2011/04/07,9.337
2011/04/08,9.252
2011/04/09,9.203
2011/04/10,9.105
2011/04/11,9.045
2011/04/12,8.988
2011/04/13,8.847
2011/04/14,8.82
2011/04/15,8.904
2011/04/16,8.842
2011/04/17,8.762
2011/04/18,8.803
2011/04/19,8.826
2011/04/20,8.893
2011/04/21,8.946
2011/04/22,8.9
2011/04/23,8.869
2011/04/24,8.873
2011/04/25,8.786
2011/04/26,8.698
2011/04/27,8.648
2011/04/28,8.657
2011/04/29,8.565
2011/04/30,8.504
2011/05/01,8.469
2011/05/02,8.388
2011/05/03,8.31
2011/05/04,8.232
2011/05/05,8.108
2011/05/06,7.988
2011/05/07,7.883
2011/05/08,7.774
2011/05/09,7.634
2011/05/10,7.62
2011/05/11,7.586
2011/05/12,7.618
2011/05/13,7.55
2011/05/14,7.417
2011/05/15,7.33
2011/05/16,7.205
2011/05/17,7.071
2011/05/18,6.904
2011/05/19,6.967
2011/05/20,6.911
2011/05/21,6.863
2011/05/22,6.767
2011/05/23,6.634
2011/05/24,6.493
2011/05/25,6.353
2011/05/26,6.231
2011/05/27,6.356
2011/05/28,6.523
2011/05/29,6.605
2011/05/30,6.773
2011/05/31,6.953
2011/06/01,7.005
2011/06/02,7.05
2011/06/03,7.066
2011/06/04,7.038
2011/06/05,7.041
2011/06/06,6.996
2011/06/07,7.1
2011/06/08,7.156
2011/06/09,7.124
2011/06/10,7.093
2011/06/11,7.016
2011/06/12,6.976
2011/06/13,6.948
2011/06/14,6.885
2011/06/15,6.782
2011/06/16,6.863
2011/06/17,6.922
2011/06/18,6.947
2011/06/19,6.919
2011/06/20,6.873
2011/06/21,6.797
2011/06/22,6.711
2011/06/23,6.654
2011/06/24,6.638
