Date,sentbyaddress30std
2010/07/17,2281
2010/07/18,2277
2010/07/19,2272
2010/07/20,2266
2010/07/21,2263
2010/07/22,2259
2010/07/23,2256
2010/07/24,2250
2010/07/25,2278
2010/07/26,2272
2010/07/27,2266
2010/07/28,2261
2010/07/29,2257
2010/07/30,2255
2010/07/31,2255
2010/08/01,2251
2010/08/02,2248
2010/08/03,2239
2010/08/04,2232
2010/08/05,2223
2010/08/06,2217
2010/08/07,2215
2010/08/08,2210
2010/08/09,2202
2010/08/10,2204
2010/08/11,2109
2010/08/12,2097
2010/08/13,634.12
2010/08/14,580.804
2010/08/15,540.27
2010/08/16,539.751
2010/08/17,541.864
2010/08/18,541.042
2010/08/19,539.009
2010/08/20,539.317
2010/08/21,540.521
2010/08/22,541.833
2010/08/23,536.436
2010/08/24,166.078
2010/08/25,165.876
2010/08/26,165.875
2010/08/27,170.529
2010/08/28,171.48
2010/08/29,175.161
2010/08/30,172.333
2010/08/31,172.254
2010/09/01,171.969
2010/09/02,152.483
2010/09/03,147.012
2010/09/04,132.155
2010/09/05,132.358
2010/09/06,131.116
2010/09/07,133.43
2010/09/08,126.958
2010/09/09,126.671
2010/09/10,126.033
2010/09/11,126.522
2010/09/12,102.558
2010/09/13,113.613
2010/09/14,110.621
2010/09/15,107.965
2010/09/16,108.821
2010/09/17,106.454
2010/09/18,106.227
2010/09/19,103.952
2010/09/20,114.762
2010/09/21,235.298
2010/09/22,282.659
2010/09/23,302.597
2010/09/24,307.604
2010/09/25,313.676
2010/09/26,309.775
2010/09/27,321.772
2010/09/28,316.296
2010/09/29,362.259
2010/09/30,362.372
2010/10/01,367.573
2010/10/02,364.187
2010/10/03,360.936
2010/10/04,352.535
2010/10/05,347.404
2010/10/06,339.367
2010/10/07,332.304
2010/10/08,327.979
2010/10/09,322.744
2010/10/10,318.321
2010/10/11,312.191
2010/10/12,311.198
2010/10/13,312.298
2010/10/14,312.298
2010/10/15,314.328
2010/10/16,311.395
2010/10/17,305.237
2010/10/18,304.599
2010/10/19,367.527
2010/10/20,383.347
2010/10/21,361.669
2010/10/22,355.904
2010/10/23,354.012
2010/10/24,355.764
2010/10/25,356.401
2010/10/26,353.948
2010/10/27,356.293
2010/10/28,354.528
2010/10/29,327.132
2010/10/30,325.156
2010/10/31,333.772
2010/11/01,338.563
2010/11/02,348.56
2010/11/03,352.43
2010/11/04,357.134
2010/11/05,356.933
2010/11/06,354.086
2010/11/07,352.572
2010/11/08,351.855
2010/11/09,351.98
2010/11/10,350.334
2010/11/11,351.096
2010/11/12,359.496
2010/11/13,362.263
2010/11/14,361.094
2010/11/15,1349
2010/11/16,1595
2010/11/17,1598
2010/11/18,1594
2010/11/19,1596
2010/11/20,1596
2010/11/21,1597
2010/11/22,1600
2010/11/23,1603
2010/11/24,1602
2010/11/25,1602
2010/11/26,1604
2010/11/27,1606
2010/11/28,1606
2010/11/29,1605
2010/11/30,1601
2010/12/01,1597
2010/12/02,1593
2010/12/03,1591
2010/12/04,1588
2010/12/05,1588
2010/12/06,1587
2010/12/07,1584
2010/12/08,1583
2010/12/09,1581
2010/12/10,1580
2010/12/11,1576
2010/12/12,1568
2010/12/13,1562
2010/12/14,1557
2010/12/15,923.261
2010/12/16,272.069
2010/12/17,270.05
2010/12/18,265.267
2010/12/19,255.354
2010/12/20,304.071
2010/12/21,310.24
2010/12/22,308.239
2010/12/23,297.856
2010/12/24,296.748
2010/12/25,306.553
2010/12/26,298.027
2010/12/27,293.012
2010/12/28,293.52
2010/12/29,286.969
2010/12/30,283.179
2010/12/31,282.385
2011/01/01,281.256
2011/01/02,265.185
2011/01/03,271.942
2011/01/04,263.091
2011/01/05,277.406
2011/01/06,276.638
2011/01/07,280.965
2011/01/08,315.485
2011/01/09,310.169
2011/01/10,332.771
2011/01/11,359.069
2011/01/12,363.574
2011/01/13,375.967
2011/01/14,383.3
2011/01/15,385.867
2011/01/16,377.62
2011/01/17,366.548
2011/01/18,357.7
2011/01/19,366.803
2011/01/20,372.124
2011/01/21,409.372
2011/01/22,463.354
2011/01/23,462.178
2011/01/24,505.003
2011/01/25,497.322
2011/01/26,477.388
2011/01/27,468.001
2011/01/28,450.829
2011/01/29,470.555
2011/01/30,747.95
2011/01/31,756.49
2011/02/01,731.598
2011/02/02,726.985
2011/02/03,720.397
2011/02/04,717.9
2011/02/05,702.672
2011/02/06,696.893
2011/02/07,700.443
2011/02/08,701.549
2011/02/09,711.038
2011/02/10,863.278
2011/02/11,1039
2011/02/12,1104
2011/02/13,1140
2011/02/14,1193
2011/02/15,1256
2011/02/16,1276
2011/02/17,1323
2011/02/18,1354
2011/02/19,1342
2011/02/20,1359
2011/02/21,1384
2011/02/22,1416
2011/02/23,1461
2011/02/24,1459
2011/02/25,1447
2011/02/26,1411
2011/02/27,1408
2011/02/28,1397
2011/03/01,1480
2011/03/02,1477
2011/03/03,1566
2011/03/04,1505
2011/03/05,1422
2011/03/06,1346
2011/03/07,1242
2011/03/08,1158
2011/03/09,1017
2011/03/10,845.039
2011/03/11,756.537
2011/03/12,757.373
2011/03/13,757.49
2011/03/14,788.393
2011/03/15,780.12
2011/03/16,783.265
2011/03/17,783.056
2011/03/18,782.651
2011/03/19,781.299
2011/03/20,904.92
2011/03/21,936.867
2011/03/22,936.664
2011/03/23,1265
2011/03/24,1272
2011/03/25,1275
2011/03/26,1323
2011/03/27,1360
2011/03/28,1394
2011/03/29,1416
2011/03/30,1386
2011/03/31,1373
2011/04/01,1377
2011/04/02,1338
2011/04/03,1328
2011/04/04,1333
2011/04/05,1325
2011/04/06,1312
2011/04/07,1320
2011/04/08,1317
2011/04/09,1297
2011/04/10,1283
2011/04/11,1271
2011/04/12,1241
2011/04/13,1180
2011/04/14,1345
2011/04/15,1313
2011/04/16,1294
2011/04/17,1257
2011/04/18,1281
2011/04/19,1397
2011/04/20,1417
2011/04/21,1414
2011/04/22,1260
2011/04/23,1263
2011/04/24,1259
2011/04/25,1265
2011/04/26,1366
2011/04/27,1652
2011/04/28,1708
2011/04/29,1803
2011/04/30,2076
2011/05/01,2163
2011/05/02,2144
2011/05/03,2126
2011/05/04,2139
2011/05/05,2187
2011/05/06,2204
2011/05/07,2209
2011/05/08,2148
2011/05/09,2124
2011/05/10,2047
2011/05/11,1983
2011/05/12,1932
2011/05/13,2002
2011/05/14,2165
2011/05/15,2131
