Date,sentinusd14momUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,-167.913
2010/08/01,13878
2010/08/02,-154.03
2010/08/03,88.411
2010/08/04,-116.074
2010/08/05,-140.549
2010/08/06,-11.089
2010/08/07,-1026
2010/08/08,-1877
2010/08/09,451.339
2010/08/10,487.039
2010/08/11,-532.676
2010/08/12,-146.967
2010/08/13,960.878
2010/08/14,38.254
2010/08/15,-15371
2010/08/16,458.294
2010/08/17,958.212
2010/08/18,574.076
2010/08/19,-1057
2010/08/20,800.228
2010/08/21,1037
2010/08/22,721.045
2010/08/23,-3896
2010/08/24,-967.003
2010/08/25,-2435
2010/08/26,-165.734
2010/08/27,-445.623
2010/08/28,9.675
2010/08/29,-565.248
2010/08/30,-3455
2010/08/31,-898.64
2010/09/01,-783.645
2010/09/02,787.595
2010/09/03,-136.102
2010/09/04,-694.742
2010/09/05,7173
2010/09/06,3535
2010/09/07,-251.972
2010/09/08,41.361
2010/09/09,1170
2010/09/10,-980.764
2010/09/11,-431.587
2010/09/12,593.765
2010/09/13,6378
2010/09/14,-610.506
2010/09/15,656.782
2010/09/16,-19.91
2010/09/17,2695
2010/09/18,761.275
2010/09/19,-5350
2010/09/20,-2118
2010/09/21,624.172
2010/09/22,1697
2010/09/23,5787
2010/09/24,331.912
2010/09/25,1219
2010/09/26,247.013
2010/09/27,-5202
2010/09/28,3179
2010/09/29,3357
2010/09/30,431.901
2010/10/01,-904.315
2010/10/02,19813
2010/10/03,1480
2010/10/04,31473
2010/10/05,10152
2010/10/06,4770
2010/10/07,416.708
2010/10/08,10578
2010/10/09,14552
2010/10/10,9809
2010/10/11,3028
2010/10/12,2317
2010/10/13,5444
2010/10/14,15797
2010/10/15,11403
2010/10/16,-2512
2010/10/17,6426
2010/10/18,-11711
2010/10/19,14270
2010/10/20,12314
2010/10/21,10730
2010/10/22,1842
2010/10/23,-11807
2010/10/24,481.207
