Date,sentbyaddress90trx
2010/07/17,0.682
2010/07/18,0.736
2010/07/19,0.787
2010/07/20,0.835
2010/07/21,0.879
2010/07/22,0.919
2010/07/23,0.955
2010/07/24,0.989
2010/07/25,1.029
2010/07/26,1.064
2010/07/27,1.095
2010/07/28,1.122
2010/07/29,1.145
2010/07/30,1.164
2010/07/31,1.179
2010/08/01,1.191
2010/08/02,1.2
2010/08/03,1.208
2010/08/04,1.214
2010/08/05,1.218
2010/08/06,1.221
2010/08/07,1.22
2010/08/08,1.218
2010/08/09,1.215
2010/08/10,1.209
2010/08/11,1.202
2010/08/12,1.194
2010/08/13,1.186
2010/08/14,1.177
2010/08/15,1.165
2010/08/16,1.154
2010/08/17,1.141
2010/08/18,1.128
2010/08/19,1.114
2010/08/20,1.1
2010/08/21,1.085
2010/08/22,1.07
2010/08/23,1.054
2010/08/24,1.038
2010/08/25,1.022
2010/08/26,1.005
2010/08/27,0.988
2010/08/28,0.97
2010/08/29,0.952
2010/08/30,0.935
2010/08/31,0.917
2010/09/01,0.899
2010/09/02,0.882
2010/09/03,0.864
2010/09/04,0.846
2010/09/05,0.828
2010/09/06,0.81
2010/09/07,0.792
2010/09/08,0.774
2010/09/09,0.756
2010/09/10,0.738
2010/09/11,0.721
2010/09/12,0.704
2010/09/13,0.688
2010/09/14,0.672
2010/09/15,0.657
2010/09/16,0.642
2010/09/17,0.628
2010/09/18,0.613
2010/09/19,0.599
2010/09/20,0.586
2010/09/21,0.575
2010/09/22,0.565
2010/09/23,0.557
2010/09/24,0.549
2010/09/25,0.541
2010/09/26,0.534
2010/09/27,0.527
2010/09/28,0.521
2010/09/29,0.516
2010/09/30,0.511
2010/10/01,0.507
2010/10/02,0.503
2010/10/03,0.499
2010/10/04,0.494
2010/10/05,0.49
2010/10/06,0.486
2010/10/07,0.481
2010/10/08,0.476
2010/10/09,0.471
2010/10/10,0.466
2010/10/11,0.461
2010/10/12,0.455
2010/10/13,0.45
2010/10/14,0.444
2010/10/15,0.438
2010/10/16,0.432
2010/10/17,0.427
2010/10/18,0.422
2010/10/19,0.419
2010/10/20,0.418
2010/10/21,0.416
2010/10/22,0.416
2010/10/23,0.415
2010/10/24,0.415
2010/10/25,0.415
2010/10/26,0.414
2010/10/27,0.415
2010/10/28,0.415
2010/10/29,0.415
2010/10/30,0.414
2010/10/31,0.413
2010/11/01,0.411
2010/11/02,0.408
2010/11/03,0.405
2010/11/04,0.401
2010/11/05,0.398
2010/11/06,0.394
2010/11/07,0.389
2010/11/08,0.385
2010/11/09,0.381
2010/11/10,0.376
2010/11/11,0.372
2010/11/12,0.366
2010/11/13,0.361
2010/11/14,0.355
2010/11/15,0.36
2010/11/16,0.372
2010/11/17,0.382
2010/11/18,0.391
2010/11/19,0.399
2010/11/20,0.406
2010/11/21,0.412
2010/11/22,0.417
2010/11/23,0.421
2010/11/24,0.424
2010/11/25,0.427
2010/11/26,0.431
2010/11/27,0.433
2010/11/28,0.435
2010/11/29,0.437
2010/11/30,0.437
2010/12/01,0.438
2010/12/02,0.438
2010/12/03,0.437
2010/12/04,0.436
2010/12/05,0.434
2010/12/06,0.431
2010/12/07,0.429
2010/12/08,0.427
2010/12/09,0.424
2010/12/10,0.421
2010/12/11,0.419
2010/12/12,0.416
2010/12/13,0.414
2010/12/14,0.413
2010/12/15,0.412
2010/12/16,0.41
2010/12/17,0.408
2010/12/18,0.407
2010/12/19,0.405
2010/12/20,0.404
2010/12/21,0.403
2010/12/22,0.402
2010/12/23,0.402
2010/12/24,0.401
2010/12/25,0.401
2010/12/26,0.401
2010/12/27,0.401
2010/12/28,0.401
2010/12/29,0.4
2010/12/30,0.4
2010/12/31,0.399
2011/01/01,0.399
2011/01/02,0.399
2011/01/03,0.399
2011/01/04,0.4
2011/01/05,0.401
2011/01/06,0.402
