Date,top100cap7roc
2010/07/17,-1.935
2010/07/18,-1.818
2010/07/19,-0.71
2010/07/20,0.018
2010/07/21,0.64
2010/07/22,-0.035
2010/07/23,-0.549
2010/07/24,-0.864
2010/07/25,-1.072
2010/07/26,2.429
2010/07/27,2.974
2010/07/28,2.795
2010/07/29,2.989
2010/07/30,3.35
2010/07/31,3.03
2010/08/01,3.119
2010/08/02,-0.287
2010/08/03,-0.318
2010/08/04,-0.666
2010/08/05,-0.534
2010/08/06,-0.644
2010/08/07,-0.49
2010/08/08,-0.577
2010/08/09,0.356
2010/08/10,-0.072
2010/08/11,1.013
2010/08/12,0.326
2010/08/13,0.801
2010/08/14,0.636
2010/08/15,0.579
2010/08/16,0.423
2010/08/17,1.181
2010/08/18,0.344
2010/08/19,0.77
2010/08/20,0.596
2010/08/21,0.712
2010/08/22,0.915
2010/08/23,0.323
2010/08/24,-0.025
2010/08/25,-0.193
2010/08/26,-0.125
2010/08/27,-0.079
2010/08/28,-0.258
2010/08/29,-0.65
2010/08/30,-0.795
2010/08/31,-0.616
2010/09/01,-0.443
2010/09/02,-0.485
2010/09/03,-0.738
2010/09/04,-0.361
2010/09/05,0.246
2010/09/06,0.34
2010/09/07,-0.133
2010/09/08,-0.268
2010/09/09,-0.339
2010/09/10,-0.358
2010/09/11,-0.585
2010/09/12,-0.617
2010/09/13,-1.087
2010/09/14,-1.254
2010/09/15,-1.192
2010/09/16,-0.691
2010/09/17,1.591
2010/09/18,1.936
2010/09/19,2.213
2010/09/20,3.022
2010/09/21,3.209
2010/09/22,3.148
2010/09/23,3.546
2010/09/24,1.489
2010/09/25,1.767
2010/09/26,1.537
2010/09/27,2.694
2010/09/28,7.041
2010/09/29,7.288
2010/09/30,6.177
2010/10/01,5.828
2010/10/02,7.362
2010/10/03,7.054
2010/10/04,4.623
2010/10/05,0.737
2010/10/06,0.553
2010/10/07,2.658
2010/10/08,3.455
2010/10/09,2.342
2010/10/10,3.07
2010/10/11,3.718
2010/10/12,3.441
2010/10/13,4.139
2010/10/14,2.861
2010/10/15,1.899
2010/10/16,1.679
2010/10/17,1.055
2010/10/18,1.99
2010/10/19,1.354
2010/10/20,1.079
2010/10/21,0.439
2010/10/22,0.82
2010/10/23,0.252
2010/10/24,0.087
