Date,sentinusd14rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,-14.074
2010/08/01,531.309
2010/08/02,-3.806
2010/08/03,3.777
2010/08/04,-5.471
2010/08/05,-5.468
2010/08/06,-0.951
2010/08/07,-40.407
2010/08/08,-75.28
2010/08/09,9.794
2010/08/10,26.325
2010/08/11,-13.278
2010/08/12,-11.946
2010/08/13,71.937
2010/08/14,3.732
2010/08/15,-93.214
2010/08/16,11.771
2010/08/17,39.449
2010/08/18,28.625
2010/08/19,-43.491
2010/08/20,69.291
2010/08/21,68.5
2010/08/22,116.987
2010/08/23,-77.004
2010/08/24,-41.375
2010/08/25,-69.998
2010/08/26,-15.299
2010/08/27,-19.404
2010/08/28,0.91
2010/08/29,-50.516
2010/08/30,-79.397
2010/08/31,-26.53
2010/09/01,-30.379
2010/09/02,57.362
2010/09/03,-6.961
2010/09/04,-27.236
2010/09/05,536.341
2010/09/06,303.828
2010/09/07,-18.39
2010/09/08,3.963
2010/09/09,127.54
2010/09/10,-52.986
2010/09/11,-40.219
2010/09/12,107.236
2010/09/13,711.453
2010/09/14,-24.532
2010/09/15,36.571
2010/09/16,-0.921
2010/09/17,148.144
2010/09/18,41.015
2010/09/19,-62.867
2010/09/20,-45.081
2010/09/21,55.82
2010/09/22,156.344
2010/09/23,277.191
2010/09/24,38.142
2010/09/25,189.975
2010/09/26,21.527
2010/09/27,-71.499
2010/09/28,169.284
2010/09/29,136.866
2010/09/30,20.176
2010/10/01,-20.035
2010/10/02,756.971
2010/10/03,46.838
2010/10/04,1220
2010/10/05,582.669
2010/10/06,171.489
2010/10/07,5.292
2010/10/08,879.979
2010/10/09,782.286
2010/10/10,703.448
2010/10/11,146.055
2010/10/12,45.809
2010/10/13,93.711
2010/10/14,614.027
2010/10/15,315.934
2010/10/16,-11.198
2010/10/17,138.479
2010/10/18,-34.391
2010/10/19,119.974
2010/10/20,163.063
