Date,difficulty30wma
2011/05/24,175724
2011/05/25,181906
2011/05/26,189924
2011/05/27,207688
2011/05/28,224716
2011/05/29,241008
2011/05/30,256562
2011/05/31,271413
2011/06/01,285565
2011/06/02,299017
2011/06/03,311770
2011/06/04,323823
2011/06/05,335178
2011/06/06,349022
2011/06/07,367412
2011/06/08,384819
2011/06/09,401253
2011/06/10,416807
2011/06/11,431479
2011/06/12,445269
2011/06/13,458179
2011/06/14,470206
2011/06/15,489158
2011/06/16,519143
2011/06/17,547580
2011/06/18,574481
2011/06/19,600020
2011/06/20,624199
2011/06/21,647017
2011/06/22,668474
2011/06/23,688570
2011/06/24,719606
2011/06/25,768972
2011/06/26,815970
2011/06/27,860936
2011/06/28,903872
2011/06/29,944777
2011/06/30,983652
2011/07/01,1020495
2011/07/02,1055308
2011/07/03,1088090
2011/07/04,1118841
2011/07/05,1147562
2011/07/06,1175989
2011/07/07,1212556
2011/07/08,1246982
2011/07/09,1279267
2011/07/10,1309411
2011/07/11,1337412
2011/07/12,1363273
2011/07/13,1386992
2011/07/14,1408570
2011/07/15,1428006
2011/07/16,1445561
2011/07/17,1461641
2011/07/18,1476245
2011/07/19,1490710
2011/07/20,1510568
2011/07/21,1528676
2011/07/22,1545034
2011/07/23,1559641
2011/07/24,1572497
2011/07/25,1584014
2011/07/26,1594860
2011/07/27,1605035
2011/07/28,1614541
2011/07/29,1623376
2011/07/30,1631540
2011/07/31,1639035
2011/08/01,1653364
2011/08/02,1672035
2011/08/03,1689609
2011/08/04,1706088
2011/08/05,1721471
2011/08/06,1735816
2011/08/07,1749461
2011/08/08,1762404
2011/08/09,1774648
2011/08/10,1786190
2011/08/11,1797033
2011/08/12,1807174
2011/08/13,1816615
2011/08/14,1825356
2011/08/15,1833312
2011/08/16,1835294
2011/08/17,1836754
2011/08/18,1837692
2011/08/19,1838153
2011/08/20,1838367
2011/08/21,1838334
2011/08/22,1838054
2011/08/23,1837527
2011/08/24,1836753
2011/08/25,1835732
2011/08/26,1834465
2011/08/27,1832950
2011/08/28,1831189
2011/08/29,1829181
2011/08/30,1825469
2011/08/31,1821214
2011/09/01,1817022
2011/09/02,1813069
2011/09/03,1809355
2011/09/04,1805879
2011/09/05,1802642
2011/09/06,1799644
2011/09/07,1796885
2011/09/08,1794364
2011/09/09,1792082
2011/09/10,1790039
